model,idx,label,pred,correct,conf_top1,top5_idx,top5_probs,mask_area
base,650,13,13,1,0.7851245403289795,"[13, 12, 752, 11, 10]","[0.7851245403289795, 0.08093917369842529, 0.03741610050201416, 0.03561794385313988, 0.02291136421263218]",0.1721439957618713
base,651,13,13,1,0.9530638456344604,"[13, 322, 131, 16, 91]","[0.9530638456344604, 0.00555341737344861, 0.005047222599387169, 0.00467305863276124, 0.0041502914391458035]",0.1418066173791885
base,652,13,13,1,0.9806635975837708,"[13, 10, 16, 20, 141]","[0.9806635975837708, 0.005357249174267054, 0.001883033779449761, 0.0014528644969686866, 0.0012895060935989022]",0.1793921589851379
base,655,13,13,1,0.8460906147956848,"[13, 16, 85, 91, 19]","[0.8460906147956848, 0.07466769963502884, 0.016719970852136612, 0.012368891388177872, 0.011017361655831337]",0.200107991695404
base,659,13,13,1,0.998457670211792,"[13, 17, 85, 20, 18]","[0.998457670211792, 0.0005680693429894745, 0.0002959181438200176, 0.0002624916669446975, 0.00016604283882770687]",0.2072249948978424
base,660,13,13,1,0.9921735525131226,"[13, 15, 19, 12, 16]","[0.9921735525131226, 0.00358368456363678, 0.0033931585494428873, 0.0006916893180459738, 0.00010531658335821703]",0.1381152868270874
base,662,13,13,1,0.8469361066818237,"[13, 19, 10, 15, 17]","[0.8469361066818237, 0.07691862434148788, 0.035669922828674316, 0.013415184803307056, 0.005661839619278908]",0.2045486271381378
base,663,13,13,1,0.8718048930168152,"[13, 890, 16, 189, 87]","[0.8718048930168152, 0.025244969874620438, 0.00882982462644577, 0.005175538826733828, 0.004199661314487457]",0.1819085031747818
base,664,13,13,1,0.998195469379425,"[13, 19, 269, 16, 12]","[0.998195469379425, 0.0005372029263526201, 0.00026409910060465336, 0.00013885041698813438, 0.00010889735858654603]",0.1170851588249206
base,666,13,13,1,0.9713269472122192,"[13, 17, 11, 20, 19]","[0.9713269472122192, 0.013412443920969963, 0.006058165337890387, 0.004641799256205559, 0.0014636284904554486]",0.1053223833441734
base,671,13,13,1,0.9911701679229736,"[13, 94, 19, 20, 17]","[0.9911701679229736, 0.0013971321750432253, 0.0013075543101876974, 0.0011670893291011453, 0.0009892176603898406]",0.1035448610782623
