foveation,distance,a_acc,a_conf_correct,a_conf_incorrect,a_acc_std,a_conf_correct_std,a_conf_incorrect_std,ax_acc,ax_acc_std,ax_conf_correct,ax_conf_correct_std,ax_conf_incorrect,ax_conf_incorrect_std,xax_acc,xax_acc_std,xax_conf_correct,xax_conf_correct_std,xax_conf_incorrect,xax_conf_incorrect_std
base,5,0.263,0.5502514053036958,0.26054786726468454,0.0,0.0,0.0,0.2503,0.003831158803518565,0.5349042786102338,0.007058406527731345,0.24324067457621495,0.0013617174301362982,0.21480000000000002,0.005370702416299419,0.5243343272982336,0.006999667515608974,0.25768226081247375,0.0021285223783324026
base,10,0.263,0.5502514053036958,0.26054786726468454,0.0,0.0,0.0,0.25020000000000003,0.00404969134626332,0.5333043436463815,0.005133536135192618,0.242941382295406,0.0015094853743152826,0.21430000000000002,0.005396500923952686,0.5228781860612199,0.0076071448503910845,0.25848014502186184,0.0019840882251137013
base,20,0.263,0.5502514053036958,0.26054786726468454,0.0,0.0,0.0,0.25039999999999996,0.00406065128875762,0.5316123762570161,0.004792609456777111,0.2427717714227618,0.00132314490455032,0.2122,0.005921711464320654,0.5235587465293507,0.007819179366741673,0.25974473144138643,0.0019149434950381657
base,30,0.263,0.5502514053036958,0.26054786726468454,0.0,0.0,0.0,0.2499,0.0038427420765212296,0.5310567510016835,0.004228787552730722,0.24250459738360047,0.0015443735328181769,0.21139999999999998,0.005316640543300501,0.5234018416376434,0.006696660886556606,0.2600665190636283,0.002516977796622037
base,50,0.263,0.5502514053036958,0.26054786726468454,0.0,0.0,0.0,0.2502,0.004289522117905447,0.5309350811818924,0.004506897486014537,0.2423229733641829,0.0014915805775168557,0.2116,0.005985166849990251,0.523456207920117,0.00784433821869691,0.2605220184562601,0.0026341079821393357
crop,5,0.469,0.7167340092885215,0.32032691969373134,0.0,0.0,0.0,0.4455,0.0052121652570373015,0.6945475544791092,0.006521915493643659,0.30714991442667516,0.003850356357072109,0.39780000000000004,0.006160808027812218,0.6693717653871113,0.009565342609043275,0.29590435436032136,0.00421264418212454
crop,10,0.469,0.7167340092885215,0.32032691969373134,0.0,0.0,0.0,0.4473000000000001,0.004691600058733817,0.6928110199769254,0.006248292331335269,0.307031125206518,0.0034048115859681843,0.39909999999999995,0.005896326540030374,0.6686417130701133,0.00903528668038319,0.296294269688955,0.003944846274881356
crop,20,0.469,0.7167340092885215,0.32032691969373134,0.0,0.0,0.0,0.4467,0.0038311588035185654,0.6940336507167048,0.0047175085303277735,0.3069000477820906,0.0034362168759312015,0.4,0.0058118652580542145,0.6690450332810081,0.009355178401650316,0.2973160785603128,0.0035143291111615544
crop,30,0.469,0.7167340092885215,0.32032691969373134,0.0,0.0,0.0,0.4469,0.005216427044549857,0.6932206180917216,0.005769683074165816,0.3079367221514052,0.0031179690329664112,0.3996,0.005440588203494161,0.6696998488802031,0.008050434923146074,0.29812939672578787,0.0035065491893362492
crop,50,0.469,0.7167340092885215,0.32032691969373134,0.0,0.0,0.0,0.4473999999999999,0.004452215428550404,0.6935285436886482,0.005014924961493733,0.3090899509320215,0.0034917163826755845,0.4013,0.006019413038937696,0.6691465497048179,0.008434386730710449,0.2989811384307697,0.003570682716632664
