background_category,background_subcategory,accuracy,n_samples,mean_conf
human_related,pool,0.3684210526315789,19,0.38989252910802236
human_related,rail,0.36363636363636365,22,0.402306967838244
human_related,stadium,0.25,20,0.34378669876605267
nature,river,0.19230769230769232,52,0.32506086003894985
nature,sea,0.14035087719298245,57,0.3543668810212821
nature,plant,0.13953488372093023,43,0.37889793627830437
nature,field,0.125,64,0.23737936216639352
nature,forest,0.0967741935483871,31,0.2046543562844876
nature,tree,0.06349206349206349,63,0.22799367049620262
nature,rock,0.047619047619047616,42,0.26644817535721116
human_related,hall,0.045454545454545456,22,0.293219523335045
human_related,road,0.041666666666666664,72,0.22797342612304616
nature,snow,0.04,50,0.23540457025170322
nature,sky,0.0392156862745098,51,0.27269397303462023
human_related,inside_house,0.038461538461538464,52,0.2820973395584867
human_related,yard,0.037037037037037035,54,0.20344535999551963
human_related,wall,0.03278688524590164,61,0.23021811338477444
nature,ground,0.030303030303030304,33,0.2255469298723972
nature,mountain,0.02702702702702703,37,0.3230215913137874
human_related,floor,0.022727272727272728,44,0.17138529805974523
human_related,outside_house,0.020833333333333332,48,0.25641953254429
human_related,table,0.014285714285714285,70,0.16218326528157503
human_related,bed_sofa,0.0,19,0.27706264665252284
human_related,human,0.0,30,0.2493588050206502
nature,sand,0.0,35,0.2822719734694276
