model,dataset,idx,label,pred,correct,conf_top1,top5_idx,top5_probs,image_id,class_index,class_hash,class_label,object_category,background_category,background_subcategory
base,inpainted,0,361,41,0,0.1403363049030304,"[41, 77, 44, 45, 500]","[0.1403363049030304, 0.04279935732483864, 0.038061439990997314, 0.02934785559773445, 0.02906726486980915]",ILSVRC2012_val_00000273,361,n02445715,skunk,animals,misc,
base,inpainted,1,383,132,0,0.1182554960250854,"[132, 330, 646, 410, 292]","[0.11825549602508545, 0.03237593546509743, 0.029210921376943588, 0.028812415897846222, 0.027549730613827705]",ILSVRC2012_val_00000398,383,n02497673,Madagascar_cat,animals,misc,
base,inpainted,2,356,930,0,0.0840347334742546,"[930, 885, 211, 467, 163]","[0.08403473347425461, 0.03423064574599266, 0.02458268404006958, 0.021791554987430573, 0.020992573350667953]",ILSVRC2012_val_00001509,356,n02441942,weasel,animals,misc,
base,inpainted,3,18,748,0,0.1795771121978759,"[748, 735, 677, 968, 709]","[0.17957711219787598, 0.08560403436422348, 0.072281114757061, 0.05958794802427292, 0.049218956381082535]",ILSVRC2012_val_00003665,18,n01582220,magpie,animals,misc,
base,inpainted,4,295,556,0,0.2036197185516357,"[556, 799, 743, 489, 753]","[0.20361971855163574, 0.09571008384227753, 0.06453491002321243, 0.058351658284664154, 0.057954080402851105]",ILSVRC2012_val_00004660,295,n02133161,American_black_bear,animals,misc,
base,inpainted,5,112,78,0,0.0632265582680702,"[78, 816, 257, 245, 199]","[0.06322655826807022, 0.03760746866464615, 0.03389280289411545, 0.03272044286131859, 0.025854917243123055]",ILSVRC2012_val_00010096,112,n01943899,conch,animals,misc,
base,inpainted,6,32,25,0,0.0986150950193405,"[25, 26, 28, 44, 30]","[0.09861509501934052, 0.08840255439281464, 0.0818399041891098, 0.039333246648311615, 0.033571526408195496]",ILSVRC2012_val_00012231,32,n01644900,tailed_frog,animals,misc,
base,inpainted,7,677,642,0,0.1519894152879715,"[642, 320, 696, 767, 542]","[0.1519894152879715, 0.14212100207805634, 0.10155390948057175, 0.09987053275108337, 0.06732787191867828]",ILSVRC2012_val_00012438,677,n03804744,nail,tools_and_hardware,misc,
base,inpainted,8,438,828,0,0.3547705411911011,"[828, 421, 904, 40, 811]","[0.3547705411911011, 0.058077167719602585, 0.04010952636599541, 0.02749793790280819, 0.027361884713172913]",ILSVRC2012_val_00012908,438,n02815834,beaker,household,misc,
base,inpainted,9,409,352,0,0.1328182965517044,"[352, 353, 972, 583, 49]","[0.1328182965517044, 0.07526911795139313, 0.07430668920278549, 0.07016723603010178, 0.058716949075460434]",ILSVRC2012_val_00013244,409,n02708093,analog_clock,technology_and_electronics,misc,
base,inpainted,10,71,893,0,0.1021730452775955,"[893, 421, 799, 446, 636]","[0.10217304527759552, 0.07853200286626816, 0.061487678438425064, 0.04407605528831482, 0.03480741009116173]",ILSVRC2012_val_00014126,71,n01770393,scorpion,animals,misc,
base,inpainted,11,850,905,0,0.934592068195343,"[905, 588, 790, 545, 478]","[0.934592068195343, 0.008820886723697186, 0.005992767866700888, 0.0046913232654333115, 0.0043972874991595745]",ILSVRC2012_val_00015090,850,n04399382,teddy,household,misc,
base,inpainted,12,12,846,0,0.3028839230537414,"[846, 765, 726, 749, 619]","[0.30288392305374146, 0.0925465077161789, 0.04128315672278404, 0.040890954434871674, 0.03326983004808426]",ILSVRC2012_val_00015830,12,n01532829,house_finch,animals,misc,
base,inpainted,13,899,411,0,0.3905241787433624,"[411, 750, 489, 490, 721]","[0.3905241787433624, 0.27449020743370056, 0.11483042687177658, 0.04104640334844589, 0.02688182145357132]",ILSVRC2012_val_00016358,899,n04560804,water_jug,household,misc,
