model,dataset,idx,label,pred,correct,conf_top1,top5_idx,top5_probs
base,inpainted,0,361,41,0,0.16061455011367798,"[41, 77, 44, 71, 38]","[0.16061455011367798, 0.05055045336484909, 0.04287222400307655, 0.03458597511053085, 0.03070167265832424]"
base,inpainted,1,383,26,0,0.092978835105896,"[26, 132, 646, 24, 335]","[0.092978835105896, 0.051043055951595306, 0.044998861849308014, 0.026113465428352356, 0.023515861481428146]"
base,inpainted,2,356,930,0,0.08190394192934036,"[930, 43, 467, 163, 64]","[0.08190394192934036, 0.029157988727092743, 0.025190409272909164, 0.023971863090991974, 0.02304350584745407]"
base,inpainted,3,18,748,0,0.12164939939975739,"[748, 677, 968, 709, 695]","[0.12164939939975739, 0.10812481492757797, 0.05020187422633171, 0.047646407037973404, 0.045127663761377335]"
base,inpainted,4,295,556,0,0.2396816611289978,"[556, 799, 743, 489, 888]","[0.2396816611289978, 0.060528989881277084, 0.060519348829984665, 0.05361351743340492, 0.04533457010984421]"
base,inpainted,5,112,78,0,0.05886899679899216,"[78, 73, 229, 257, 382]","[0.05886899679899216, 0.038449015468358994, 0.03584006428718567, 0.028941040858626366, 0.026051035150885582]"
base,inpainted,6,32,26,0,0.17920799553394318,"[26, 25, 28, 57, 44]","[0.17920799553394318, 0.0903279110789299, 0.06836318224668503, 0.05054278299212456, 0.0380345843732357]"
base,inpainted,7,677,642,0,0.1683913618326187,"[642, 696, 767, 328, 320]","[0.1683913618326187, 0.11097705364227295, 0.09977409243583679, 0.08213590085506439, 0.07725806534290314]"
base,inpainted,8,438,828,0,0.3586985468864441,"[828, 421, 811, 904, 791]","[0.3586985468864441, 0.06644244492053986, 0.03760743513703346, 0.03519977629184723, 0.0323735736310482]"
base,inpainted,9,409,352,0,0.13824063539505005,"[352, 353, 583, 915, 972]","[0.13824063539505005, 0.09205693751573563, 0.061923105269670486, 0.06127877160906792, 0.06021204963326454]"
base,inpainted,10,71,893,0,0.07135678082704544,"[893, 604, 421, 799, 446]","[0.07135678082704544, 0.05611645057797432, 0.05599242448806763, 0.05265527591109276, 0.037524376064538956]"
base,inpainted,11,850,905,0,0.9345457553863525,"[905, 588, 790, 545, 904]","[0.9345457553863525, 0.009251142852008343, 0.005983916111290455, 0.0047903298400342464, 0.0045063127763569355]"
base,inpainted,12,12,846,0,0.2973482608795166,"[846, 765, 749, 726, 559]","[0.2973482608795166, 0.10409603267908096, 0.043290846049785614, 0.03916539251804352, 0.029686033725738525]"
base,inpainted,13,899,750,0,0.3938038647174835,"[750, 411, 489, 611, 490]","[0.3938038647174835, 0.30469831824302673, 0.11312536150217056, 0.019415730610489845, 0.018002962693572044]"
base,inpainted,14,338,978,0,0.08579308539628983,"[978, 460, 425, 525, 5]","[0.08579308539628983, 0.07191118597984314, 0.04074764996767044, 0.03971269354224205, 0.026173636317253113]"
base,inpainted,15,17,914,0,0.27414363622665405,"[914, 674, 843, 756, 660]","[0.27414363622665405, 0.046363700181245804, 0.028199167922139168, 0.026458147913217545, 0.025677531957626343]"
base,inpainted,16,363,692,0,0.18516704440116882,"[692, 458, 549, 533, 478]","[0.18516704440116882, 0.09479674696922302, 0.05409789830446243, 0.05086842179298401, 0.048870231956243515]"
base,inpainted,17,909,492,0,0.12455957382917404,"[492, 519, 427, 921, 491]","[0.12455957382917404, 0.09283860772848129, 0.06927028298377991, 0.06401726603507996, 0.047600388526916504]"
base,inpainted,18,679,679,1,0.24046263098716736,"[679, 725, 723, 929, 505]","[0.24046263098716736, 0.08620710670948029, 0.037670936435461044, 0.03607825189828873, 0.026309236884117126]"
base,inpainted,19,618,798,0,0.2100985050201416,"[798, 614, 418, 887, 918]","[0.2100985050201416, 0.13352878391742706, 0.13285987079143524, 0.09854485094547272, 0.049665238708257675]"
base,inpainted,20,618,616,0,0.13013888895511627,"[616, 121, 533, 775, 794]","[0.13013888895511627, 0.1219429150223732, 0.0691622719168663, 0.06769220530986786, 0.04709436371922493]"
base,inpainted,21,574,828,0,0.10542064905166626,"[828, 840, 855, 816, 515]","[0.10542064905166626, 0.047403592616319656, 0.04546155035495758, 0.04223635792732239, 0.039143092930316925]"
base,inpainted,22,658,766,0,0.13374550640583038,"[766, 881, 741, 916, 911]","[0.13374550640583038, 0.11059600114822388, 0.10776422917842865, 0.050206419080495834, 0.03891247510910034]"
base,inpainted,23,461,871,0,0.18094703555107117,"[871, 894, 794, 799, 669]","[0.18094703555107117, 0.15530803799629211, 0.09771465510129929, 0.07645225524902344, 0.051475800573825836]"
base,inpainted,24,132,703,0,0.3301733732223511,"[703, 581, 835, 538, 421]","[0.3301733732223511, 0.0479702427983284, 0.03905084729194641, 0.023661088198423386, 0.02289067953824997]"
base,inpainted,25,122,519,0,0.9643719792366028,"[519, 525, 492, 677, 453]","[0.9643719792366028, 0.008770948275923729, 0.00699868006631732, 0.004098056815564632, 0.0035305768251419067]"
base,inpainted,26,12,21,0,0.3710731863975525,"[21, 23, 91, 134, 22]","[0.3710731863975525, 0.19717493653297424, 0.07612267881631851, 0.05565198138356209, 0.0374809205532074]"
base,inpainted,27,679,883,0,0.10643506050109863,"[883, 518, 725, 503, 630]","[0.10643506050109863, 0.06325367093086243, 0.03757457807660103, 0.037381358444690704, 0.035474326461553574]"
base,inpainted,28,23,517,0,0.21731168031692505,"[517, 733, 780, 839, 405]","[0.21731168031692505, 0.106624536216259, 0.10553791373968124, 0.09353458136320114, 0.0449245423078537]"
base,inpainted,29,937,909,0,0.6799548268318176,"[909, 524, 469, 544, 787]","[0.6799548268318176, 0.09992033988237381, 0.06914873421192169, 0.042553991079330444, 0.016856910660862923]"
base,inpainted,30,679,429,0,0.1501423865556717,"[429, 673, 725, 622, 773]","[0.1501423865556717, 0.10577607899904251, 0.06909774243831635, 0.05548930913209915, 0.04322010651230812]"
base,inpainted,31,335,282,0,0.13297191262245178,"[282, 263, 287, 338, 162]","[0.13297191262245178, 0.13044440746307373, 0.11191752552986145, 0.10273049026727676, 0.07229778170585632]"
base,inpainted,32,76,818,0,0.09487644582986832,"[818, 644, 5, 850, 920]","[0.09487644582986832, 0.07292670011520386, 0.06703116744756699, 0.02327904850244522, 0.022433409467339516]"
base,inpainted,33,851,651,0,0.6429058313369751,"[651, 548, 453, 534, 851]","[0.6429058313369751, 0.10447923094034195, 0.08486943691968918, 0.0354970321059227, 0.033725395798683167]"
base,inpainted,34,770,905,0,0.4394190311431885,"[905, 794, 868, 799, 434]","[0.4394190311431885, 0.046418141573667526, 0.029561256989836693, 0.02162949927151203, 0.01837778091430664]"
base,inpainted,35,122,791,0,0.14123795926570892,"[791, 807, 382, 565, 466]","[0.14123795926570892, 0.08955854922533035, 0.051471248269081116, 0.043969735503196716, 0.04296267405152321]"
base,inpainted,36,712,815,0,0.7650924324989319,"[815, 74, 807, 72, 21]","[0.7650924324989319, 0.05765949562191963, 0.02823472209274769, 0.02176678739488125, 0.012957220897078514]"
base,inpainted,37,852,410,0,0.25178074836730957,"[410, 47, 60, 694, 38]","[0.25178074836730957, 0.09795787185430527, 0.059767819941043854, 0.054688747972249985, 0.04753530025482178]"
base,inpainted,38,12,94,0,0.2003958374261856,"[94, 18, 134, 12, 95]","[0.2003958374261856, 0.10865624994039536, 0.07901744544506073, 0.07399741560220718, 0.04286441579461098]"
base,inpainted,39,849,915,0,0.07835914194583893,"[915, 774, 829, 225, 852]","[0.07835914194583893, 0.06354064494371414, 0.027629410848021507, 0.02469022199511528, 0.0233402568846941]"
base,inpainted,40,606,664,0,0.23264935612678528,"[664, 598, 851, 532, 846]","[0.23264935612678528, 0.1760474145412445, 0.047343626618385315, 0.044609881937503815, 0.039086125791072845]"
base,inpainted,41,87,583,0,0.10576525330543518,"[583, 765, 150, 506, 905]","[0.10576525330543518, 0.09920056909322739, 0.09218458086252213, 0.04874134063720703, 0.04168169945478439]"
base,inpainted,42,491,803,0,0.16043712198734283,"[803, 595, 510, 547, 829]","[0.16043712198734283, 0.14631934463977814, 0.10091592371463776, 0.08776770532131195, 0.05841323360800743]"
base,inpainted,43,964,755,0,0.25708869099617004,"[755, 727, 141, 679, 806]","[0.25708869099617004, 0.12509313225746155, 0.061534490436315536, 0.03245082125067711, 0.025302773341536522]"
base,inpainted,44,635,492,0,0.126959890127182,"[492, 664, 908, 782, 662]","[0.126959890127182, 0.05355275422334671, 0.04208260774612427, 0.041539810597896576, 0.03863024711608887]"
base,inpainted,45,335,904,0,0.14070963859558105,"[904, 314, 443, 58, 858]","[0.14070963859558105, 0.03714856877923012, 0.025273989886045456, 0.024721406400203705, 0.023091711103916168]"
base,inpainted,46,825,328,0,0.06908755749464035,"[328, 192, 825, 230, 580]","[0.06908755749464035, 0.06465544551610947, 0.055482957512140274, 0.034601178020238876, 0.024677440524101257]"
base,inpainted,47,863,863,1,0.16815617680549622,"[863, 979, 336, 733, 671]","[0.16815617680549622, 0.04428983852267265, 0.036714453250169754, 0.02488560788333416, 0.021481970325112343]"
base,inpainted,48,839,863,0,0.07643945515155792,"[863, 328, 815, 384, 682]","[0.07643945515155792, 0.04030364751815796, 0.03963794931769371, 0.038301825523376465, 0.035790733993053436]"
base,inpainted,49,257,977,0,0.1276848465204239,"[977, 974, 912, 660, 978]","[0.1276848465204239, 0.05850745737552643, 0.05121321231126785, 0.02967340499162674, 0.024398133158683777]"
base,inpainted,50,185,293,0,0.19119888544082642,"[293, 646, 269, 888, 839]","[0.19119888544082642, 0.12214797735214233, 0.04914291203022003, 0.042940497398376465, 0.04224587231874466]"
base,inpainted,51,489,703,0,0.1036464273929596,"[703, 123, 839, 646, 975]","[0.1036464273929596, 0.0675216019153595, 0.06725431978702545, 0.04755545035004616, 0.04418221861124039]"
base,inpainted,52,609,329,0,0.10547356307506561,"[329, 295, 979, 346, 84]","[0.10547356307506561, 0.05872982740402222, 0.05854341760277748, 0.05448640510439873, 0.04859447479248047]"
base,inpainted,53,847,815,0,0.3501340448856354,"[815, 329, 979, 116, 390]","[0.3501340448856354, 0.1186734288930893, 0.06004179269075394, 0.03877614066004753, 0.016451342031359673]"
base,inpainted,54,544,336,0,0.08682738244533539,"[336, 295, 86, 815, 374]","[0.08682738244533539, 0.05363662168383598, 0.04219551011919975, 0.04169628769159317, 0.03507758677005768]"
base,inpainted,55,179,970,0,0.13932223618030548,"[970, 975, 973, 979, 815]","[0.13932223618030548, 0.09564460813999176, 0.08959583193063736, 0.08631698042154312, 0.04862658679485321]"
base,inpainted,56,174,825,0,0.14436763525009155,"[825, 295, 135, 127, 352]","[0.14436763525009155, 0.03516270965337753, 0.029767919331789017, 0.028497731313109398, 0.024656735360622406]"
base,inpainted,57,349,825,0,0.08566957712173462,"[825, 979, 671, 295, 912]","[0.08566957712173462, 0.04600191116333008, 0.03841375932097435, 0.03591842204332352, 0.030408861115574837]"
base,inpainted,58,277,331,0,0.15828771889209747,"[331, 815, 135, 330, 133]","[0.15828771889209747, 0.07113116979598999, 0.06033771112561226, 0.0449405312538147, 0.043491944670677185]"
base,inpainted,59,518,979,0,0.1099444180727005,"[979, 730, 9, 970, 912]","[0.1099444180727005, 0.08706290274858475, 0.048612330108881, 0.037552930414676666, 0.03723502531647682]"
base,inpainted,60,958,425,0,0.3140731155872345,"[425, 888, 975, 825, 912]","[0.3140731155872345, 0.04890025034546852, 0.04697505012154579, 0.03855246305465698, 0.03606218472123146]"
base,inpainted,61,385,9,0,0.15957383811473846,"[9, 703, 603, 649, 385]","[0.15957383811473846, 0.12064176797866821, 0.06383199989795685, 0.06330615282058716, 0.05284778028726578]"
base,inpainted,62,830,825,0,0.1652754843235016,"[825, 425, 390, 646, 621]","[0.1652754843235016, 0.06638716906309128, 0.06494620442390442, 0.04951610788702965, 0.04422207921743393]"
base,inpainted,63,132,331,0,0.1391133815050125,"[331, 282, 336, 82, 271]","[0.1391133815050125, 0.06302069127559662, 0.046363674104213715, 0.038674771785736084, 0.037554770708084106]"
base,inpainted,64,354,912,0,0.39310723543167114,"[912, 290, 9, 703, 580]","[0.39310723543167114, 0.06743183732032776, 0.06700810045003891, 0.0639929473400116, 0.02954532951116562]"
base,inpainted,65,879,912,0,0.46212929487228394,"[912, 975, 980, 974, 984]","[0.46212929487228394, 0.17999427020549774, 0.060773883014917374, 0.027948956936597824, 0.026822762563824654]"
base,inpainted,66,807,839,0,0.3698120415210724,"[839, 979, 646, 912, 975]","[0.3698120415210724, 0.13520488142967224, 0.03655305877327919, 0.0227673202753067, 0.022488439455628395]"
base,inpainted,67,863,958,0,0.2062443196773529,"[958, 863, 425, 975, 912]","[0.2062443196773529, 0.0820140689611435, 0.054031480103731155, 0.03851613402366638, 0.03821840509772301]"
base,inpainted,68,821,979,0,0.9415462017059326,"[979, 972, 970, 975, 825]","[0.9415462017059326, 0.017011454328894615, 0.011283468455076218, 0.0037247412838041782, 0.003411397337913513]"
base,inpainted,69,656,649,0,0.17365960776805878,"[649, 825, 288, 386, 839]","[0.17365960776805878, 0.06681977212429047, 0.04924389719963074, 0.034596119076013565, 0.028807805851101875]"
base,inpainted,70,614,912,0,0.31492745876312256,"[912, 904, 4, 89, 18]","[0.31492745876312256, 0.1048521026968956, 0.10382155328989029, 0.1016346737742424, 0.08841244876384735]"
base,inpainted,71,294,295,0,0.12443725764751434,"[295, 979, 839, 972, 350]","[0.12443725764751434, 0.10266529023647308, 0.052178699523210526, 0.05164400860667229, 0.04550905153155327]"
base,inpainted,72,870,730,0,0.1844928115606308,"[730, 912, 274, 292, 101]","[0.1844928115606308, 0.05736059322953224, 0.03360075503587723, 0.027653712779283524, 0.02762497030198574]"
base,inpainted,73,346,649,0,0.0931842103600502,"[649, 101, 825, 958, 984]","[0.0931842103600502, 0.0712999626994133, 0.06451398134231567, 0.03222635015845299, 0.025944162160158157]"
base,inpainted,74,194,404,0,0.09354417771100998,"[404, 537, 80, 802, 212]","[0.09354417771100998, 0.04848615452647209, 0.04547218605875969, 0.03476874157786369, 0.03129620850086212]"
base,inpainted,75,287,342,0,0.22738033533096313,"[342, 233, 350, 197, 269]","[0.22738033533096313, 0.13288728892803192, 0.07574918121099472, 0.0377655029296875, 0.03367049619555473]"
base,inpainted,76,295,295,1,0.06278759986162186,"[295, 364, 269, 274, 270]","[0.06278759986162186, 0.047758109867572784, 0.03792396932840347, 0.03698677197098732, 0.028868427500128746]"
base,inpainted,77,92,128,0,0.40297988057136536,"[128, 91, 131, 80, 92]","[0.40297988057136536, 0.32094210386276245, 0.06550388038158417, 0.043121982365846634, 0.02306061051785946]"
base,inpainted,78,17,957,0,0.2729974687099457,"[957, 989, 94, 14, 988]","[0.2729974687099457, 0.22825023531913757, 0.05455602705478668, 0.05084235593676567, 0.04840319976210594]"
base,inpainted,79,105,89,0,0.26107075810432434,"[89, 489, 806, 17, 491]","[0.26107075810432434, 0.09250348061323166, 0.05501271039247513, 0.03888346254825592, 0.03510429710149765]"
base,inpainted,80,356,904,0,0.07150104641914368,"[904, 24, 706, 206, 448]","[0.07150104641914368, 0.06133918836712837, 0.05030559003353119, 0.04116145521402359, 0.03670008108019829]"
base,inpainted,81,14,95,0,0.23193344473838806,"[95, 364, 91, 16, 14]","[0.23193344473838806, 0.1591372787952423, 0.12841641902923584, 0.10086116939783096, 0.08029061555862427]"
base,inpainted,82,378,378,1,0.24583980441093445,"[378, 364, 913, 957, 321]","[0.24583980441093445, 0.1131751611828804, 0.03429467976093292, 0.02555372752249241, 0.020833225920796394]"
base,inpainted,83,59,382,0,0.21585921943187714,"[382, 95, 313, 14, 380]","[0.21585921943187714, 0.1541079580783844, 0.11152193695306778, 0.051245152950286865, 0.04826241359114647]"
base,inpainted,84,95,59,0,0.19473905861377716,"[59, 95, 315, 47, 55]","[0.19473905861377716, 0.12073533236980438, 0.11779192835092545, 0.05028986558318138, 0.04493531957268715]"
base,inpainted,85,95,46,0,0.10795935988426208,"[46, 313, 14, 994, 988]","[0.10795935988426208, 0.07917910814285278, 0.07388874888420105, 0.06847788393497467, 0.0670425072312355]"
base,inpainted,86,379,379,1,0.22679145634174347,"[379, 387, 375, 381, 364]","[0.22679145634174347, 0.14186619222164154, 0.06376530230045319, 0.0614144392311573, 0.05632492154836655]"
base,inpainted,87,382,46,0,0.15901845693588257,"[46, 380, 40, 91, 315]","[0.15901845693588257, 0.09141969680786133, 0.07016648352146149, 0.062068626284599304, 0.044912368059158325]"
base,inpainted,88,10,382,0,0.22629646956920624,"[382, 92, 10, 95, 14]","[0.22629646956920624, 0.14407508075237274, 0.13396400213241577, 0.09369665384292603, 0.05321432277560234]"
base,inpainted,89,383,142,0,0.15085917711257935,"[142, 98, 140, 141, 133]","[0.15085917711257935, 0.0811004787683487, 0.07421121001243591, 0.06436989456415176, 0.04230375215411186]"
base,inpainted,90,378,955,0,0.15762968361377716,"[955, 381, 379, 364, 378]","[0.15762968361377716, 0.15760745108127594, 0.12871433794498444, 0.07934173196554184, 0.05321105942130089]"
base,inpainted,91,376,383,0,0.18853512406349182,"[383, 367, 365, 387, 51]","[0.18853512406349182, 0.08697691559791565, 0.06118738278746605, 0.05812651291489601, 0.03711087256669998]"
