model,dataset,idx,label,pred,correct,conf_top1,top5_idx,top5_probs
base,object,0,361,23,0,0.6291136741638184,"[23, 22, 9, 144, 21]","[0.6291136741638184, 0.05740780383348465, 0.029348595067858696, 0.02909141778945923, 0.017891094088554382]"
base,object,1,383,89,0,0.4056105613708496,"[89, 324, 610, 584, 701]","[0.4056105613708496, 0.10540567338466644, 0.0703858733177185, 0.05396363139152527, 0.043214648962020874]"
base,object,2,356,87,0,0.9311084151268005,"[87, 356, 358, 13, 359]","[0.9311084151268005, 0.027253318578004837, 0.011656183749437332, 0.004268632270395756, 0.0039024187717586756]"
base,object,3,18,127,0,0.4272562265396118,"[127, 128, 143, 22, 132]","[0.4272562265396118, 0.09158746153116226, 0.08638253062963486, 0.0718657448887825, 0.06232614070177078]"
base,object,4,295,893,0,0.16616712510585785,"[893, 844, 636, 710, 859]","[0.16616712510585785, 0.15676450729370117, 0.08717647194862366, 0.057154666632413864, 0.04590903967618942]"
base,object,5,112,616,0,0.12664222717285156,"[616, 42, 141, 129, 47]","[0.12664222717285156, 0.08205898851156235, 0.06618031114339828, 0.047638896852731705, 0.046761203557252884]"
base,object,6,32,288,0,0.11728417873382568,"[288, 73, 701, 989, 94]","[0.11728417873382568, 0.10975994169712067, 0.07390575110912323, 0.0652572512626648, 0.05690839886665344]"
base,object,7,677,701,0,0.4377874433994293,"[701, 143, 144, 895, 404]","[0.4377874433994293, 0.09660475701093674, 0.08768608421087265, 0.04658038914203644, 0.03564208373427391]"
base,object,8,438,804,0,0.17775101959705353,"[804, 883, 898, 572, 711]","[0.17775101959705353, 0.06660021096467972, 0.06104850396513939, 0.05013996362686157, 0.03640659898519516]"
base,object,9,409,892,0,0.68825763463974,"[892, 409, 426, 787, 572]","[0.68825763463974, 0.1609412282705307, 0.06723722070455551, 0.014164603315293789, 0.01012213621288538]"
base,object,10,71,127,0,0.17922435700893402,"[127, 138, 131, 143, 15]","[0.17922435700893402, 0.14765822887420654, 0.13602952659130096, 0.1124110221862793, 0.047901052981615067]"
base,object,11,850,850,1,0.9282969236373901,"[850, 265, 356, 87, 267]","[0.9282969236373901, 0.03356684744358063, 0.0067189158871769905, 0.003087615128606558, 0.0029493209440261126]"
base,object,12,12,12,1,0.40301790833473206,"[12, 701, 317, 38, 86]","[0.40301790833473206, 0.10152795165777206, 0.06351681798696518, 0.05509660392999649, 0.04650070518255234]"
base,object,13,899,883,0,0.4494355320930481,"[883, 604, 725, 503, 846]","[0.4494355320930481, 0.10954944789409637, 0.0734017863869667, 0.05191194266080856, 0.0502459742128849]"
base,object,14,338,357,0,0.1346805989742279,"[357, 182, 256, 208, 338]","[0.1346805989742279, 0.0930681899189949, 0.06917236000299454, 0.06814516335725784, 0.06777076423168182]"
base,object,15,17,17,1,0.7288433909416199,"[17, 11, 10, 13, 92]","[0.7288433909416199, 0.11207500100135803, 0.03304184228181839, 0.021050577983260155, 0.01764501817524433]"
base,object,16,363,64,0,0.22314852476119995,"[64, 42, 129, 90, 10]","[0.22314852476119995, 0.2009391337633133, 0.1278061866760254, 0.12104244530200958, 0.07564427703619003]"
base,object,17,909,492,0,0.43284857273101807,"[492, 478, 519, 692, 726]","[0.43284857273101807, 0.2545153498649597, 0.06836163252592087, 0.04445191100239754, 0.022006992250680923]"
base,object,18,679,327,0,0.49880313873291016,"[327, 63, 679, 883, 443]","[0.49880313873291016, 0.11177850514650345, 0.06790003925561905, 0.05199987813830376, 0.021230967715382576]"
base,object,19,618,846,0,0.07202151417732239,"[846, 883, 13, 960, 496]","[0.07202151417732239, 0.06836352497339249, 0.06036487594246864, 0.03477222099900246, 0.03411809355020523]"
base,object,20,618,731,0,0.20932526886463165,"[731, 420, 846, 840, 572]","[0.20932526886463165, 0.07281673699617386, 0.06456942111253738, 0.05876287445425987, 0.045787714421749115]"
base,object,21,574,574,1,0.6297008991241455,"[574, 87, 892, 818, 426]","[0.6297008991241455, 0.08441470563411713, 0.0564863346517086, 0.0264886524528265, 0.02221861481666565]"
base,object,22,658,887,0,0.12498506903648376,"[887, 614, 938, 354, 610]","[0.12498506903648376, 0.07836370170116425, 0.06139101833105087, 0.06048758327960968, 0.04632139205932617]"
base,object,23,461,87,0,0.17023886740207672,"[87, 23, 461, 93, 524]","[0.17023886740207672, 0.10084962844848633, 0.09017530083656311, 0.06344566494226456, 0.043368637561798096]"
