model,dataset,idx,label,pred,correct,conf_top1,top5_idx,top5_probs
base,ooc,0,361,704,0,0.09570879489183426,"[704, 239, 654, 978, 832]","[0.09570879489183426, 0.0658370852470398, 0.04284168407320976, 0.04043582081794739, 0.03210853412747383]"
base,ooc,1,383,218,0,0.23346160352230072,"[218, 162, 190, 161, 215]","[0.23346160352230072, 0.12192896753549576, 0.10352537035942078, 0.10216764360666275, 0.052709344774484634]"
base,ooc,2,356,358,0,0.32173433899879456,"[358, 356, 359, 186, 271]","[0.32173433899879456, 0.17065571248531342, 0.0610123947262764, 0.026815809309482574, 0.025485370308160782]"
base,ooc,3,18,472,0,0.1145847961306572,"[472, 621, 704, 880, 471]","[0.1145847961306572, 0.04364501312375069, 0.037833474576473236, 0.03556458652019501, 0.03539177402853966]"
base,ooc,4,295,703,0,0.12279994785785675,"[703, 519, 295, 415, 649]","[0.12279994785785675, 0.07249219715595245, 0.06106000766158104, 0.04360303282737732, 0.03677253797650337]"
base,ooc,5,112,47,0,0.18524222075939178,"[47, 60, 54, 44, 53]","[0.18524222075939178, 0.09858202189207077, 0.09086591750383377, 0.08249130845069885, 0.07970839738845825]"
base,ooc,6,32,649,0,0.3424030542373657,"[649, 956, 66, 47, 938]","[0.3424030542373657, 0.09659174084663391, 0.08851820230484009, 0.058470819145441055, 0.05485088378190994]"
base,ooc,7,677,99,0,0.19969776272773743,"[99, 127, 135, 128, 191]","[0.19969776272773743, 0.118228018283844, 0.05253545939922333, 0.04550916329026222, 0.038139015436172485]"
base,ooc,8,438,840,0,0.07425802201032639,"[840, 17, 88, 258, 898]","[0.07425802201032639, 0.0648077055811882, 0.06128639355301857, 0.0581376738846302, 0.0454045794904232]"
base,ooc,9,409,409,1,0.38456615805625916,"[409, 900, 437, 442, 455]","[0.38456615805625916, 0.17246955633163452, 0.05970366671681404, 0.038592901080846786, 0.030995098873972893]"
base,ooc,10,71,314,0,0.21211554110050201,"[314, 311, 312, 306, 307]","[0.21211554110050201, 0.15338870882987976, 0.057569120079278946, 0.04504019394516945, 0.036041900515556335]"
base,ooc,11,850,850,1,0.9032412171363831,"[850, 333, 29, 265, 865]","[0.9032412171363831, 0.03377952799201012, 0.02012702077627182, 0.006794660817831755, 0.005604806821793318]"
base,ooc,12,12,209,0,0.15175767242908478,"[209, 156, 213, 211, 564]","[0.15175767242908478, 0.07299628853797913, 0.05714014917612076, 0.053915124386548996, 0.035414692014455795]"
base,ooc,13,899,709,0,0.15190692245960236,"[709, 421, 692, 917, 725]","[0.15190692245960236, 0.06752441823482513, 0.04460594058036804, 0.042882464826107025, 0.042556993663311005]"
base,ooc,14,338,179,0,0.5787901878356934,"[179, 205, 338, 208, 256]","[0.5787901878356934, 0.14097878336906433, 0.0485057570040226, 0.03299541026353836, 0.02761572040617466]"
base,ooc,15,17,157,0,0.09412208199501038,"[157, 171, 162, 845, 752]","[0.09412208199501038, 0.08056394755840302, 0.05078643560409546, 0.04093746095895767, 0.04060706868767738]"
base,ooc,16,363,932,0,0.29315176606178284,"[932, 934, 118, 965, 466]","[0.29315176606178284, 0.15345023572444916, 0.09257424622774124, 0.04281816631555557, 0.032742105424404144]"
base,ooc,17,909,492,0,0.11119259893894196,"[492, 448, 835, 496, 472]","[0.11119259893894196, 0.10114917159080505, 0.07343258708715439, 0.04611143842339516, 0.04290776699781418]"
base,ooc,18,679,443,0,0.081121526658535,"[443, 402, 702, 928, 666]","[0.081121526658535, 0.06524162739515305, 0.057633981108665466, 0.052930451929569244, 0.03601924702525139]"
base,ooc,19,618,475,0,0.1674683839082718,"[475, 173, 677, 816, 381]","[0.1674683839082718, 0.04872604459524155, 0.04269386827945709, 0.039702530950307846, 0.033939655870199203]"
base,ooc,20,618,986,0,0.2479156255722046,"[986, 997, 361, 13, 14]","[0.2479156255722046, 0.1435893326997757, 0.050048939883708954, 0.044722095131874084, 0.031121470034122467]"
base,ooc,21,574,574,1,0.34184515476226807,"[574, 65, 538, 392, 818]","[0.34184515476226807, 0.07397158443927765, 0.05580144003033638, 0.04669524356722832, 0.0273722056299448]"
