model,dataset,idx,label,pred,correct,conf_top1,top5_idx,top5_probs
base,original,0,361,355,0,0.09173338115215302,"[355, 151, 388, 284, 237]","[0.09173338115215302, 0.07728807628154755, 0.07084456831216812, 0.0687195435166359, 0.05862812325358391]"
base,original,1,383,156,0,0.21709714829921722,"[156, 161, 216, 212, 218]","[0.21709714829921722, 0.11844616383314133, 0.06144530698657036, 0.0606369711458683, 0.03402717038989067]"
base,original,2,356,87,0,0.2873709797859192,"[87, 356, 358, 359, 180]","[0.2873709797859192, 0.12002526968717575, 0.086412712931633, 0.04503025487065315, 0.03521837294101715]"
base,original,3,18,18,1,0.8109089136123657,"[18, 17, 13, 19, 132]","[0.8109089136123657, 0.06984058022499084, 0.018953856080770493, 0.01871589571237564, 0.012874524109065533]"
base,original,4,295,799,0,0.3036452531814575,"[799, 915, 480, 706, 792]","[0.3036452531814575, 0.0791182667016983, 0.07903575897216797, 0.04846698418259621, 0.04513520747423172]"
base,original,5,112,448,0,0.41322043538093567,"[448, 863, 506, 494, 23]","[0.41322043538093567, 0.22686901688575745, 0.030398277565836906, 0.02008827030658722, 0.01774497888982296]"
base,original,6,32,30,0,0.059558525681495667,"[30, 991, 26, 124, 25]","[0.059558525681495667, 0.051908232271671295, 0.04983589053153992, 0.03793488070368767, 0.034531671553850174]"
base,original,7,677,320,0,0.3128741681575775,"[320, 319, 311, 309, 642]","[0.3128741681575775, 0.07451724261045456, 0.07378590106964111, 0.04034074768424034, 0.0363951250910759]"
base,original,8,438,828,0,0.6765611171722412,"[828, 722, 720, 470, 84]","[0.6765611171722412, 0.05086567997932434, 0.033858202397823334, 0.01505147572606802, 0.009893305599689484]"
base,original,9,409,352,0,0.5298358201980591,"[352, 506, 892, 787, 730]","[0.5298358201980591, 0.04455433413386345, 0.03608667105436325, 0.03569146245718002, 0.02273010089993477]"
base,original,10,71,604,0,0.1270260214805603,"[604, 625, 748, 475, 674]","[0.1270260214805603, 0.06979481130838394, 0.06724817305803299, 0.0632394552230835, 0.053643226623535156]"
base,original,11,850,850,1,0.7241877913475037,"[850, 265, 87, 99, 333]","[0.7241877913475037, 0.10052850097417831, 0.07708809524774551, 0.019787460565567017, 0.017580460757017136]"
base,original,12,12,846,0,0.24384759366512299,"[846, 619, 12, 191, 47]","[0.24384759366512299, 0.13688698410987854, 0.09667827934026718, 0.04982231557369232, 0.014884731732308865]"
base,original,13,899,489,0,0.2848176956176758,"[489, 411, 721, 741, 883]","[0.2848176956176758, 0.13339032232761383, 0.039509788155555725, 0.029889099299907684, 0.02441323921084404]"
