model,dataset,idx,label,pred,correct,conf_top1,top5_idx,top5_probs
blur-light,inpainted,0,361,41,0,0.09212440997362137,"[41, 44, 858, 38, 61]","[0.09212440997362137, 0.06255868822336197, 0.04460858926177025, 0.04315921291708946, 0.03393217548727989]"
blur-light,inpainted,1,383,132,0,0.09180304408073425,"[132, 287, 330, 89, 24]","[0.09180304408073425, 0.06616014987230301, 0.0643182173371315, 0.04793637990951538, 0.04719549044966698]"
blur-light,inpainted,2,356,568,0,0.1813424676656723,"[568, 824, 885, 317, 636]","[0.1813424676656723, 0.12367048114538193, 0.10863026231527328, 0.038997434079647064, 0.03340689465403557]"
blur-light,inpainted,3,18,677,0,0.44499075412750244,"[677, 311, 565, 775, 427]","[0.44499075412750244, 0.041157446801662445, 0.03314724192023277, 0.030671874061226845, 0.025878949090838432]"
blur-light,inpainted,4,295,733,0,0.3699539303779602,"[733, 743, 799, 718, 905]","[0.3699539303779602, 0.14211846888065338, 0.10253507643938065, 0.04937717318534851, 0.043111011385917664]"
blur-light,inpainted,5,112,884,0,0.09354444593191147,"[884, 580, 677, 903, 840]","[0.09354444593191147, 0.06592529267072678, 0.05098831653594971, 0.04483349248766899, 0.04349876567721367]"
blur-light,inpainted,6,32,58,0,0.13879241049289703,"[58, 30, 62, 44, 71]","[0.13879241049289703, 0.10335425287485123, 0.08173593133687973, 0.07588157057762146, 0.06611209362745285]"
blur-light,inpainted,7,677,320,0,0.827980637550354,"[320, 319, 317, 318, 301]","[0.827980637550354, 0.04963725805282593, 0.019398117437958717, 0.015108349733054638, 0.014894883148372173]"
blur-light,inpainted,8,438,828,0,0.42367544770240784,"[828, 811, 651, 423, 753]","[0.42367544770240784, 0.05100148171186447, 0.042989347130060196, 0.03219062462449074, 0.024638807401061058]"
blur-light,inpainted,9,409,900,0,0.11784677952528,"[900, 489, 70, 353, 821]","[0.11784677952528, 0.07840823382139206, 0.07480587810277939, 0.07425934821367264, 0.04842352494597435]"
blur-light,inpainted,10,71,904,0,0.12197647243738174,"[904, 620, 604, 575, 681]","[0.12197647243738174, 0.0695340484380722, 0.06737137585878372, 0.05251433700323105, 0.04280143976211548]"
blur-light,inpainted,11,850,905,0,0.7268548011779785,"[905, 858, 753, 69, 904]","[0.7268548011779785, 0.050827328115701675, 0.03601204603910446, 0.020570574328303337, 0.015517122112214565]"
blur-light,inpainted,12,12,644,0,0.1254524141550064,"[644, 765, 594, 789, 883]","[0.1254524141550064, 0.08208131045103073, 0.06613375246524811, 0.03894207254052162, 0.02683241479098797]"
blur-light,inpainted,13,899,741,0,0.2024313509464264,"[741, 490, 750, 411, 806]","[0.2024313509464264, 0.17944690585136414, 0.10116390883922577, 0.09232652187347412, 0.08395489305257797]"
blur-light,inpainted,14,338,833,0,0.2140732854604721,"[833, 977, 908, 978, 750]","[0.2140732854604721, 0.10549107193946838, 0.042309314012527466, 0.041194602847099304, 0.03800864890217781]"
