model,dataset,idx,label,pred,correct,conf_top1,top5_idx,top5_probs
blur-light,object,0,361,23,0,0.11069416254758835,"[23, 128, 252, 143, 94]","[0.11069416254758835, 0.09663879871368408, 0.07422886043787003, 0.058254729956388474, 0.05391659587621689]"
blur-light,object,1,383,73,0,0.2080545872449875,"[73, 38, 610, 679, 80]","[0.2080545872449875, 0.17777734994888306, 0.17135219275951385, 0.07807435840368271, 0.03748300299048424]"
blur-light,object,2,356,356,1,0.4647212624549866,"[356, 359, 13, 358, 87]","[0.4647212624549866, 0.1835675686597824, 0.09382171928882599, 0.061011843383312225, 0.03522877395153046]"
blur-light,object,3,18,18,1,0.21361348032951355,"[18, 127, 143, 19, 132]","[0.21361348032951355, 0.1897427886724472, 0.1862720400094986, 0.1327083706855774, 0.06344038993120193]"
blur-light,object,4,295,499,0,0.1448209434747696,"[499, 799, 710, 893, 557]","[0.1448209434747696, 0.1401185244321823, 0.07148367911577225, 0.06821411103010178, 0.05051824823021889]"
blur-light,object,5,112,87,0,0.442781537771225,"[87, 459, 38, 47, 488]","[0.442781537771225, 0.0527627170085907, 0.0476275235414505, 0.044625960290431976, 0.04108106717467308]"
blur-light,object,6,32,73,0,0.276425302028656,"[73, 701, 318, 47, 326]","[0.276425302028656, 0.14086857438087463, 0.09877193719148636, 0.06591543555259705, 0.047501787543296814]"
blur-light,object,7,677,701,0,0.32848310470581055,"[701, 22, 127, 99, 143]","[0.32848310470581055, 0.150603786110878, 0.0776844248175621, 0.07683254778385162, 0.046097662299871445]"
blur-light,object,8,438,846,0,0.08785779029130936,"[846, 845, 898, 711, 626]","[0.08785779029130936, 0.07070749998092651, 0.07021816819906235, 0.06653684377670288, 0.051621872931718826]"
blur-light,object,9,409,892,0,0.7700304985046387,"[892, 409, 426, 826, 524]","[0.7700304985046387, 0.11741265654563904, 0.028868062421679497, 0.02377973683178425, 0.008729158900678158]"
blur-light,object,10,71,127,0,0.1853889375925064,"[127, 78, 80, 71, 512]","[0.1853889375925064, 0.07840277999639511, 0.06348039209842682, 0.056880831718444824, 0.05382883921265602]"
blur-light,object,11,850,850,1,0.9977909326553345,"[850, 356, 333, 222, 87]","[0.9977909326553345, 0.0007071224390529096, 0.0005789512651972473, 0.0001802922342903912, 0.00012300924572627991]"
blur-light,object,12,12,12,1,0.5257158875465393,"[12, 701, 90, 47, 86]","[0.5257158875465393, 0.06626025587320328, 0.05457290634512901, 0.050019629299640656, 0.04403205215930939]"
blur-light,object,13,899,503,0,0.18468238413333893,"[503, 711, 308, 883, 899]","[0.18468238413333893, 0.17630316317081451, 0.10329239815473557, 0.07440198957920074, 0.04670080915093422]"
blur-light,object,14,338,358,0,0.4414896070957184,"[358, 359, 380, 356, 245]","[0.4414896070957184, 0.1041770949959755, 0.06967250257730484, 0.06713663041591644, 0.02345215529203415]"
blur-light,object,15,17,17,1,0.9680582284927368,"[17, 97, 92, 11, 18]","[0.9680582284927368, 0.006047764793038368, 0.003745475085452199, 0.002585209906101227, 0.0024661847855895758]"
blur-light,object,16,363,64,0,0.27715378999710083,"[64, 42, 92, 318, 129]","[0.27715378999710083, 0.20719055831432343, 0.18829648196697235, 0.07464183121919632, 0.031376492232084274]"
blur-light,object,17,909,492,0,0.35588160157203674,"[492, 478, 519, 419, 588]","[0.35588160157203674, 0.14891158044338226, 0.09456400573253632, 0.031014608219265938, 0.02524605207145214]"
blur-light,object,18,679,63,0,0.4752751290798187,"[63, 679, 111, 43, 443]","[0.4752751290798187, 0.19346152245998383, 0.16731129586696625, 0.03983185067772865, 0.029630059376358986]"
blur-light,object,19,618,99,0,0.06761033087968826,"[99, 813, 13, 306, 11]","[0.06761033087968826, 0.0484737753868103, 0.04844629764556885, 0.03687203302979469, 0.03318411484360695]"
blur-light,object,20,618,846,0,0.24444900453090668,"[846, 420, 600, 731, 402]","[0.24444900453090668, 0.19754178822040558, 0.08513028919696808, 0.07226698100566864, 0.03712667152285576]"
blur-light,object,21,574,574,1,0.8322300910949707,"[574, 87, 818, 892, 53]","[0.8322300910949707, 0.057947155088186264, 0.047433041036129, 0.011495227925479412, 0.003434445708990097]"
blur-light,object,22,658,610,0,0.27038276195526123,"[610, 887, 112, 134, 716]","[0.27038276195526123, 0.07922235876321793, 0.042664751410484314, 0.036851394921541214, 0.03328350558876991]"
blur-light,object,23,461,305,0,0.14142610132694244,"[305, 87, 23, 21, 22]","[0.14142610132694244, 0.13810689747333527, 0.12210321426391602, 0.09221696108579636, 0.07531964778900146]"
blur-light,object,24,132,89,0,0.7359228730201721,"[89, 87, 127, 132, 22]","[0.7359228730201721, 0.10534065961837769, 0.07564153522253036, 0.03969292342662811, 0.009780311025679111]"
blur-light,object,25,122,25,0,0.08486254513263702,"[25, 310, 584, 71, 513]","[0.08486254513263702, 0.07502561062574387, 0.06172674894332886, 0.0534510537981987, 0.035529788583517075]"
blur-light,object,26,12,319,0,0.4288274347782135,"[319, 94, 320, 92, 42]","[0.4288274347782135, 0.10389378666877747, 0.09079848229885101, 0.08588244020938873, 0.02357012964785099]"
blur-light,object,27,679,679,1,0.3282105326652527,"[679, 683, 512, 488, 815]","[0.3282105326652527, 0.142156720161438, 0.12588660418987274, 0.11351656168699265, 0.11048182100057602]"
blur-light,object,28,23,326,0,0.16868866980075836,"[326, 21, 97, 93, 80]","[0.16868866980075836, 0.14417660236358643, 0.09211555123329163, 0.07736760377883911, 0.06424020975828171]"
blur-light,object,29,937,567,0,0.5528960824012756,"[567, 949, 909, 813, 738]","[0.5528960824012756, 0.1888858824968338, 0.08189018070697784, 0.05324001982808113, 0.021915210410952568]"
blur-light,object,30,679,75,0,0.3067031800746918,"[75, 22, 679, 70, 132]","[0.3067031800746918, 0.15590539574623108, 0.08326675742864609, 0.07706139236688614, 0.046299777925014496]"
blur-light,object,31,335,281,0,0.3342512845993042,"[281, 94, 182, 283, 280]","[0.3342512845993042, 0.1511206328868866, 0.06591502577066422, 0.05792711675167084, 0.029202401638031006]"
blur-light,object,32,76,75,0,0.7555258274078369,"[75, 128, 302, 895, 127]","[0.7555258274078369, 0.05995914712548256, 0.05846294015645981, 0.02191699482500553, 0.021356839686632156]"
blur-light,object,33,851,592,0,0.5818197131156921,"[592, 818, 844, 87, 674]","[0.5818197131156921, 0.1341240108013153, 0.07525282353162766, 0.033557042479515076, 0.03175678104162216]"
blur-light,object,34,770,794,0,0.3507048785686493,"[794, 685, 611, 922, 868]","[0.3507048785686493, 0.16198676824569702, 0.159847229719162, 0.10251062363386154, 0.020068548619747162]"
blur-light,object,35,122,10,0,0.5134081244468689,"[10, 11, 121, 94, 15]","[0.5134081244468689, 0.10109903663396835, 0.05594727024435997, 0.043888602405786514, 0.02452869899570942]"
blur-light,object,36,712,971,0,0.33061355352401733,"[971, 712, 828, 787, 818]","[0.33061355352401733, 0.23523561656475067, 0.13803412020206451, 0.07965750992298126, 0.06178208813071251]"
blur-light,object,37,852,852,1,0.3315434455871582,"[852, 429, 574, 988, 113]","[0.3315434455871582, 0.2256018966436386, 0.1626630276441574, 0.0733853429555893, 0.03215524181723595]"
