model,dataset,idx,label,pred,correct,conf_top1,top5_idx,top5_probs
blur-light,ooc,0,361,239,0,0.22585298120975494,"[239, 264, 256, 259, 238]","[0.22585298120975494, 0.15245237946510315, 0.1285063773393631, 0.06744154542684555, 0.04309990257024765]"
blur-light,ooc,1,383,203,0,0.09256327152252197,"[203, 178, 611, 161, 683]","[0.09256327152252197, 0.08646683394908905, 0.0443064346909523, 0.04218025505542755, 0.037456873804330826]"
blur-light,ooc,2,356,356,1,0.1663764864206314,"[356, 333, 359, 338, 87]","[0.1663764864206314, 0.14304929971694946, 0.11702264100313187, 0.10908084362745285, 0.09070982784032822]"
blur-light,ooc,3,18,40,0,0.09652982652187347,"[40, 180, 96, 134, 18]","[0.09652982652187347, 0.07359236478805542, 0.06457982957363129, 0.05790334194898605, 0.043834805488586426]"
blur-light,ooc,4,295,912,0,0.17606034874916077,"[912, 295, 649, 743, 902]","[0.17606034874916077, 0.16344328224658966, 0.0867329016327858, 0.05445140600204468, 0.04775260016322136]"
blur-light,ooc,5,112,19,0,0.254499226808548,"[19, 112, 47, 53, 43]","[0.254499226808548, 0.18617714941501617, 0.08439116925001144, 0.07751335948705673, 0.060990698635578156]"
blur-light,ooc,6,32,976,0,0.46789121627807617,"[976, 972, 938, 649, 350]","[0.46789121627807617, 0.19725829362869263, 0.05497431010007858, 0.029815221205353737, 0.027683263644576073]"
blur-light,ooc,7,677,135,0,0.12773357331752777,"[135, 274, 271, 51, 134]","[0.12773357331752777, 0.07420050352811813, 0.06525125354528427, 0.04104335233569145, 0.03904208540916443]"
blur-light,ooc,8,438,345,0,0.16927428543567657,"[345, 899, 898, 226, 160]","[0.16927428543567657, 0.08703269809484482, 0.05616461858153343, 0.05498373135924339, 0.03880471736192703]"
blur-light,ooc,9,409,409,1,0.6922303438186646,"[409, 892, 426, 635, 455]","[0.6922303438186646, 0.14108581840991974, 0.04739462956786156, 0.03731225058436394, 0.016611777245998383]"
blur-light,ooc,10,71,314,0,0.1547672599554062,"[314, 177, 303, 69, 514]","[0.1547672599554062, 0.060410287231206894, 0.043954573571681976, 0.030335189774632454, 0.028564797714352608]"
blur-light,ooc,11,850,333,0,0.7546541094779968,"[333, 850, 29, 87, 356]","[0.7546541094779968, 0.22632089257240295, 0.006877313368022442, 0.0019241924164816737, 0.0011062814155593514]"
blur-light,ooc,12,12,184,0,0.23718619346618652,"[184, 202, 266, 220, 219]","[0.23718619346618652, 0.10018052160739899, 0.07891836762428284, 0.04021567851305008, 0.03944539651274681]"
blur-light,ooc,13,899,711,0,0.24256831407546997,"[711, 614, 420, 600, 846]","[0.24256831407546997, 0.06364290416240692, 0.045035332441329956, 0.03754416108131409, 0.027038561180233955]"
blur-light,ooc,14,338,338,1,0.34980911016464233,"[338, 179, 205, 208, 357]","[0.34980911016464233, 0.2219627946615219, 0.1463945508003235, 0.07764692604541779, 0.0386933758854866]"
blur-light,ooc,15,17,845,0,0.3491400480270386,"[845, 171, 418, 563, 17]","[0.3491400480270386, 0.11576726287603378, 0.06265087425708771, 0.04476653411984444, 0.037665754556655884]"
blur-light,ooc,16,363,466,0,0.2921169400215149,"[466, 763, 150, 895, 129]","[0.2921169400215149, 0.0457957498729229, 0.042619068175554276, 0.03393130004405975, 0.031237002462148666]"
blur-light,ooc,17,909,835,0,0.20864897966384888,"[835, 502, 930, 492, 910]","[0.20864897966384888, 0.09088758379220963, 0.0514197014272213, 0.04615824297070503, 0.03827694430947304]"
blur-light,ooc,18,679,835,0,0.11660971492528915,"[835, 577, 402, 494, 666]","[0.11660971492528915, 0.06817005574703217, 0.06366467475891113, 0.06080247089266777, 0.051431804895401]"
blur-light,ooc,19,618,99,0,0.16430141031742096,"[99, 279, 144, 382, 475]","[0.16430141031742096, 0.06336816400289536, 0.04772234708070755, 0.036943819373846054, 0.03373952582478523]"
blur-light,ooc,20,618,14,0,0.08263812214136124,"[14, 986, 12, 17, 90]","[0.08263812214136124, 0.08182068169116974, 0.07253529876470566, 0.0596705786883831, 0.0515669547021389]"
blur-light,ooc,21,574,574,1,0.11171799898147583,"[574, 515, 65, 910, 107]","[0.11171799898147583, 0.04496891051530838, 0.03321760892868042, 0.030768970027565956, 0.028973035514354706]"
blur-light,ooc,22,658,958,0,0.1948222815990448,"[958, 649, 483, 716, 497]","[0.1948222815990448, 0.14284883439540863, 0.11182817816734314, 0.10840524733066559, 0.08945570886135101]"
blur-light,ooc,23,461,136,0,0.2310963273048401,"[136, 137, 360, 346, 131]","[0.2310963273048401, 0.162845641374588, 0.11422175168991089, 0.06369232386350632, 0.03797830641269684]"
blur-light,ooc,24,132,89,0,0.6340286731719971,"[89, 207, 208, 132, 134]","[0.6340286731719971, 0.057903725653886795, 0.038778822869062424, 0.03822176530957222, 0.028256703168153763]"
blur-light,ooc,25,122,625,0,0.2550775110721588,"[625, 766, 726, 415, 491]","[0.2550775110721588, 0.19150207936763763, 0.051539432257413864, 0.03615939989686012, 0.028767159208655357]"
blur-light,ooc,26,12,276,0,0.09964752942323685,"[276, 360, 34, 337, 99]","[0.09964752942323685, 0.08644962310791016, 0.06860198825597763, 0.05752890557050705, 0.052689336240291595]"
blur-light,ooc,27,679,138,0,0.5514643788337708,"[138, 350, 353, 293, 274]","[0.5514643788337708, 0.06119726225733757, 0.045900773257017136, 0.04435514658689499, 0.031487803906202316]"
blur-light,ooc,28,23,91,0,0.2617339789867401,"[91, 321, 136, 94, 133]","[0.2617339789867401, 0.10612522065639496, 0.060901038348674774, 0.060353443026542664, 0.053366053849458694]"
blur-light,ooc,29,937,909,0,0.3555412292480469,"[909, 544, 949, 924, 567]","[0.3555412292480469, 0.20776565372943878, 0.09725528955459595, 0.08974919468164444, 0.07121886312961578]"
blur-light,ooc,30,679,96,0,0.3337835371494293,"[96, 91, 738, 93, 73]","[0.3337835371494293, 0.06386301666498184, 0.048655640333890915, 0.04777657240629196, 0.04597867280244827]"
