model,dataset,idx,label,pred,correct,conf_top1,top5_idx,top5_probs
blur-light,original,0,361,9,0,0.1328076869249344,"[9, 369, 361, 368, 237]","[0.1328076869249344, 0.06282062828540802, 0.057037219405174255, 0.03036658652126789, 0.025014344602823257]"
blur-light,original,1,383,287,0,0.5641788244247437,"[287, 269, 81, 24, 105]","[0.5641788244247437, 0.10805334895849228, 0.05290937423706055, 0.04199733957648277, 0.037545353174209595]"
blur-light,original,2,356,356,1,0.5192933678627014,"[356, 359, 358, 259, 378]","[0.5192933678627014, 0.13849440217018127, 0.11934284120798111, 0.04274636507034302, 0.03518262878060341]"
blur-light,original,3,18,18,1,0.8495888113975525,"[18, 19, 134, 96, 13]","[0.8495888113975525, 0.12932629883289337, 0.006464377976953983, 0.002125236438587308, 0.00200077285990119]"
blur-light,original,4,295,799,0,0.39803463220596313,"[799, 743, 480, 385, 873]","[0.39803463220596313, 0.06351915746927261, 0.058392055332660675, 0.05073484778404236, 0.03837048262357712]"
blur-light,original,5,112,448,0,0.425923228263855,"[448, 54, 335, 677, 31]","[0.425923228263855, 0.1489265114068985, 0.05412775278091431, 0.04111418500542641, 0.03413267433643341]"
blur-light,original,6,32,32,1,0.29004430770874023,"[32, 47, 30, 61, 941]","[0.29004430770874023, 0.06064886227250099, 0.05700395256280899, 0.043336763978004456, 0.039390817284584045]"
blur-light,original,7,677,320,0,0.6413440704345703,"[320, 319, 70, 72, 301]","[0.6413440704345703, 0.17370368540287018, 0.02935798652470112, 0.02895328775048256, 0.020348796620965004]"
blur-light,original,8,438,722,0,0.16914711892604828,"[722, 828, 849, 673, 604]","[0.16914711892604828, 0.11689358204603195, 0.10861900448799133, 0.05580519512295723, 0.04783733934164047]"
blur-light,original,9,409,892,0,0.3591923117637634,"[892, 497, 409, 538, 506]","[0.3591923117637634, 0.17200690507888794, 0.08905372768640518, 0.05098629742860794, 0.047979846596717834]"
blur-light,original,10,71,604,0,0.19795523583889008,"[604, 575, 674, 572, 587]","[0.19795523583889008, 0.17539115250110626, 0.06253836303949356, 0.02756771631538868, 0.026488780975341797]"
blur-light,original,11,850,850,1,0.5895279049873352,"[850, 333, 356, 87, 332]","[0.5895279049873352, 0.3737602233886719, 0.015720156952738762, 0.00777569180354476, 0.0026902661193162203]"
blur-light,original,12,12,12,1,0.17075684666633606,"[12, 887, 840, 846, 462]","[0.17075684666633606, 0.09128118306398392, 0.05623294785618782, 0.02974519692361355, 0.022746920585632324]"
blur-light,original,13,899,562,0,0.21851059794425964,"[562, 490, 411, 806, 750]","[0.21851059794425964, 0.09953706711530685, 0.08256132155656815, 0.03854433819651604, 0.03683574125170708]"
blur-light,original,14,338,338,1,0.8610184788703918,"[338, 179, 223, 380, 208]","[0.8610184788703918, 0.04698767140507698, 0.010455461218953133, 0.008350969292223454, 0.006413556635379791]"
blur-light,original,15,17,17,1,0.6120599508285522,"[17, 253, 843, 882, 772]","[0.6120599508285522, 0.02119532600045204, 0.02007780410349369, 0.019878078252077103, 0.018830617889761925]"
blur-light,original,16,363,692,0,0.16409604251384735,"[692, 419, 458, 921, 539]","[0.16409604251384735, 0.1366104930639267, 0.10649234056472778, 0.07081698626279831, 0.04657921940088272]"
blur-light,original,17,909,519,0,0.12554000318050385,"[519, 910, 930, 835, 492]","[0.12554000318050385, 0.0877767950296402, 0.06778404116630554, 0.059997398406267166, 0.03993912786245346]"
blur-light,original,18,679,679,1,0.8933181166648865,"[679, 443, 969, 725, 505]","[0.8933181166648865, 0.03504804149270058, 0.009205927141010761, 0.00916168000549078, 0.008031674660742283]"
blur-light,original,19,618,452,0,0.17747721076011658,"[452, 551, 599, 918, 443]","[0.17747721076011658, 0.09460776299238205, 0.09447026997804642, 0.06107642501592636, 0.057966407388448715]"
blur-light,original,20,618,121,0,0.8128894567489624,"[121, 118, 934, 928, 314]","[0.8128894567489624, 0.019111987203359604, 0.018022842705249786, 0.014566615223884583, 0.010977174155414104]"
blur-light,original,21,574,574,1,0.6391230225563049,"[574, 855, 850, 883, 828]","[0.6391230225563049, 0.10419127345085144, 0.07490751892328262, 0.03602316975593567, 0.03517628088593483]"
blur-light,original,22,658,649,0,0.35903453826904297,"[649, 345, 562, 144, 987]","[0.35903453826904297, 0.15475185215473175, 0.0526820570230484, 0.045911166816949844, 0.0451919250190258]"
blur-light,original,23,461,254,0,0.19968117773532867,"[254, 514, 242, 471, 243]","[0.19968117773532867, 0.11225009709596634, 0.09138593077659607, 0.04679878428578377, 0.04664941877126694]"
blur-light,original,24,132,89,0,0.882165253162384,"[89, 971, 257, 132, 222]","[0.882165253162384, 0.03120754100382328, 0.017617957666516304, 0.010071981698274612, 0.007926628924906254]"
blur-light,original,25,122,26,0,0.31890755891799927,"[26, 310, 659, 122, 942]","[0.31890755891799927, 0.06564799696207047, 0.05123590677976608, 0.04615408927202225, 0.045942991971969604]"
blur-light,original,26,12,888,0,0.25795724987983704,"[888, 93, 879, 447, 354]","[0.25795724987983704, 0.15280182659626007, 0.0811019167304039, 0.05679873377084732, 0.04163084179162979]"
blur-light,original,27,679,683,0,0.23866063356399536,"[683, 409, 446, 892, 524]","[0.23866063356399536, 0.08854511380195618, 0.08179444819688797, 0.05117565020918846, 0.04079246148467064]"
blur-light,original,28,23,21,0,0.12427367269992828,"[21, 22, 900, 701, 23]","[0.12427367269992828, 0.12333149462938309, 0.1034940555691719, 0.06780125200748444, 0.05517788603901863]"
blur-light,original,29,937,909,0,0.4537855088710785,"[909, 949, 567, 544, 738]","[0.4537855088710785, 0.2342810332775116, 0.07952499389648438, 0.06874396651983261, 0.053510040044784546]"
blur-light,original,30,679,855,0,0.19509796798229218,"[855, 673, 679, 746, 650]","[0.19509796798229218, 0.1679469496011734, 0.1091194599866867, 0.10395950824022293, 0.05274504795670509]"
blur-light,original,31,335,335,1,0.4898650646209717,"[335, 259, 182, 274, 247]","[0.4898650646209717, 0.08354054391384125, 0.05719594284892082, 0.056630171835422516, 0.05353676527738571]"
blur-light,original,32,76,892,0,0.1127421036362648,"[892, 78, 989, 584, 677]","[0.1127421036362648, 0.04056858643889427, 0.03845170885324478, 0.034878890961408615, 0.02788897417485714]"
blur-light,original,33,851,851,1,0.22415758669376373,"[851, 664, 651, 705, 577]","[0.22415758669376373, 0.1769917607307434, 0.14504952728748322, 0.06658372282981873, 0.02759401500225067]"
blur-light,original,34,770,133,0,0.556591808795929,"[133, 9, 136, 611, 18]","[0.556591808795929, 0.06013398990035057, 0.03817838802933693, 0.0264261607080698, 0.025306986644864082]"
blur-light,original,35,122,993,0,0.14982090890407562,"[993, 994, 121, 10, 118]","[0.14982090890407562, 0.11927370727062225, 0.08737576007843018, 0.07764967530965805, 0.0280035100877285]"
blur-light,original,36,712,712,1,0.1899225264787674,"[712, 828, 618, 117, 787]","[0.1899225264787674, 0.15474408864974976, 0.13572412729263306, 0.10467163473367691, 0.09360255300998688]"
blur-light,original,37,852,325,0,0.1079326868057251,"[325, 997, 428, 995, 992]","[0.1079326868057251, 0.1035790741443634, 0.06016138941049576, 0.03782026842236519, 0.035105638206005096]"
blur-light,original,38,12,638,0,0.09125801920890808,"[638, 12, 653, 639, 842]","[0.09125801920890808, 0.06341821700334549, 0.056966546922922134, 0.04676302149891853, 0.04141624644398689]"
blur-light,original,39,849,535,0,0.21557378768920898,"[535, 849, 427, 573, 581]","[0.21557378768920898, 0.08134905248880386, 0.0662652924656868, 0.05676008760929108, 0.053509242832660675]"
blur-light,original,40,606,477,0,0.3768004775047302,"[477, 859, 726, 563, 587]","[0.3768004775047302, 0.2354709953069687, 0.14565351605415344, 0.03220147639513016, 0.019310379400849342]"
blur-light,original,41,87,87,1,0.9932369589805603,"[87, 587, 740, 150, 423]","[0.9932369589805603, 0.0007236658129841089, 0.0005903808632865548, 0.0004068761190865189, 0.0003398213011678308]"
blur-light,original,42,491,491,1,0.4798251688480377,"[491, 595, 866, 561, 779]","[0.4798251688480377, 0.20587114989757538, 0.06826910376548767, 0.036181073635816574, 0.023674650117754936]"
blur-light,original,43,964,931,0,0.5257651209831238,"[931, 964, 924, 962, 932]","[0.5257651209831238, 0.09065768867731094, 0.0680360421538353, 0.06111573055386543, 0.04032082483172417]"
blur-light,original,44,635,409,0,0.22897492349147797,"[409, 426, 778, 897, 827]","[0.22897492349147797, 0.2105093151330948, 0.11539888381958008, 0.10558587312698364, 0.031115012243390083]"
blur-light,original,45,335,335,1,0.6803276538848877,"[335, 35, 377, 338, 382]","[0.6803276538848877, 0.05599614977836609, 0.045926254242658615, 0.03747311979532242, 0.031987451016902924]"
blur-light,original,46,825,825,1,0.3813575804233551,"[825, 39, 491, 48, 357]","[0.3813575804233551, 0.254341185092926, 0.05544009432196617, 0.031164808198809624, 0.01976032927632332]"
blur-light,original,47,863,863,1,0.9998055100440979,"[863, 920, 805, 872, 621]","[0.9998055100440979, 3.743610795936547e-05, 3.141487832181156e-05, 9.056869203050155e-06, 8.616242666903418e-06]"
blur-light,original,48,839,839,1,0.19296345114707947,"[839, 815, 946, 489, 716]","[0.19296345114707947, 0.06500928848981857, 0.04296001046895981, 0.042396511882543564, 0.04215235635638237]"
blur-light,original,49,257,99,0,0.1320900022983551,"[99, 176, 134, 346, 353]","[0.1320900022983551, 0.12671053409576416, 0.0641198381781578, 0.05524914339184761, 0.03318391740322113]"
blur-light,original,50,185,343,0,0.1678297370672226,"[343, 646, 269, 274, 271]","[0.1678297370672226, 0.07515716552734375, 0.054390083998441696, 0.04842303693294525, 0.04750855267047882]"
blur-light,original,51,489,703,0,0.21469153463840485,"[703, 975, 843, 912, 825]","[0.21469153463840485, 0.09021192789077759, 0.07669582962989807, 0.05865713953971863, 0.050657954066991806]"
blur-light,original,52,609,609,1,0.5921663045883179,"[609, 428, 730, 864, 671]","[0.5921663045883179, 0.07967887818813324, 0.04869004711508751, 0.04525333270430565, 0.023575391620397568]"
blur-light,original,53,847,979,0,0.1153918132185936,"[979, 274, 84, 272, 815]","[0.1153918132185936, 0.08051030337810516, 0.04390972852706909, 0.029713088646531105, 0.026662776246666908]"
