model,dataset,idx,label,pred,correct,conf_top1,top5_idx,top5_probs
blur-nosal,inpainted,0,361,611,0,0.08064784854650497,"[611, 533, 44, 41, 735]","[0.08064784854650497, 0.05868447944521904, 0.04842344671487808, 0.045210640877485275, 0.043840453028678894]"
blur-nosal,inpainted,1,383,204,0,0.05550681799650192,"[204, 203, 202, 266, 336]","[0.05550681799650192, 0.03976046293973923, 0.039009444415569305, 0.03633206710219383, 0.036317307502031326]"
blur-nosal,inpainted,2,356,885,0,0.11056557297706604,"[885, 500, 425, 34, 750]","[0.11056557297706604, 0.07287435233592987, 0.07192443311214447, 0.03539390489459038, 0.032457735389471054]"
blur-nosal,inpainted,3,18,572,0,0.06958726793527603,"[572, 427, 725, 696, 568]","[0.06958726793527603, 0.04769226536154747, 0.033224232494831085, 0.029305633157491684, 0.029141927137970924]"
blur-nosal,inpainted,4,295,556,0,0.2899874448776245,"[556, 427, 718, 682, 386]","[0.2899874448776245, 0.2030320018529892, 0.16467219591140747, 0.03908916935324669, 0.038313787430524826]"
blur-nosal,inpainted,5,112,840,0,0.13660487532615662,"[840, 131, 772, 371, 837]","[0.13660487532615662, 0.10364973545074463, 0.10142207145690918, 0.06493470072746277, 0.04673058167099953]"
blur-nosal,inpainted,6,32,54,0,0.23496674001216888,"[54, 936, 37, 71, 944]","[0.23496674001216888, 0.2106427103281021, 0.10298579186201096, 0.03720128908753395, 0.032887741923332214]"
blur-nosal,inpainted,7,677,677,1,0.21549183130264282,"[677, 311, 328, 644, 317]","[0.21549183130264282, 0.14054572582244873, 0.11514464765787125, 0.0807826966047287, 0.05005193501710892]"
blur-nosal,inpainted,8,438,828,0,0.24131743609905243,"[828, 877, 646, 414, 489]","[0.24131743609905243, 0.11316654086112976, 0.1050792932510376, 0.048597414046525955, 0.03311466798186302]"
blur-nosal,inpainted,9,409,70,0,0.28879740834236145,"[70, 79, 821, 953, 972]","[0.28879740834236145, 0.06309740990400314, 0.06261570006608963, 0.04340134188532829, 0.0386040136218071]"
blur-nosal,inpainted,10,71,620,0,0.1556743085384369,"[620, 696, 748, 475, 681]","[0.1556743085384369, 0.058990683406591415, 0.05550551041960716, 0.0538724809885025, 0.04962489753961563]"
blur-nosal,inpainted,11,850,905,0,0.7748957872390747,"[905, 545, 858, 904, 588]","[0.7748957872390747, 0.07754956930875778, 0.052591800689697266, 0.026053156703710556, 0.006860640831291676]"
