model,dataset,idx,label,pred,correct,conf_top1,top5_idx,top5_probs
blur-nosal,object,0,361,23,0,0.20418672263622284,"[23, 22, 93, 21, 9]","[0.20418672263622284, 0.12267903983592987, 0.09752911329269409, 0.0832652822136879, 0.040943339467048645]"
blur-nosal,object,1,383,610,0,0.7962466478347778,"[610, 679, 584, 73, 89]","[0.7962466478347778, 0.028291676193475723, 0.027347326278686523, 0.022021019831299782, 0.018135810270905495]"
blur-nosal,object,2,356,87,0,0.7453033924102783,"[87, 13, 356, 359, 358]","[0.7453033924102783, 0.11945614963769913, 0.033592190593481064, 0.028352007269859314, 0.020716361701488495]"
blur-nosal,object,3,18,143,0,0.48847827315330505,"[143, 18, 127, 97, 144]","[0.48847827315330505, 0.1869906187057495, 0.05026447772979736, 0.03573720157146454, 0.034749019891023636]"
blur-nosal,object,4,295,799,0,0.31040066480636597,"[799, 893, 904, 887, 481]","[0.31040066480636597, 0.07997776567935944, 0.062496546655893326, 0.04099229350686073, 0.03043428435921669]"
blur-nosal,object,5,112,42,0,0.17477227747440338,"[42, 50, 51, 49, 141]","[0.17477227747440338, 0.16311679780483246, 0.09195949882268906, 0.08814062923192978, 0.07750748097896576]"
blur-nosal,object,6,32,326,0,0.07353060692548752,"[326, 73, 610, 42, 323]","[0.07353060692548752, 0.06606187671422958, 0.06358721107244492, 0.059973593801259995, 0.059498198330402374]"
blur-nosal,object,7,677,701,0,0.7486336827278137,"[701, 99, 143, 127, 895]","[0.7486336827278137, 0.05610496923327446, 0.047125786542892456, 0.04462536796927452, 0.020999014377593994]"
blur-nosal,object,8,438,711,0,0.2578633725643158,"[711, 804, 783, 572, 503]","[0.2578633725643158, 0.1264781355857849, 0.07175256311893463, 0.04808633029460907, 0.046026211231946945]"
blur-nosal,object,9,409,409,1,0.37361183762550354,"[409, 892, 426, 826, 455]","[0.37361183762550354, 0.37324362993240356, 0.14658433198928833, 0.048015616834163666, 0.030657516792416573]"
blur-nosal,object,10,71,141,0,0.5962539315223694,"[141, 127, 142, 138, 140]","[0.5962539315223694, 0.07599924504756927, 0.06703802198171616, 0.02799553982913494, 0.0158107690513134]"
blur-nosal,object,11,850,850,1,0.9275709986686707,"[850, 181, 87, 222, 265]","[0.9275709986686707, 0.029185352846980095, 0.012421864084899426, 0.006284051109105349, 0.003369568847119808]"
blur-nosal,object,12,12,12,1,0.8358510136604309,"[12, 326, 94, 140, 142]","[0.8358510136604309, 0.016648074612021446, 0.01580989360809326, 0.011847671121358871, 0.011203134432435036]"
blur-nosal,object,13,899,711,0,0.17909587919712067,"[711, 572, 883, 725, 899]","[0.17909587919712067, 0.17107075452804565, 0.13977281749248505, 0.13953761756420135, 0.0827694684267044]"
blur-nosal,object,14,338,87,0,0.2948891222476959,"[87, 338, 223, 358, 219]","[0.2948891222476959, 0.07715411484241486, 0.07259684056043625, 0.06490866094827652, 0.049593549221754074]"
blur-nosal,object,15,17,17,1,0.9125497341156006,"[17, 92, 89, 16, 13]","[0.9125497341156006, 0.03947223350405693, 0.009264633059501648, 0.005929664708673954, 0.004315182100981474]"
blur-nosal,object,16,363,92,0,0.28388842940330505,"[92, 42, 64, 59, 55]","[0.28388842940330505, 0.23218299448490143, 0.18522807955741882, 0.12324785441160202, 0.028261786326766014]"
blur-nosal,object,17,909,478,0,0.5045265555381775,"[478, 787, 492, 502, 419]","[0.5045265555381775, 0.15347476303577423, 0.12307499349117279, 0.030680257827043533, 0.013348768465220928]"
blur-nosal,object,18,679,679,1,0.4588276445865631,"[679, 63, 488, 443, 59]","[0.4588276445865631, 0.13019855320453644, 0.08951693028211594, 0.03776644915342331, 0.03136136382818222]"
blur-nosal,object,19,618,21,0,0.10264134407043457,"[21, 87, 114, 129, 138]","[0.10264134407043457, 0.08675996959209442, 0.08147981762886047, 0.05466668680310249, 0.032699599862098694]"
blur-nosal,object,20,618,420,0,0.8078981637954712,"[420, 731, 600, 402, 111]","[0.8078981637954712, 0.04615320265293121, 0.03567701578140259, 0.015391862951219082, 0.007641523145139217]"
blur-nosal,object,21,574,818,0,0.40614718198776245,"[818, 87, 892, 574, 429]","[0.40614718198776245, 0.2191714644432068, 0.07659993320703506, 0.06490284204483032, 0.039475418627262115]"
blur-nosal,object,22,658,716,0,0.37250107526779175,"[716, 720, 887, 649, 998]","[0.37250107526779175, 0.125970721244812, 0.08169764280319214, 0.07470333576202393, 0.04343690350651741]"
blur-nosal,object,23,461,87,0,0.48013028502464294,"[87, 80, 136, 20, 90]","[0.48013028502464294, 0.09801080822944641, 0.05102911964058876, 0.03096938692033291, 0.02951671928167343]"
blur-nosal,object,24,132,132,1,0.6307620406150818,"[132, 127, 89, 87, 134]","[0.6307620406150818, 0.19526031613349915, 0.05909177288413048, 0.057393401861190796, 0.01630660705268383]"
blur-nosal,object,25,122,584,0,0.20055510103702545,"[584, 50, 309, 26, 142]","[0.20055510103702545, 0.1465284526348114, 0.11745394021272659, 0.04410882666707039, 0.035588014870882034]"
blur-nosal,object,26,12,319,0,0.8337262868881226,"[319, 320, 488, 307, 141]","[0.8337262868881226, 0.06312413513660431, 0.016002560034394264, 0.014483879320323467, 0.014385496266186237]"
blur-nosal,object,27,679,679,1,0.3218199610710144,"[679, 815, 488, 72, 683]","[0.3218199610710144, 0.24188607931137085, 0.1561470478773117, 0.08649994432926178, 0.03220933675765991]"
blur-nosal,object,28,23,21,0,0.3295314908027649,"[21, 307, 144, 93, 137]","[0.3295314908027649, 0.07109803706407547, 0.06707453727722168, 0.06169174239039421, 0.05025102570652962]"
blur-nosal,object,29,937,567,0,0.4181939363479614,"[567, 924, 909, 439, 643]","[0.4181939363479614, 0.15600736439228058, 0.15423895418643951, 0.06324281543493271, 0.03896867856383324]"
blur-nosal,object,30,679,679,1,0.9051523208618164,"[679, 75, 65, 488, 600]","[0.9051523208618164, 0.023130366578698158, 0.016673848032951355, 0.012766921892762184, 0.007074237335473299]"
blur-nosal,object,31,335,94,0,0.2230241745710373,"[94, 850, 335, 281, 274]","[0.2230241745710373, 0.10662107169628143, 0.0935804471373558, 0.04317093268036842, 0.04114707186818123]"
blur-nosal,object,32,76,75,0,0.7692444324493408,"[75, 895, 306, 872, 128]","[0.7692444324493408, 0.10301488637924194, 0.012633104808628559, 0.00965294148772955, 0.007603607140481472]"
blur-nosal,object,33,851,592,0,0.3503832519054413,"[592, 844, 899, 818, 605]","[0.3503832519054413, 0.1494295597076416, 0.06671377271413803, 0.057391759008169174, 0.04415815696120262]"
blur-nosal,object,34,770,611,0,0.21159540116786957,"[611, 411, 458, 794, 685]","[0.21159540116786957, 0.1978825330734253, 0.11013171076774597, 0.10589758306741714, 0.08449069410562515]"
blur-nosal,object,35,122,10,0,0.12412435561418533,"[10, 499, 467, 121, 582]","[0.12412435561418533, 0.10687277466058731, 0.0798904150724411, 0.07060874998569489, 0.04576193541288376]"
blur-nosal,object,36,712,712,1,0.5083040595054626,"[712, 828, 971, 818, 618]","[0.5083040595054626, 0.3408429026603699, 0.02761307917535305, 0.017458686605095863, 0.012441488914191723]"
blur-nosal,object,37,852,429,0,0.6761950254440308,"[429, 574, 90, 988, 113]","[0.6761950254440308, 0.08509478718042374, 0.05042156204581261, 0.015322694554924965, 0.01381620578467846]"
blur-nosal,object,38,12,92,0,0.14370693266391754,"[92, 141, 127, 10, 144]","[0.14370693266391754, 0.13828150928020477, 0.12544530630111694, 0.08875422179698944, 0.04709935560822487]"
blur-nosal,object,39,849,818,0,0.253595769405365,"[818, 849, 535, 787, 899]","[0.253595769405365, 0.2314796894788742, 0.08112236857414246, 0.05308341234922409, 0.05290444940328598]"
blur-nosal,object,40,606,598,0,0.15689446032047272,"[598, 786, 579, 592, 745]","[0.15689446032047272, 0.09474222362041473, 0.08460140973329544, 0.05327491834759712, 0.03309732675552368]"
blur-nosal,object,41,87,87,1,0.9137807488441467,"[87, 13, 137, 141, 94]","[0.9137807488441467, 0.01539209857583046, 0.011281081475317478, 0.01079553086310625, 0.007241786923259497]"
blur-nosal,object,42,491,491,1,0.9971189498901367,"[491, 561, 740, 882, 413]","[0.9971189498901367, 0.0006927517824806273, 0.00045786044211126864, 0.0001324285112787038, 0.0001311555679421872]"
blur-nosal,object,43,964,931,0,0.8926401138305664,"[931, 964, 963, 5, 930]","[0.8926401138305664, 0.04406098648905754, 0.015063798055052757, 0.00877823494374752, 0.004596184007823467]"
blur-nosal,object,44,635,426,0,0.5674939155578613,"[426, 892, 409, 828, 818]","[0.5674939155578613, 0.2660226821899414, 0.03434225916862488, 0.031166359782218933, 0.02812146581709385]"
blur-nosal,object,45,335,335,1,0.48361390829086304,"[335, 377, 182, 338, 262]","[0.48361390829086304, 0.08616643399000168, 0.04942561686038971, 0.02730288915336132, 0.023655805736780167]"
blur-nosal,object,46,825,42,0,0.49327901005744934,"[42, 87, 39, 141, 496]","[0.49327901005744934, 0.4125531017780304, 0.019294483587145805, 0.006192322820425034, 0.0033864243887364864]"
blur-nosal,object,47,863,863,1,0.8560580015182495,"[863, 916, 898, 496, 643]","[0.8560580015182495, 0.026330066844820976, 0.010735375806689262, 0.00934872217476368, 0.007375016342848539]"
blur-nosal,object,48,839,319,0,0.2347678393125534,"[319, 65, 92, 488, 320]","[0.2347678393125534, 0.21018598973751068, 0.1267632693052292, 0.07723613828420639, 0.07256819307804108]"
blur-nosal,object,49,257,89,0,0.37485551834106445,"[89, 132, 127, 144, 87]","[0.37485551834106445, 0.282431423664093, 0.08999286592006683, 0.05288142338395119, 0.02407526597380638]"
blur-nosal,object,50,185,22,0,0.16381321847438812,"[22, 42, 298, 356, 677]","[0.16381321847438812, 0.16133920848369598, 0.09217754751443863, 0.08416256308555603, 0.03059098683297634]"
blur-nosal,object,51,489,664,0,0.09611434489488602,"[664, 781, 718, 913, 49]","[0.09611434489488602, 0.08504164963960648, 0.07060582935810089, 0.05679522827267647, 0.03653400391340256]"
blur-nosal,object,52,609,87,0,0.22120535373687744,"[87, 748, 609, 763, 436]","[0.22120535373687744, 0.042774129658937454, 0.04267764464020729, 0.03767366707324982, 0.03410700336098671]"
