model,dataset,idx,label,pred,correct,conf_top1,top5_idx,top5_probs
blur-nosal,ooc,0,361,239,0,0.10459139198064804,"[239, 249, 238, 204, 148]","[0.10459139198064804, 0.0968775600194931, 0.08286669105291367, 0.06861259788274765, 0.05554923415184021]"
blur-nosal,ooc,1,383,203,0,0.139109268784523,"[203, 611, 190, 492, 151]","[0.139109268784523, 0.10790687799453735, 0.05804214999079704, 0.05798516795039177, 0.05148712173104286]"
blur-nosal,ooc,2,356,359,0,0.09094700962305069,"[359, 87, 336, 279, 356]","[0.09094700962305069, 0.08996951580047607, 0.06267277896404266, 0.05128489434719086, 0.04253236576914787]"
blur-nosal,ooc,3,18,144,0,0.09463228285312653,"[144, 429, 929, 981, 704]","[0.09463228285312653, 0.06171414628624916, 0.0611773245036602, 0.05198085680603981, 0.0489097498357296]"
blur-nosal,ooc,4,295,893,0,0.11193187534809113,"[893, 295, 716, 414, 480]","[0.11193187534809113, 0.08464028686285019, 0.0441269613802433, 0.03973561152815819, 0.03223376348614693]"
blur-nosal,ooc,5,112,19,0,0.19402149319648743,"[19, 95, 43, 47, 42]","[0.19402149319648743, 0.08362621814012527, 0.08274232596158981, 0.07966067641973495, 0.0652553141117096]"
blur-nosal,ooc,6,32,649,0,0.2572585940361023,"[649, 972, 976, 39, 42]","[0.2572585940361023, 0.20507469773292542, 0.11661092936992645, 0.09558995068073273, 0.06298383325338364]"
blur-nosal,ooc,7,677,274,0,0.15075990557670593,"[274, 84, 135, 271, 99]","[0.15075990557670593, 0.059136755764484406, 0.05854157358407974, 0.04429357871413231, 0.03862666338682175]"
blur-nosal,ooc,8,438,213,0,0.15472887456417084,"[213, 193, 546, 160, 345]","[0.15472887456417084, 0.07974055409431458, 0.07714278995990753, 0.045337751507759094, 0.04418596252799034]"
blur-nosal,ooc,9,409,409,1,0.6528496146202087,"[409, 455, 483, 497, 426]","[0.6528496146202087, 0.10466494411230087, 0.0513702854514122, 0.041552431881427765, 0.041248418390750885]"
blur-nosal,ooc,10,71,303,0,0.2496979981660843,"[303, 314, 42, 764, 300]","[0.2496979981660843, 0.21918651461601257, 0.04518590122461319, 0.041392020881175995, 0.03608875721693039]"
blur-nosal,ooc,11,850,333,0,0.5020624399185181,"[333, 850, 29, 89, 332]","[0.5020624399185181, 0.28490400314331055, 0.04631282761693001, 0.016393670812249184, 0.012615133076906204]"
blur-nosal,ooc,12,12,266,0,0.1307024359703064,"[266, 191, 156, 33, 193]","[0.1307024359703064, 0.07523267716169357, 0.050508610904216766, 0.04332515597343445, 0.03292154148221016]"
blur-nosal,ooc,13,899,846,0,0.29937416315078735,"[846, 883, 448, 725, 857]","[0.29937416315078735, 0.1111326515674591, 0.09723251312971115, 0.06434950977563858, 0.021555474027991295]"
blur-nosal,ooc,14,338,338,1,0.5990430116653442,"[338, 223, 179, 333, 208]","[0.5990430116653442, 0.23838761448860168, 0.07696262747049332, 0.016061795875430107, 0.014396795071661472]"
blur-nosal,ooc,15,17,17,1,0.2417103499174118,"[17, 89, 752, 171, 671]","[0.2417103499174118, 0.15912291407585144, 0.05249745026230812, 0.03187211975455284, 0.02889096364378929]"
blur-nosal,ooc,16,363,466,0,0.06874197721481323,"[466, 784, 763, 462, 776]","[0.06874197721481323, 0.06086868792772293, 0.055061642080545425, 0.050864722579717636, 0.03585491329431534]"
blur-nosal,ooc,17,909,835,0,0.34986621141433716,"[835, 421, 448, 502, 478]","[0.34986621141433716, 0.1348593384027481, 0.11320815980434418, 0.07918088138103485, 0.021024439483880997]"
blur-nosal,ooc,18,679,506,0,0.12314173579216003,"[506, 666, 835, 402, 806]","[0.12314173579216003, 0.07322897017002106, 0.06794840842485428, 0.044339314103126526, 0.042512185871601105]"
blur-nosal,ooc,19,618,99,0,0.2785106301307678,"[99, 816, 279, 284, 257]","[0.2785106301307678, 0.04227716475725174, 0.038539864122867584, 0.029556555673480034, 0.024106038734316826]"
blur-nosal,ooc,20,618,986,0,0.2530191242694855,"[986, 90, 953, 14, 124]","[0.2530191242694855, 0.04841681569814682, 0.03923685476183891, 0.0379364937543869, 0.036153752356767654]"
blur-nosal,ooc,21,574,574,1,0.6052244305610657,"[574, 659, 65, 924, 756]","[0.6052244305610657, 0.07981579750776291, 0.061402615159749985, 0.024550119414925575, 0.018552180379629135]"
blur-nosal,ooc,22,658,716,0,0.5032525658607483,"[716, 649, 483, 497, 958]","[0.5032525658607483, 0.22697024047374725, 0.05158409848809242, 0.023738382384181023, 0.013354789465665817]"
blur-nosal,ooc,23,461,136,0,0.3514353334903717,"[136, 337, 189, 385, 131]","[0.3514353334903717, 0.08305180817842484, 0.06540842354297638, 0.048815999180078506, 0.03599249944090843]"
blur-nosal,ooc,24,132,134,0,0.4812464118003845,"[134, 89, 132, 146, 131]","[0.4812464118003845, 0.0846390500664711, 0.06642596423625946, 0.03107108362019062, 0.024576343595981598]"
blur-nosal,ooc,25,122,766,0,0.22496525943279266,"[766, 909, 444, 738, 584]","[0.22496525943279266, 0.12620574235916138, 0.05448990315198898, 0.04274946451187134, 0.02784733846783638]"
blur-nosal,ooc,26,12,34,0,0.2837522029876709,"[34, 360, 20, 49, 48]","[0.2837522029876709, 0.05724688991904259, 0.053222641348838806, 0.050084613263607025, 0.03196379542350769]"
blur-nosal,ooc,27,679,293,0,0.24704483151435852,"[293, 138, 82, 353, 73]","[0.24704483151435852, 0.05440359190106392, 0.028804495930671692, 0.02757522277534008, 0.025313736870884895]"
blur-nosal,ooc,28,23,91,0,0.4420771300792694,"[91, 303, 136, 307, 312]","[0.4420771300792694, 0.19734123349189758, 0.06545060127973557, 0.0432337261736393, 0.041498951613903046]"
blur-nosal,ooc,29,937,544,0,0.21401742100715637,"[544, 567, 909, 924, 237]","[0.21401742100715637, 0.20506717264652252, 0.15831726789474487, 0.14629237353801727, 0.04866296797990799]"
blur-nosal,ooc,30,679,46,0,0.19018203020095825,"[46, 91, 16, 315, 40]","[0.19018203020095825, 0.07038675248622894, 0.06433606147766113, 0.04581202194094658, 0.04577184468507767]"
blur-nosal,ooc,31,335,850,0,0.07151470333337784,"[850, 879, 380, 806, 105]","[0.07151470333337784, 0.05811163783073425, 0.04644138365983963, 0.04109019786119461, 0.03870650380849838]"
blur-nosal,ooc,32,76,353,0,0.08513784408569336,"[353, 211, 352, 136, 351]","[0.08513784408569336, 0.08508069813251495, 0.08012603968381882, 0.07730051875114441, 0.07384957373142242]"
blur-nosal,ooc,33,851,756,0,0.0886504128575325,"[756, 475, 851, 571, 660]","[0.0886504128575325, 0.0882413238286972, 0.07910466939210892, 0.06123850867152214, 0.04874975606799126]"
blur-nosal,ooc,34,770,697,0,0.33125585317611694,"[697, 750, 611, 443, 411]","[0.33125585317611694, 0.31224825978279114, 0.13404013216495514, 0.06283688545227051, 0.023020504042506218]"
blur-nosal,ooc,35,122,121,0,0.36269333958625793,"[121, 118, 927, 963, 122]","[0.36269333958625793, 0.18059426546096802, 0.114225834608078, 0.07993709295988083, 0.058189090341329575]"
blur-nosal,ooc,36,712,577,0,0.23562435805797577,"[577, 828, 822, 427, 801]","[0.23562435805797577, 0.11524929851293564, 0.07579006254673004, 0.05934925004839897, 0.052454106509685516]"
blur-nosal,ooc,37,852,405,0,0.143081396818161,"[405, 976, 900, 977, 433]","[0.143081396818161, 0.11321422457695007, 0.08877138793468475, 0.07889965921640396, 0.05259242281317711]"
blur-nosal,ooc,38,12,795,0,0.12371649593114853,"[795, 802, 460, 977, 835]","[0.12371649593114853, 0.08730115741491318, 0.06439663469791412, 0.05730500817298889, 0.05031503364443779]"
blur-nosal,ooc,39,849,849,1,0.590582549571991,"[849, 570, 535, 471, 787]","[0.590582549571991, 0.055445894598960876, 0.03523462265729904, 0.032046593725681305, 0.030736222863197327]"
blur-nosal,ooc,40,606,859,0,0.09516516327857971,"[859, 448, 587, 649, 104]","[0.09516516327857971, 0.09284751862287521, 0.06444784253835678, 0.04208705946803093, 0.03352482244372368]"
blur-nosal,ooc,41,87,425,0,0.07920699566602707,"[425, 437, 581, 606, 87]","[0.07920699566602707, 0.057268545031547546, 0.05546733736991882, 0.045453596860170364, 0.04476441815495491]"
blur-nosal,ooc,42,491,491,1,0.3822652995586395,"[491, 595, 866, 790, 730]","[0.3822652995586395, 0.058029670268297195, 0.05651867389678955, 0.023223338648676872, 0.018115224316716194]"
blur-nosal,ooc,43,964,931,0,0.8102132678031921,"[931, 964, 965, 930, 963]","[0.8102132678031921, 0.10998380184173584, 0.013478664681315422, 0.008862458169460297, 0.008484194986522198]"
blur-nosal,ooc,44,635,746,0,0.7634943127632141,"[746, 635, 409, 426, 427]","[0.7634943127632141, 0.053787712007761, 0.04953351244330406, 0.040704529732465744, 0.013689214363694191]"
blur-nosal,ooc,45,335,335,1,0.351770281791687,"[335, 380, 382, 384, 377]","[0.351770281791687, 0.31987810134887695, 0.11599764972925186, 0.028833510354161263, 0.02433057315647602]"
blur-nosal,ooc,46,825,19,0,0.18337038159370422,"[19, 17, 303, 18, 16]","[0.18337038159370422, 0.10817934572696686, 0.09801236540079117, 0.09650737047195435, 0.09637226164340973]"
blur-nosal,ooc,47,863,282,0,0.19934624433517456,"[282, 376, 863, 374, 373]","[0.19934624433517456, 0.18465812504291534, 0.1624257117509842, 0.058905452489852905, 0.04907187446951866]"
blur-nosal,ooc,48,839,41,0,0.2862895131111145,"[41, 44, 858, 57, 63]","[0.2862895131111145, 0.1582132875919342, 0.04902034252882004, 0.03735589236021042, 0.023119144141674042]"
blur-nosal,ooc,49,257,831,0,0.12305450439453125,"[831, 87, 564, 852, 258]","[0.12305450439453125, 0.12197805941104889, 0.11957122385501862, 0.06902442127466202, 0.05219751223921776]"
blur-nosal,ooc,50,185,970,0,0.5661410093307495,"[970, 672, 591, 270, 296]","[0.5661410093307495, 0.09141819924116135, 0.038879379630088806, 0.028765136376023293, 0.027516290545463562]"
blur-nosal,ooc,51,489,970,0,0.34278950095176697,"[970, 825, 425, 832, 449]","[0.34278950095176697, 0.31885865330696106, 0.06716348975896835, 0.0367991141974926, 0.03564254567027092]"
blur-nosal,ooc,52,609,751,0,0.13017268478870392,"[751, 464, 743, 864, 840]","[0.13017268478870392, 0.07413359731435776, 0.062224484980106354, 0.06149004399776459, 0.03845684975385666]"
blur-nosal,ooc,53,847,722,0,0.26496201753616333,"[722, 852, 752, 805, 560]","[0.26496201753616333, 0.23433981835842133, 0.17705285549163818, 0.03662478178739548, 0.03218325972557068]"
blur-nosal,ooc,54,544,814,0,0.24140751361846924,"[814, 693, 703, 395, 975]","[0.24140751361846924, 0.09001704305410385, 0.07733438909053802, 0.04704572632908821, 0.040541645139455795]"
blur-nosal,ooc,55,179,9,0,0.22420352697372437,"[9, 386, 345, 197, 347]","[0.22420352697372437, 0.10786239057779312, 0.0919589102268219, 0.05401228368282318, 0.04165252298116684]"
blur-nosal,ooc,56,174,912,0,0.1223166361451149,"[912, 835, 489, 791, 807]","[0.1223166361451149, 0.10012540966272354, 0.07687871158123016, 0.0733879879117012, 0.06630830466747284]"
blur-nosal,ooc,57,349,207,0,0.09150275588035583,"[207, 99, 258, 858, 168]","[0.09150275588035583, 0.06158673018217087, 0.04452363774180412, 0.04127106815576553, 0.040793802589178085]"
blur-nosal,ooc,58,277,352,0,0.42827242612838745,"[352, 273, 112, 173, 17]","[0.42827242612838745, 0.2725769579410553, 0.06643541902303696, 0.017343776300549507, 0.016267118975520134]"
blur-nosal,ooc,59,518,136,0,0.11055614799261093,"[136, 383, 853, 85, 858]","[0.11055614799261093, 0.05043594166636467, 0.04900652915239334, 0.031579192727804184, 0.031207235530018806]"
blur-nosal,ooc,60,958,970,0,0.6732639670372009,"[970, 672, 510, 693, 802]","[0.6732639670372009, 0.06471151858568192, 0.025621948763728142, 0.019181370735168457, 0.0174085795879364]"
blur-nosal,ooc,61,385,385,1,0.8147618770599365,"[385, 386, 354, 296, 348]","[0.8147618770599365, 0.06311535090208054, 0.05435924232006073, 0.016818394884467125, 0.014136950485408306]"
blur-nosal,ooc,62,830,580,0,0.10624072700738907,"[580, 815, 287, 269, 116]","[0.10624072700738907, 0.08708428591489792, 0.05705022066831589, 0.025041019544005394, 0.021434247493743896]"
blur-nosal,ooc,63,132,132,1,0.07516378909349442,"[132, 228, 792, 429, 355]","[0.07516378909349442, 0.06506558507680893, 0.04955615848302841, 0.045880142599344254, 0.04376935213804245]"
blur-nosal,ooc,64,354,349,0,0.4299182593822479,"[349, 649, 354, 853, 344]","[0.4299182593822479, 0.19366683065891266, 0.15637871623039246, 0.04573303833603859, 0.02055962011218071]"
blur-nosal,ooc,65,879,408,0,0.31690165400505066,"[408, 472, 814, 693, 573]","[0.31690165400505066, 0.08233285695314407, 0.06897134333848953, 0.04620089381933212, 0.040713198482990265]"
blur-nosal,ooc,66,807,706,0,0.8542509078979492,"[706, 807, 703, 723, 559]","[0.8542509078979492, 0.07046575099229813, 0.0165640190243721, 0.0097642932087183, 0.009700094349682331]"
blur-nosal,ooc,67,863,350,0,0.7431115508079529,"[350, 42, 349, 652, 825]","[0.7431115508079529, 0.08614742010831833, 0.06560497730970383, 0.03149145469069481, 0.007176839280873537]"
blur-nosal,ooc,68,821,821,1,0.21883848309516907,"[821, 935, 755, 133, 525]","[0.21883848309516907, 0.0731729194521904, 0.0570249930024147, 0.04653221368789673, 0.029466718435287476]"
blur-nosal,ooc,69,656,463,0,0.12500856816768646,"[463, 428, 433, 544, 915]","[0.12500856816768646, 0.052874140441417694, 0.04507648944854736, 0.03756388649344444, 0.03709946200251579]"
blur-nosal,ooc,70,614,460,0,0.10449566692113876,"[460, 150, 136, 209, 99]","[0.10449566692113876, 0.09684576839208603, 0.05546003207564354, 0.04123999550938606, 0.03587861731648445]"
blur-nosal,ooc,71,294,378,0,0.17631100118160248,"[378, 182, 191, 136, 348]","[0.17631100118160248, 0.14561252295970917, 0.05607227608561516, 0.050757620483636856, 0.03179148957133293]"
blur-nosal,ooc,72,870,428,0,0.07733380794525146,"[428, 652, 840, 672, 987]","[0.07733380794525146, 0.07710783183574677, 0.07293036580085754, 0.05764317139983177, 0.03830720856785774]"
blur-nosal,ooc,73,346,158,0,0.1449950635433197,"[158, 151, 955, 87, 237]","[0.1449950635433197, 0.03656499832868576, 0.03550121933221817, 0.03147335723042488, 0.02905711717903614]"
blur-nosal,ooc,74,194,269,0,0.3709057569503784,"[269, 272, 170, 177, 189]","[0.3709057569503784, 0.13706092536449432, 0.11079490184783936, 0.05648292973637581, 0.04726775735616684]"
blur-nosal,ooc,75,287,47,0,0.09342911094427109,"[47, 46, 311, 322, 383]","[0.09342911094427109, 0.07786508649587631, 0.07396435737609863, 0.07119210809469223, 0.054459359496831894]"
blur-nosal,ooc,76,295,197,0,0.1734432429075241,"[197, 205, 224, 223, 295]","[0.1734432429075241, 0.15614336729049683, 0.11180398613214493, 0.07092630863189697, 0.057855308055877686]"
blur-nosal,ooc,77,92,979,0,0.251774400472641,"[979, 46, 47, 972, 39]","[0.251774400472641, 0.17400312423706055, 0.06503361463546753, 0.06408431380987167, 0.0421936996281147]"
blur-nosal,ooc,78,17,84,0,0.15767505764961243,"[84, 671, 88, 292, 23]","[0.15767505764961243, 0.0448027029633522, 0.03119278885424137, 0.03012205846607685, 0.025681940838694572]"
blur-nosal,ooc,79,105,18,0,0.32871124148368835,"[18, 383, 370, 336, 53]","[0.32871124148368835, 0.030080612748861313, 0.027938133105635643, 0.02055669017136097, 0.016840128228068352]"
blur-nosal,ooc,80,356,342,0,0.23564521968364716,"[342, 343, 346, 277, 350]","[0.23564521968364716, 0.10943742841482162, 0.08877189457416534, 0.08568340539932251, 0.08492148667573929]"
blur-nosal,ooc,81,14,284,0,0.3722265362739563,"[284, 162, 263, 151, 155]","[0.3722265362739563, 0.11224472522735596, 0.07767153531312943, 0.052078910171985626, 0.04948345944285393]"
blur-nosal,ooc,82,378,346,0,0.25861620903015137,"[346, 345, 391, 471, 354]","[0.25861620903015137, 0.10743604600429535, 0.060189250856637955, 0.039913009852170944, 0.03843364119529724]"
blur-nosal,ooc,83,59,799,0,0.09482227265834808,"[799, 737, 170, 866, 907]","[0.09482227265834808, 0.08385036140680313, 0.05016796663403511, 0.021717188879847527, 0.021437007933855057]"
blur-nosal,ooc,84,95,125,0,0.09336908161640167,"[125, 139, 213, 30, 119]","[0.09336908161640167, 0.06083916127681732, 0.054580722004175186, 0.05325639620423317, 0.04453223943710327]"
blur-nosal,ooc,85,95,357,0,0.08584724366664886,"[357, 835, 144, 213, 95]","[0.08584724366664886, 0.08428015559911728, 0.054838694632053375, 0.05335696414113045, 0.04121864587068558]"
blur-nosal,ooc,86,379,882,0,0.6415646076202393,"[882, 430, 890, 615, 432]","[0.6415646076202393, 0.15954141318798065, 0.011754756793379784, 0.01100355014204979, 0.010895993560552597]"
blur-nosal,ooc,87,382,349,0,0.10588916391134262,"[349, 87, 348, 131, 250]","[0.10588916391134262, 0.07064591348171234, 0.05031718313694, 0.044304218143224716, 0.040076859295368195]"
blur-nosal,ooc,88,10,231,0,0.1446698158979416,"[231, 129, 156, 169, 263]","[0.1446698158979416, 0.13686276972293854, 0.10393548011779785, 0.07813340425491333, 0.030252140015363693]"
blur-nosal,ooc,89,383,383,1,0.4598248600959778,"[383, 105, 87, 372, 272]","[0.4598248600959778, 0.2730464041233063, 0.0429985374212265, 0.023753410205245018, 0.02351118065416813]"
blur-nosal,ooc,90,378,497,0,0.33600738644599915,"[497, 483, 829, 663, 698]","[0.33600738644599915, 0.19948962330818176, 0.14381065964698792, 0.09139304608106613, 0.05834256857633591]"
blur-nosal,ooc,91,376,884,0,0.18868355453014374,"[884, 358, 965, 710, 663]","[0.18868355453014374, 0.06866131722927094, 0.046089403331279755, 0.03566977009177208, 0.03198930621147156]"
blur-nosal,ooc,92,21,913,0,0.17089694738388062,"[913, 703, 144, 977, 693]","[0.17089694738388062, 0.10261893272399902, 0.05936901643872261, 0.051824573427438736, 0.04875144734978676]"
blur-nosal,ooc,93,275,278,0,0.07781913131475449,"[278, 23, 374, 348, 275]","[0.07781913131475449, 0.06326723843812943, 0.05022253841161728, 0.04769952967762947, 0.047228775918483734]"
blur-nosal,ooc,94,85,85,1,0.22580303251743317,"[85, 14, 17, 88, 131]","[0.22580303251743317, 0.1621609479188919, 0.08348660171031952, 0.08071012794971466, 0.05427657067775726]"
blur-nosal,ooc,95,383,170,0,0.16212278604507446,"[170, 222, 246, 181, 169]","[0.16212278604507446, 0.11520285159349442, 0.10968856513500214, 0.05279594659805298, 0.040971677750349045]"
blur-nosal,ooc,96,18,18,1,0.23714084923267365,"[18, 128, 378, 91, 93]","[0.23714084923267365, 0.19191454350948334, 0.11806080490350723, 0.0736519992351532, 0.07055267691612244]"
blur-nosal,ooc,97,326,288,0,0.074246846139431,"[288, 276, 293, 287, 347]","[0.074246846139431, 0.058280713856220245, 0.056893300265073776, 0.04159848764538765, 0.03651086241006851]"
