model,dataset,idx,label,pred,correct,conf_top1,top5_idx,top5_probs
blur-nosal,original,0,361,9,0,0.18821373581886292,"[9, 361, 93, 353, 362]","[0.18821373581886292, 0.11488839238882065, 0.05955558642745018, 0.04274948313832283, 0.04019080474972725]"
blur-nosal,original,1,383,204,0,0.2764907479286194,"[204, 161, 218, 287, 212]","[0.2764907479286194, 0.12671580910682678, 0.09330660104751587, 0.042900554835796356, 0.03189065307378769]"
blur-nosal,original,2,356,356,1,0.26295801997184753,"[356, 285, 279, 259, 359]","[0.26295801997184753, 0.060853924602270126, 0.0445982962846756, 0.04184028506278992, 0.037201981991529465]"
blur-nosal,original,3,18,18,1,0.6989889144897461,"[18, 19, 13, 16, 131]","[0.6989889144897461, 0.1384982317686081, 0.06187600642442703, 0.04455903172492981, 0.011312615126371384]"
blur-nosal,original,4,295,799,0,0.3419054448604584,"[799, 428, 707, 904, 295]","[0.3419054448604584, 0.08905351907014847, 0.05568002536892891, 0.04405635595321655, 0.0411381796002388]"
blur-nosal,original,5,112,448,0,0.7120141386985779,"[448, 381, 43, 377, 21]","[0.7120141386985779, 0.03995250537991524, 0.03185795620083809, 0.02804211527109146, 0.027486411854624748]"
blur-nosal,original,6,32,30,0,0.2345535010099411,"[30, 54, 61, 67, 953]","[0.2345535010099411, 0.12854726612567902, 0.061307549476623535, 0.05723322182893753, 0.05135836452245712]"
blur-nosal,original,7,677,311,0,0.7924109101295471,"[311, 312, 315, 70, 320]","[0.7924109101295471, 0.023555846884846687, 0.02074285037815571, 0.019902542233467102, 0.01900322176516056]"
blur-nosal,original,8,438,722,0,0.5112347602844238,"[722, 828, 896, 429, 804]","[0.5112347602844238, 0.12470485270023346, 0.05653062462806702, 0.04009237512946129, 0.027685390785336494]"
blur-nosal,original,9,409,409,1,0.2906838357448578,"[409, 455, 892, 497, 506]","[0.2906838357448578, 0.1454102098941803, 0.12073154002428055, 0.10471417754888535, 0.05648355931043625]"
blur-nosal,original,10,71,545,0,0.1366853564977646,"[545, 19, 604, 674, 475]","[0.1366853564977646, 0.07600092887878418, 0.04490422457456589, 0.038757845759391785, 0.03755801543593407]"
blur-nosal,original,11,850,850,1,0.9211875200271606,"[850, 87, 333, 684, 181]","[0.9211875200271606, 0.01740582473576069, 0.00853616651147604, 0.008406229317188263, 0.004880254622548819]"
blur-nosal,original,12,12,12,1,0.29158759117126465,"[12, 594, 696, 887, 266]","[0.29158759117126465, 0.0274568609893322, 0.02469867654144764, 0.022369271144270897, 0.021324194967746735]"
blur-nosal,original,13,899,806,0,0.22954295575618744,"[806, 741, 721, 750, 824]","[0.22954295575618744, 0.12985117733478546, 0.104604572057724, 0.09230485558509827, 0.043713804334402084]"
blur-nosal,original,14,338,338,1,0.9670032262802124,"[338, 179, 223, 208, 195]","[0.9670032262802124, 0.010056833736598492, 0.005816231481730938, 0.0013150922022759914, 0.001197305740788579]"
blur-nosal,original,15,17,17,1,0.6887770295143127,"[17, 840, 845, 830, 320]","[0.6887770295143127, 0.0661272257566452, 0.03862876445055008, 0.016555678099393845, 0.014714312739670277]"
blur-nosal,original,16,363,769,0,0.08427592366933823,"[769, 910, 692, 458, 987]","[0.08427592366933823, 0.058323051780462265, 0.04649176448583603, 0.03361630439758301, 0.03333784639835358]"
blur-nosal,original,17,909,502,0,0.3241322338581085,"[502, 478, 440, 730, 427]","[0.3241322338581085, 0.1041472777724266, 0.05188390985131264, 0.024515235796570778, 0.02228662185370922]"
blur-nosal,original,18,679,679,1,0.8639896512031555,"[679, 896, 968, 861, 666]","[0.8639896512031555, 0.014656731858849525, 0.009091091342270374, 0.009084183722734451, 0.007713175844401121]"
blur-nosal,original,19,618,918,0,0.17324157059192657,"[918, 647, 631, 443, 700]","[0.17324157059192657, 0.09640506654977798, 0.06735590845346451, 0.048462867736816406, 0.04738976061344147]"
blur-nosal,original,20,618,121,0,0.36861005425453186,"[121, 502, 927, 509, 934]","[0.36861005425453186, 0.12256625294685364, 0.04177291318774223, 0.031035861000418663, 0.025622431188821793]"
blur-nosal,original,21,574,828,0,0.23581062257289886,"[828, 852, 574, 545, 666]","[0.23581062257289886, 0.1121927872300148, 0.08297047019004822, 0.055506106466054916, 0.049646664410829544]"
blur-nosal,original,22,658,340,0,0.08934012800455093,"[340, 539, 562, 753, 987]","[0.08934012800455093, 0.0857451781630516, 0.07434900850057602, 0.06358212977647781, 0.059952620416879654]"
blur-nosal,original,23,461,471,0,0.10659974068403244,"[471, 514, 422, 608, 6]","[0.10659974068403244, 0.10461300611495972, 0.08420421928167343, 0.07339150458574295, 0.058748260140419006]"
blur-nosal,original,24,132,89,0,0.7760276794433594,"[89, 132, 873, 708, 562]","[0.7760276794433594, 0.034428779035806656, 0.026323577389121056, 0.023732885718345642, 0.021921277046203613]"
blur-nosal,original,25,122,978,0,0.4217659831047058,"[978, 537, 122, 62, 460]","[0.4217659831047058, 0.14699971675872803, 0.13397131860256195, 0.02101101167500019, 0.01735013537108898]"
blur-nosal,original,26,12,134,0,0.1565278023481369,"[134, 13, 15, 19, 447]","[0.1565278023481369, 0.12887197732925415, 0.1190875694155693, 0.05611041188240051, 0.05604644864797592]"
blur-nosal,original,27,679,512,0,0.1925608515739441,"[512, 517, 657, 683, 494]","[0.1925608515739441, 0.08770819008350372, 0.0611511692404747, 0.04177200794219971, 0.03896034508943558]"
blur-nosal,original,28,23,879,0,0.09719415754079819,"[879, 755, 21, 701, 88]","[0.09719415754079819, 0.088900126516819, 0.07007907330989838, 0.061817847192287445, 0.050678499042987823]"
