model,dataset,idx,label,pred,correct,conf_top1,top5_idx,top5_probs
blur-strong,inpainted,0,361,41,0,0.1333109587430954,"[41, 71, 109, 38, 44]","[0.1333109587430954, 0.08416681736707687, 0.06892913579940796, 0.05764836072921753, 0.047801557928323746]"
blur-strong,inpainted,1,383,997,0,0.05017463490366936,"[997, 947, 330, 378, 82]","[0.05017463490366936, 0.04414696246385574, 0.04183662682771683, 0.03607046976685524, 0.035173773765563965]"
blur-strong,inpainted,2,356,930,0,0.0582108348608017,"[930, 364, 797, 519, 750]","[0.0582108348608017, 0.052678078413009644, 0.03515911474823952, 0.03222448751330376, 0.03213965520262718]"
blur-strong,inpainted,3,18,695,0,0.23312221467494965,"[695, 794, 725, 427, 503]","[0.23312221467494965, 0.14732280373573303, 0.11213105916976929, 0.04592480510473251, 0.035166092216968536]"
blur-strong,inpainted,4,295,556,0,0.6487083435058594,"[556, 743, 341, 799, 344]","[0.6487083435058594, 0.04352458566427231, 0.037646450102329254, 0.01693642884492874, 0.01579522155225277]"
blur-strong,inpainted,5,112,840,0,0.11284006386995316,"[840, 474, 972, 815, 525]","[0.11284006386995316, 0.08216439932584763, 0.08210189640522003, 0.06268258392810822, 0.03783971443772316]"
blur-strong,inpainted,6,32,30,0,0.161490336060524,"[30, 67, 44, 956, 105]","[0.161490336060524, 0.087612584233284, 0.08569909632205963, 0.05165993422269821, 0.047651808708906174]"
blur-strong,inpainted,7,677,677,1,0.1909966617822647,"[677, 644, 70, 320, 696]","[0.1909966617822647, 0.10778208076953888, 0.0958266332745552, 0.08031346648931503, 0.04984327778220177]"
blur-strong,inpainted,8,438,877,0,0.22895152866840363,"[877, 896, 904, 828, 40]","[0.22895152866840363, 0.049987681210041046, 0.03842134028673172, 0.03207727149128914, 0.027378151193261147]"
blur-strong,inpainted,9,409,489,0,0.3501105308532715,"[489, 839, 821, 500, 448]","[0.3501105308532715, 0.04158567264676094, 0.04143816605210304, 0.03930005058646202, 0.03743087127804756]"
blur-strong,inpainted,10,71,604,0,0.15438267588615417,"[604, 904, 446, 620, 475]","[0.15438267588615417, 0.0973827913403511, 0.07622123509645462, 0.033517248928546906, 0.025752859190106392]"
blur-strong,inpainted,11,850,905,0,0.3212801516056061,"[905, 904, 545, 858, 686]","[0.3212801516056061, 0.23794138431549072, 0.06493067741394043, 0.03235730901360512, 0.023217281326651573]"
blur-strong,inpainted,12,12,846,0,0.1513182371854782,"[846, 619, 563, 549, 446]","[0.1513182371854782, 0.118375264108181, 0.09392186254262924, 0.061436768621206284, 0.05497013032436371]"
blur-strong,inpainted,13,899,411,0,0.28277912735939026,"[411, 750, 658, 741, 474]","[0.28277912735939026, 0.23626811802387238, 0.09227780252695084, 0.0802188441157341, 0.05715632811188698]"
blur-strong,inpainted,14,338,434,0,0.13313399255275726,"[434, 833, 437, 798, 769]","[0.13313399255275726, 0.0729108601808548, 0.06232519820332527, 0.05858451500535011, 0.0489736907184124]"
blur-strong,inpainted,15,17,896,0,0.10397873818874359,"[896, 38, 677, 914, 674]","[0.10397873818874359, 0.031882114708423615, 0.03162208944559097, 0.023778952658176422, 0.02364351414144039]"
blur-strong,inpainted,16,363,549,0,0.14266574382781982,"[549, 798, 460, 446, 620]","[0.14266574382781982, 0.12559065222740173, 0.09088126569986343, 0.024379270151257515, 0.022366086021065712]"
blur-strong,inpainted,17,909,519,0,0.4054027795791626,"[519, 478, 516, 496, 434]","[0.4054027795791626, 0.3472146987915039, 0.08622802048921585, 0.026473674923181534, 0.023779943585395813]"
blur-strong,inpainted,18,679,883,0,0.12343577295541763,"[883, 725, 647, 849, 659]","[0.12343577295541763, 0.08864804357290268, 0.06739338487386703, 0.0659816786646843, 0.05290736258029938]"
blur-strong,inpainted,19,618,824,0,0.13040712475776672,"[824, 840, 631, 911, 692]","[0.13040712475776672, 0.11885202676057816, 0.11136209964752197, 0.10354966670274734, 0.08859741687774658]"
blur-strong,inpainted,20,618,1,0,0.23850032687187195,"[1, 735, 533, 496, 121]","[0.23850032687187195, 0.14981712400913239, 0.1331626921892166, 0.06356380134820938, 0.030110318213701248]"
blur-strong,inpainted,21,574,855,0,0.14937976002693176,"[855, 846, 619, 840, 574]","[0.14937976002693176, 0.09687602519989014, 0.08191277831792831, 0.06778030097484589, 0.05390780419111252]"
blur-strong,inpainted,22,658,565,0,0.17215652763843536,"[565, 766, 881, 481, 741]","[0.17215652763843536, 0.08014310896396637, 0.06980353593826294, 0.06266111880540848, 0.05109844356775284]"
blur-strong,inpainted,23,461,871,0,0.2730274796485901,"[871, 894, 484, 914, 669]","[0.2730274796485901, 0.1495916098356247, 0.14783541858196259, 0.04201175272464752, 0.038500603288412094]"
blur-strong,inpainted,24,132,694,0,0.17397914826869965,"[694, 807, 975, 421, 702]","[0.17397914826869965, 0.06662458926439285, 0.06507369130849838, 0.04013253003358841, 0.03759460523724556]"
blur-strong,inpainted,25,122,519,0,0.6184841394424438,"[519, 831, 729, 492, 516]","[0.6184841394424438, 0.07644287496805191, 0.06380429118871689, 0.053805314004421234, 0.042720235884189606]"
blur-strong,inpainted,26,12,354,0,0.1235177293419838,"[354, 447, 672, 134, 915]","[0.1235177293419838, 0.08496879041194916, 0.0750105157494545, 0.06891805678606033, 0.06524433195590973]"
blur-strong,inpainted,27,679,615,0,0.28108182549476624,"[615, 463, 662, 597, 842]","[0.28108182549476624, 0.03849967569112778, 0.0340607613325119, 0.03198150545358658, 0.023755894973874092]"
blur-strong,inpainted,28,23,733,0,0.2792913019657135,"[733, 456, 645, 908, 405]","[0.2792913019657135, 0.21986208856105804, 0.09028414636850357, 0.071908138692379, 0.05508563295006752]"
blur-strong,inpainted,29,937,439,0,0.15070486068725586,"[439, 524, 567, 597, 179]","[0.15070486068725586, 0.08576133847236633, 0.08415801078081131, 0.07965359091758728, 0.054870035499334335]"
blur-strong,inpainted,30,679,686,0,0.10162965953350067,"[686, 551, 818, 710, 828]","[0.10162965953350067, 0.0780198723077774, 0.06984704732894897, 0.055167365819215775, 0.04200788214802742]"
blur-strong,inpainted,31,335,669,0,0.12043234705924988,"[669, 415, 992, 452, 894]","[0.12043234705924988, 0.0852837860584259, 0.07971479743719101, 0.0453018955886364, 0.043937213718891144]"
blur-strong,inpainted,32,76,818,0,0.12684358656406403,"[818, 2, 125, 149, 700]","[0.12684358656406403, 0.04281773418188095, 0.03700334206223488, 0.0360092930495739, 0.023905035108327866]"
blur-strong,inpainted,33,851,453,0,0.23536719381809235,"[453, 548, 651, 851, 534]","[0.23536719381809235, 0.17360350489616394, 0.08658096939325333, 0.08635321259498596, 0.04850512370467186]"
blur-strong,inpainted,34,770,434,0,0.2097245156764984,"[434, 885, 591, 905, 797]","[0.2097245156764984, 0.17499306797981262, 0.11434876173734665, 0.09728255867958069, 0.038885291665792465]"
blur-strong,inpainted,35,122,858,0,0.2496393471956253,"[858, 905, 881, 566, 545]","[0.2496393471956253, 0.23264595866203308, 0.11243856698274612, 0.05195733159780502, 0.034382861107587814]"
blur-strong,inpainted,36,712,815,0,0.9949855804443359,"[815, 74, 562, 73, 712]","[0.9949855804443359, 0.0005376922199502587, 0.00044909334974363446, 0.0004245349846314639, 0.00033318225177936256]"
blur-strong,inpainted,37,852,38,0,0.24625669419765472,"[38, 56, 65, 47, 539]","[0.24625669419765472, 0.23011884093284607, 0.11424009501934052, 0.042146988213062286, 0.040066953748464584]"
blur-strong,inpainted,38,12,17,0,0.17886759340763092,"[17, 94, 18, 505, 677]","[0.17886759340763092, 0.141532763838768, 0.10668659210205078, 0.08679912984371185, 0.048798538744449615]"
blur-strong,inpainted,39,849,249,0,0.08066214621067047,"[249, 332, 807, 359, 999]","[0.08066214621067047, 0.05765557289123535, 0.04350912943482399, 0.03305903822183609, 0.027227269485592842]"
blur-strong,inpainted,40,606,664,0,0.23387062549591064,"[664, 598, 851, 700, 681]","[0.23387062549591064, 0.19011461734771729, 0.15617342293262482, 0.02534867636859417, 0.025014320388436317]"
blur-strong,inpainted,41,87,702,0,0.25819456577301025,"[702, 713, 559, 765, 453]","[0.25819456577301025, 0.10598649084568024, 0.04325630143284798, 0.040522340685129166, 0.037677112966775894]"
blur-strong,inpainted,42,491,736,0,0.6815922260284424,"[736, 620, 921, 228, 412]","[0.6815922260284424, 0.012940850108861923, 0.012517773546278477, 0.012239869683980942, 0.010290764272212982]"
blur-strong,inpainted,43,964,659,0,0.1331578642129898,"[659, 666, 968, 861, 459]","[0.1331578642129898, 0.11184053122997284, 0.08131103217601776, 0.05969078838825226, 0.050440628081560135]"
blur-strong,inpainted,44,635,620,0,0.23928231000900269,"[620, 632, 662, 527, 681]","[0.23928231000900269, 0.15245026350021362, 0.07816626131534576, 0.046517543494701385, 0.04282373934984207]"
blur-strong,inpainted,45,335,904,0,0.20872804522514343,"[904, 753, 911, 858, 807]","[0.20872804522514343, 0.13179349899291992, 0.039175473153591156, 0.0322425402700901, 0.028072766959667206]"
blur-strong,inpainted,46,825,825,1,0.6852739453315735,"[825, 81, 410, 611, 652]","[0.6852739453315735, 0.049024153500795364, 0.036352578550577164, 0.01628831960260868, 0.0110121825709939]"
blur-strong,inpainted,47,863,329,0,0.13461439311504364,"[329, 973, 109, 937, 65]","[0.13461439311504364, 0.09924916177988052, 0.0902424231171608, 0.06190886348485947, 0.05464782193303108]"
blur-strong,inpainted,48,839,953,0,0.3268575072288513,"[953, 369, 199, 946, 580]","[0.3268575072288513, 0.03957890719175339, 0.03914537653326988, 0.03804509714245796, 0.0360315702855587]"
blur-strong,inpainted,49,257,0,0,0.10216739773750305,"[0, 977, 912, 646, 353]","[0.10216739773750305, 0.08608672022819519, 0.06948661804199219, 0.04062146320939064, 0.020326560363173485]"
blur-strong,inpainted,50,185,216,0,0.13397902250289917,"[216, 646, 48, 293, 621]","[0.13397902250289917, 0.1098199412226677, 0.07401544600725174, 0.05255758389830589, 0.0302266925573349]"
blur-strong,inpainted,51,489,975,0,0.14316856861114502,"[975, 646, 428, 580, 381]","[0.14316856861114502, 0.10608047991991043, 0.07191433757543564, 0.05032132938504219, 0.03366712108254433]"
blur-strong,inpainted,52,609,295,0,0.4129388630390167,"[295, 199, 256, 200, 329]","[0.4129388630390167, 0.07866711914539337, 0.05591265484690666, 0.034650206565856934, 0.03314879536628723]"
blur-strong,inpainted,53,847,274,0,0.09220252186059952,"[274, 276, 272, 48, 352]","[0.09220252186059952, 0.08085349202156067, 0.07617615163326263, 0.0707116574048996, 0.0407753624022007]"
blur-strong,inpainted,54,544,815,0,0.10246238112449646,"[815, 329, 379, 381, 295]","[0.10246238112449646, 0.07300002127885818, 0.06320035457611084, 0.03905805945396423, 0.037987302988767624]"
blur-strong,inpainted,55,179,979,0,0.27784690260887146,"[979, 815, 295, 274, 825]","[0.27784690260887146, 0.1372160017490387, 0.04075281694531441, 0.04043456166982651, 0.03189580887556076]"
blur-strong,inpainted,56,174,703,0,0.11077776551246643,"[703, 84, 295, 293, 825]","[0.11077776551246643, 0.09164752066135406, 0.07972375303506851, 0.0590868778526783, 0.04362718015909195]"
blur-strong,inpainted,57,349,295,0,0.058387916535139084,"[295, 361, 298, 199, 331]","[0.058387916535139084, 0.04746782034635544, 0.04215807840228081, 0.04040471091866493, 0.03832903504371643]"
blur-strong,inpainted,58,277,272,0,0.2910160720348358,"[272, 133, 274, 330, 331]","[0.2910160720348358, 0.08806141465902328, 0.0777023658156395, 0.053232591599226, 0.04752242565155029]"
blur-strong,inpainted,59,518,912,0,0.46296510100364685,"[912, 318, 646, 132, 34]","[0.46296510100364685, 0.09037299454212189, 0.028057217597961426, 0.0271871667355299, 0.019548874348402023]"
blur-strong,inpainted,60,958,425,0,0.30516430735588074,"[425, 912, 839, 888, 958]","[0.30516430735588074, 0.1494513303041458, 0.06391670554876328, 0.06124661862850189, 0.056448858231306076]"
blur-strong,inpainted,61,385,101,0,0.2524488568305969,"[101, 386, 385, 352, 372]","[0.2524488568305969, 0.16432441771030426, 0.13254478573799133, 0.08466871827840805, 0.05153447017073631]"
blur-strong,inpainted,62,830,329,0,0.07849015295505524,"[329, 84, 937, 390, 703]","[0.07849015295505524, 0.06001926213502884, 0.036258675158023834, 0.03422063589096069, 0.02850678190588951]"
blur-strong,inpainted,63,132,815,0,0.3552773892879486,"[815, 331, 293, 295, 277]","[0.3552773892879486, 0.11559440940618515, 0.0332159623503685, 0.029643896967172623, 0.026360472664237022]"
blur-strong,inpainted,64,354,912,0,0.8627166152000427,"[912, 703, 975, 791, 525]","[0.8627166152000427, 0.039639461785554886, 0.03271467238664627, 0.005632399115711451, 0.004253733437508345]"
blur-strong,inpainted,65,879,980,0,0.3361414968967438,"[980, 975, 974, 525, 972]","[0.3361414968967438, 0.17198826372623444, 0.14592641592025757, 0.03158668056130409, 0.02897818572819233]"
blur-strong,inpainted,66,807,979,0,0.29393529891967773,"[979, 975, 839, 912, 428]","[0.29393529891967773, 0.09857361763715744, 0.06007878854870796, 0.05516653135418892, 0.0486452616751194]"
blur-strong,inpainted,67,863,649,0,0.17590594291687012,"[649, 972, 183, 199, 200]","[0.17590594291687012, 0.1349223256111145, 0.08915864676237106, 0.08442651480436325, 0.06553452461957932]"
