model,dataset,idx,label,pred,correct,conf_top1,top5_idx,top5_probs
blur-strong,object,0,361,22,0,0.3957657516002655,"[22, 23, 127, 99, 93]","[0.3957657516002655, 0.20669128000736237, 0.048371873795986176, 0.031468406319618225, 0.028977422043681145]"
blur-strong,object,1,383,89,0,0.6795605421066284,"[89, 324, 610, 23, 94]","[0.6795605421066284, 0.07355551421642303, 0.057059697806835175, 0.03502298519015312, 0.03153290972113609]"
blur-strong,object,2,356,87,0,0.9589582085609436,"[87, 24, 356, 22, 13]","[0.9589582085609436, 0.025758974254131317, 0.0038653330411762, 0.0031112036667764187, 0.001742827007547021]"
blur-strong,object,3,18,127,0,0.24009570479393005,"[127, 18, 134, 143, 21]","[0.24009570479393005, 0.2139303982257843, 0.1924346536397934, 0.0815386176109314, 0.042750634253025055]"
blur-strong,object,4,295,799,0,0.10177142173051834,"[799, 904, 648, 686, 743]","[0.10177142173051834, 0.0909222736954689, 0.06514769047498703, 0.051129840314388275, 0.048271648585796356]"
blur-strong,object,5,112,42,0,0.1987604945898056,"[42, 141, 143, 19, 93]","[0.1987604945898056, 0.14174987375736237, 0.13337138295173645, 0.07141272723674774, 0.06708035618066788]"
blur-strong,object,6,32,307,0,0.6492826342582703,"[307, 701, 47, 134, 42]","[0.6492826342582703, 0.05703726410865784, 0.05416147783398628, 0.019761845469474792, 0.017135512083768845]"
blur-strong,object,7,677,143,0,0.2382834553718567,"[143, 127, 701, 134, 128]","[0.2382834553718567, 0.20849183201789856, 0.1987440437078476, 0.1958937644958496, 0.024777427315711975]"
blur-strong,object,8,438,804,0,0.10942628979682922,"[804, 818, 583, 711, 845]","[0.10942628979682922, 0.09023550897836685, 0.08032388985157013, 0.05786605924367905, 0.043215151876211166]"
blur-strong,object,9,409,892,0,0.32828760147094727,"[892, 826, 409, 426, 715]","[0.32828760147094727, 0.30163252353668213, 0.1721934825181961, 0.08846473693847656, 0.021006828173995018]"
blur-strong,object,10,71,307,0,0.21540597081184387,"[307, 127, 92, 143, 141]","[0.21540597081184387, 0.1795496642589569, 0.044793933629989624, 0.038094185292720795, 0.03650668263435364]"
blur-strong,object,11,850,850,1,0.7774247527122498,"[850, 87, 181, 258, 265]","[0.7774247527122498, 0.17408955097198486, 0.015967456623911858, 0.007887190207839012, 0.0055822827853262424]"
