model,dataset,idx,label,pred,correct,conf_top1,top5_idx,top5_probs
blur-strong,ooc,0,361,204,0,0.07299144566059113,"[204, 250, 229, 832, 637]","[0.07299144566059113, 0.06537450850009918, 0.04694698750972748, 0.04177231714129448, 0.03804223611950874]"
blur-strong,ooc,1,383,492,0,0.16040806472301483,"[492, 218, 709, 401, 430]","[0.16040806472301483, 0.08241664618253708, 0.07110120356082916, 0.06049717590212822, 0.03723403066396713]"
blur-strong,ooc,2,356,356,1,0.1431586593389511,"[356, 87, 336, 372, 358]","[0.1431586593389511, 0.12786482274532318, 0.11596737056970596, 0.11524928361177444, 0.06134214252233505]"
blur-strong,ooc,3,18,879,0,0.3067905008792877,"[879, 429, 144, 981, 84]","[0.3067905008792877, 0.18090303242206573, 0.09280731528997421, 0.039393335580825806, 0.01931212842464447]"
blur-strong,ooc,4,295,458,0,0.08733753114938736,"[458, 425, 939, 632, 858]","[0.08733753114938736, 0.08433562517166138, 0.08207841962575912, 0.04528851807117462, 0.04303615167737007]"
blur-strong,ooc,5,112,19,0,0.5191251635551453,"[19, 42, 141, 13, 43]","[0.5191251635551453, 0.16179339587688446, 0.11761529743671417, 0.05719497427344322, 0.044342003762722015]"
blur-strong,ooc,6,32,972,0,0.41658487915992737,"[972, 39, 976, 649, 42]","[0.41658487915992737, 0.11923763900995255, 0.11319486051797867, 0.09610544145107269, 0.04819285869598389]"
blur-strong,ooc,7,677,104,0,0.2309492528438568,"[104, 342, 274, 99, 225]","[0.2309492528438568, 0.04770372435450554, 0.03575980290770531, 0.03508038446307182, 0.034646932035684586]"
blur-strong,ooc,8,438,653,0,0.08442091941833496,"[653, 899, 861, 756, 150]","[0.08442091941833496, 0.06889931857585907, 0.05867897346615791, 0.03852033615112305, 0.03715498372912407]"
blur-strong,ooc,9,409,455,0,0.5007458329200745,"[455, 426, 826, 409, 442]","[0.5007458329200745, 0.09776168316602707, 0.04958381503820419, 0.04684063419699669, 0.03125426173210144]"
blur-strong,ooc,10,71,314,0,0.4384423494338989,"[314, 75, 124, 300, 303]","[0.4384423494338989, 0.08550543338060379, 0.07038115710020065, 0.06517977267503738, 0.05042300373315811]"
blur-strong,ooc,11,850,850,1,0.9547885656356812,"[850, 333, 29, 388, 87]","[0.9547885656356812, 0.015143448486924171, 0.008233821950852871, 0.004727024119347334, 0.004420540761202574]"
blur-strong,ooc,12,12,156,0,0.1264178305864334,"[156, 202, 765, 266, 793]","[0.1264178305864334, 0.06790849566459656, 0.06744689494371414, 0.06194885075092316, 0.05357443541288376]"
blur-strong,ooc,13,899,505,0,0.11365596950054169,"[505, 846, 725, 857, 917]","[0.11365596950054169, 0.05894026905298233, 0.055519960820674896, 0.0516691692173481, 0.046030208468437195]"
blur-strong,ooc,14,338,338,1,0.12798306345939636,"[338, 357, 360, 223, 179]","[0.12798306345939636, 0.10808771848678589, 0.10743565112352371, 0.10502149909734726, 0.0953645184636116]"
blur-strong,ooc,15,17,89,0,0.11515597254037857,"[89, 17, 670, 320, 665]","[0.11515597254037857, 0.09066953510046005, 0.04562660679221153, 0.03219723701477051, 0.029130946844816208]"
blur-strong,ooc,16,363,150,0,0.2418968677520752,"[150, 211, 168, 763, 50]","[0.2418968677520752, 0.10037143528461456, 0.059624042361974716, 0.03712179884314537, 0.033524103462696075]"
blur-strong,ooc,17,909,478,0,0.24088704586029053,"[478, 419, 692, 787, 778]","[0.24088704586029053, 0.06972607970237732, 0.05298953875899315, 0.04124024510383606, 0.02715332992374897]"
blur-strong,ooc,18,679,402,0,0.1648067682981491,"[402, 790, 835, 601, 756]","[0.1648067682981491, 0.08836526423692703, 0.07992055267095566, 0.06311483681201935, 0.04986555874347687]"
blur-strong,ooc,19,618,99,0,0.1572253555059433,"[99, 279, 134, 435, 475]","[0.1572253555059433, 0.1413934975862503, 0.024837704375386238, 0.024708474054932594, 0.022174548357725143]"
blur-strong,ooc,20,618,986,0,0.4276220202445984,"[986, 14, 989, 17, 951]","[0.4276220202445984, 0.07485353201627731, 0.073092021048069, 0.0567483976483345, 0.02934405766427517]"
blur-strong,ooc,21,574,574,1,0.6151021122932434,"[574, 931, 417, 947, 992]","[0.6151021122932434, 0.040187615901231766, 0.02769695781171322, 0.02558039501309395, 0.01731879636645317]"
blur-strong,ooc,22,658,483,0,0.5872532725334167,"[483, 497, 716, 649, 958]","[0.5872532725334167, 0.15903186798095703, 0.05303759127855301, 0.035653699189424515, 0.006926678586751223]"
blur-strong,ooc,23,461,360,0,0.41592738032341003,"[360, 136, 337, 357, 131]","[0.41592738032341003, 0.16082553565502167, 0.06637338548898697, 0.05244816467165947, 0.04704495146870613]"
blur-strong,ooc,24,132,134,0,0.2616852819919586,"[134, 132, 89, 146, 131]","[0.2616852819919586, 0.2283509224653244, 0.14346091449260712, 0.11911250650882721, 0.04556459188461304]"
blur-strong,ooc,25,122,766,0,0.8217772841453552,"[766, 214, 584, 482, 530]","[0.8217772841453552, 0.015754448249936104, 0.014067420735955238, 0.013980727642774582, 0.007505650632083416]"
blur-strong,ooc,26,12,360,0,0.18448203802108765,"[360, 48, 344, 337, 9]","[0.18448203802108765, 0.14750851690769196, 0.10378381609916687, 0.09973124414682388, 0.030890846624970436]"
blur-strong,ooc,27,679,293,0,0.45710569620132446,"[293, 340, 326, 353, 350]","[0.45710569620132446, 0.11835197359323502, 0.07341866940259933, 0.043273087590932846, 0.033672939985990524]"
blur-strong,ooc,28,23,91,0,0.2196774184703827,"[91, 326, 304, 303, 312]","[0.2196774184703827, 0.17785321176052094, 0.1354866772890091, 0.09676750004291534, 0.0938391163945198]"
blur-strong,ooc,29,937,237,0,0.27840980887413025,"[237, 909, 544, 234, 567]","[0.27840980887413025, 0.17592878639698029, 0.15499356389045715, 0.12910772860050201, 0.03425833210349083]"
blur-strong,ooc,30,679,16,0,0.16061964631080627,"[16, 313, 46, 77, 315]","[0.16061964631080627, 0.1456269472837448, 0.11694113910198212, 0.108396977186203, 0.09904676675796509]"
blur-strong,ooc,31,335,261,0,0.09084135293960571,"[261, 669, 285, 806, 419]","[0.09084135293960571, 0.06566530466079712, 0.06274299323558807, 0.05500366911292076, 0.04313386231660843]"
blur-strong,ooc,32,76,136,0,0.08295899629592896,"[136, 138, 92, 128, 353]","[0.08295899629592896, 0.0821569412946701, 0.06456246227025986, 0.06382756680250168, 0.061304330825805664]"
blur-strong,ooc,33,851,820,0,0.2692071795463562,"[820, 756, 851, 705, 565]","[0.2692071795463562, 0.0810961127281189, 0.06992316246032715, 0.059520699083805084, 0.048061881214380264]"
blur-strong,ooc,34,770,750,0,0.3976151645183563,"[750, 611, 697, 443, 906]","[0.3976151645183563, 0.33338692784309387, 0.09057795256376266, 0.030872220173478127, 0.016449740156531334]"
blur-strong,ooc,35,122,121,0,0.21882286667823792,"[121, 118, 963, 467, 415]","[0.21882286667823792, 0.14369668066501617, 0.10178305208683014, 0.09078415483236313, 0.08152691274881363]"
blur-strong,ooc,36,712,828,0,0.5941170454025269,"[828, 787, 971, 653, 577]","[0.5941170454025269, 0.06653513014316559, 0.05563493072986603, 0.042310576885938644, 0.0350186787545681]"
blur-strong,ooc,37,852,727,0,0.15333759784698486,"[727, 429, 417, 405, 958]","[0.15333759784698486, 0.1340043991804123, 0.06570199877023697, 0.055843740701675415, 0.05277113988995552]"
blur-strong,ooc,38,12,131,0,0.23879095911979675,"[131, 460, 977, 296, 144]","[0.23879095911979675, 0.20074684917926788, 0.07804913818836212, 0.07740432024002075, 0.03860468044877052]"
blur-strong,ooc,39,849,144,0,0.34513774514198303,"[144, 849, 535, 630, 502]","[0.34513774514198303, 0.3134194612503052, 0.0514911524951458, 0.030240628868341446, 0.015357672236859798]"
blur-strong,ooc,40,606,448,0,0.18399979174137115,"[448, 703, 104, 637, 458]","[0.18399979174137115, 0.0919194296002388, 0.05919412150979042, 0.05840035527944565, 0.0511765293776989]"
blur-strong,ooc,41,87,649,0,0.14052167534828186,"[649, 511, 437, 425, 112]","[0.14052167534828186, 0.08991071581840515, 0.06790480762720108, 0.06228651851415634, 0.061102934181690216]"
