model,dataset,idx,label,pred,correct,conf_top1,top5_idx,top5_probs
blur-strong,original,0,361,361,1,0.16889141499996185,"[361, 796, 237, 304, 56]","[0.16889141499996185, 0.11335687339305878, 0.0628393143415451, 0.054914530366659164, 0.041310012340545654]"
blur-strong,original,1,383,81,0,0.15673284232616425,"[81, 376, 292, 287, 24]","[0.15673284232616425, 0.09123750776052475, 0.06249789893627167, 0.04808415099978447, 0.024133114144206047]"
blur-strong,original,2,356,356,1,0.4187617599964142,"[356, 87, 359, 358, 259]","[0.4187617599964142, 0.28887301683425903, 0.09164772927761078, 0.07321064174175262, 0.011607392691075802]"
blur-strong,original,3,18,18,1,0.7549901604652405,"[18, 19, 96, 17, 88]","[0.7549901604652405, 0.08658897876739502, 0.05236048996448517, 0.03519432619214058, 0.013923987746238708]"
blur-strong,original,4,295,799,0,0.33338406682014465,"[799, 743, 888, 904, 571]","[0.33338406682014465, 0.10304931551218033, 0.09430965781211853, 0.0813964456319809, 0.04814138635993004]"
blur-strong,original,5,112,144,0,0.289132684469223,"[144, 43, 19, 448, 54]","[0.289132684469223, 0.07755562663078308, 0.07608755677938461, 0.07514075189828873, 0.05091176927089691]"
blur-strong,original,6,32,61,0,0.3018152713775635,"[61, 62, 54, 67, 39]","[0.3018152713775635, 0.06775561720132828, 0.05572919547557831, 0.04291384294629097, 0.0365414060652256]"
blur-strong,original,7,677,311,0,0.2096414864063263,"[311, 677, 70, 77, 319]","[0.2096414864063263, 0.10060080885887146, 0.06770140677690506, 0.06029670685529709, 0.05626572296023369]"
blur-strong,original,8,438,828,0,0.4159477949142456,"[828, 722, 804, 712, 896]","[0.4159477949142456, 0.2446315437555313, 0.15144968032836914, 0.024740107357501984, 0.0246582068502903]"
blur-strong,original,9,409,892,0,0.24231617152690887,"[892, 538, 704, 409, 506]","[0.24231617152690887, 0.05533403158187866, 0.05202460661530495, 0.04338972643017769, 0.04110148921608925]"
blur-strong,original,10,71,674,0,0.20556487143039703,"[674, 19, 592, 458, 446]","[0.20556487143039703, 0.14609019458293915, 0.099112369120121, 0.049573931843042374, 0.04283013939857483]"
blur-strong,original,11,850,850,1,0.9503185153007507,"[850, 333, 87, 684, 332]","[0.9503185153007507, 0.025084830820560455, 0.0038265581242740154, 0.0023392774164676666, 0.002028116723522544]"
blur-strong,original,12,12,619,0,0.08575253933668137,"[619, 12, 47, 549, 868]","[0.08575253933668137, 0.06535064429044724, 0.05166561156511307, 0.04994932562112808, 0.04886789619922638]"
blur-strong,original,13,899,806,0,0.3104095757007599,"[806, 489, 658, 411, 474]","[0.3104095757007599, 0.09139585494995117, 0.0670396164059639, 0.06692731380462646, 0.05781738460063934]"
blur-strong,original,14,338,338,1,0.8735372424125671,"[338, 179, 223, 208, 358]","[0.8735372424125671, 0.01765834353864193, 0.011121557094156742, 0.010061650536954403, 0.009523318149149418]"
blur-strong,original,15,17,17,1,0.1146993562579155,"[17, 14, 472, 896, 843]","[0.1146993562579155, 0.06392674893140793, 0.050845615565776825, 0.031762074679136276, 0.031549450010061264]"
blur-strong,original,16,363,838,0,0.09554509818553925,"[838, 798, 784, 458, 769]","[0.09554509818553925, 0.0713159367442131, 0.06346637010574341, 0.052156005054712296, 0.04694731906056404]"
blur-strong,original,17,909,478,0,0.45099401473999023,"[478, 910, 778, 502, 114]","[0.45099401473999023, 0.08013317734003067, 0.0591353178024292, 0.02620001696050167, 0.023070013150572777]"
