model,dataset,idx,label,pred,correct,conf_top1,top5_idx,top5_probs
cm-light,inpainted,0,361,533,0,0.10346394032239914,"[533, 611, 735, 750, 858]","[0.10346394032239914, 0.05507669970393181, 0.050545480102300644, 0.050165433436632156, 0.036780618131160736]"
cm-light,inpainted,1,383,912,0,0.08174879848957062,"[912, 132, 646, 173, 730]","[0.08174879848957062, 0.045467786490917206, 0.04223083332180977, 0.03410597890615463, 0.030962901189923286]"
cm-light,inpainted,2,356,930,0,0.18266414105892181,"[930, 666, 885, 63, 884]","[0.18266414105892181, 0.10917500406503677, 0.058888278901576996, 0.044084616005420685, 0.03235949948430061]"
cm-light,inpainted,3,18,677,0,0.24740514159202576,"[677, 13, 815, 794, 427]","[0.24740514159202576, 0.053001321852207184, 0.05038749426603317, 0.035386327654123306, 0.02413867600262165]"
cm-light,inpainted,4,295,556,0,0.3305031359195709,"[556, 342, 365, 427, 583]","[0.3305031359195709, 0.047156669199466705, 0.04688228294253349, 0.03769088536500931, 0.03746975585818291]"
cm-light,inpainted,5,112,677,0,0.1143447607755661,"[677, 104, 208, 448, 884]","[0.1143447607755661, 0.08522019535303116, 0.07252722978591919, 0.050403110682964325, 0.041933152824640274]"
cm-light,inpainted,6,32,54,0,0.4084104895591736,"[54, 963, 30, 62, 61]","[0.4084104895591736, 0.062043704092502594, 0.0596025250852108, 0.05353589728474617, 0.04299548268318176]"
cm-light,inpainted,7,677,677,1,0.860630989074707,"[677, 644, 301, 769, 328]","[0.860630989074707, 0.03582475706934929, 0.02257319912314415, 0.011033955030143261, 0.010777839459478855]"
cm-light,inpainted,8,438,828,0,0.21448691189289093,"[828, 421, 64, 40, 312]","[0.21448691189289093, 0.13104021549224854, 0.07335343211889267, 0.057257603853940964, 0.05158460512757301]"
cm-light,inpainted,9,409,497,0,0.1797667145729065,"[497, 489, 382, 506, 448]","[0.1797667145729065, 0.09785498678684235, 0.04711970314383507, 0.04458092525601387, 0.02538403309881687]"
cm-light,inpainted,10,71,904,0,0.12033449113368988,"[904, 604, 620, 608, 636]","[0.12033449113368988, 0.10025813430547714, 0.05851486325263977, 0.049181994050741196, 0.0222452562302351]"
cm-light,inpainted,11,850,905,0,0.8260519504547119,"[905, 858, 588, 478, 753]","[0.8260519504547119, 0.08208974450826645, 0.012370247393846512, 0.011905690655112267, 0.01063210517168045]"
cm-light,inpainted,12,12,910,0,0.1292826384305954,"[910, 846, 765, 594, 769]","[0.1292826384305954, 0.10652170330286026, 0.09626767039299011, 0.05629667267203331, 0.04041111469268799]"
cm-light,inpainted,13,899,411,0,0.41609886288642883,"[411, 721, 750, 741, 791]","[0.41609886288642883, 0.11392924189567566, 0.07670170068740845, 0.06612636148929596, 0.041269246488809586]"
cm-light,inpainted,14,338,977,0,0.1083846166729927,"[977, 460, 681, 6, 5]","[0.1083846166729927, 0.055348947644233704, 0.043087393045425415, 0.041137825697660446, 0.03960004448890686]"
cm-light,inpainted,15,17,914,0,0.07386037707328796,"[914, 845, 871, 462, 484]","[0.07386037707328796, 0.06878844648599625, 0.06104404851794243, 0.057157017290592194, 0.03441327065229416]"
cm-light,inpainted,16,363,692,0,0.20161263644695282,"[692, 458, 984, 922, 835]","[0.20161263644695282, 0.15809279680252075, 0.084029421210289, 0.06155550107359886, 0.059364404529333115]"
cm-light,inpainted,17,909,519,0,0.5731573104858398,"[519, 492, 478, 858, 646]","[0.5731573104858398, 0.06154656782746315, 0.03848695382475853, 0.0362900048494339, 0.032667376101017]"
cm-light,inpainted,18,679,459,0,0.16218964755535126,"[459, 443, 999, 899, 679]","[0.16218964755535126, 0.13550056517124176, 0.07986753433942795, 0.06402529031038284, 0.05132359638810158]"
