model,dataset,idx,label,pred,correct,conf_top1,top5_idx,top5_probs
cm-light,object,0,361,23,0,0.4628024995326996,"[23, 21, 143, 22, 94]","[0.4628024995326996, 0.15368621051311493, 0.1487300992012024, 0.054833222180604935, 0.019575489684939384]"
cm-light,object,1,383,73,0,0.18734081089496613,"[73, 584, 38, 89, 129]","[0.18734081089496613, 0.17778325080871582, 0.07121136784553528, 0.06660587340593338, 0.026792537420988083]"
cm-light,object,2,356,87,0,0.7329620122909546,"[87, 140, 359, 13, 356]","[0.7329620122909546, 0.07882007956504822, 0.062210869044065475, 0.04607256501913071, 0.021551376208662987]"
cm-light,object,3,18,143,0,0.5778753161430359,"[143, 18, 127, 128, 132]","[0.5778753161430359, 0.3136151134967804, 0.027610883116722107, 0.020887095481157303, 0.008758487179875374]"
cm-light,object,4,295,519,0,0.10595042258501053,"[519, 844, 174, 367, 859]","[0.10595042258501053, 0.06536969542503357, 0.04834830388426781, 0.04645996540784836, 0.03566466644406319]"
cm-light,object,5,112,56,0,0.1476634293794632,"[56, 64, 53, 59, 61]","[0.1476634293794632, 0.09513776749372482, 0.07812351733446121, 0.04379286989569664, 0.03972997888922691]"
cm-light,object,6,32,47,0,0.10763650387525558,"[47, 94, 38, 74, 73]","[0.10763650387525558, 0.09787610173225403, 0.08405153453350067, 0.06920534372329712, 0.06029815971851349]"
cm-light,object,7,677,701,0,0.22558335959911346,"[701, 143, 99, 405, 144]","[0.22558335959911346, 0.16755492985248566, 0.13518908619880676, 0.09516948461532593, 0.09276119619607925]"
cm-light,object,8,438,804,0,0.11936591565608978,"[804, 898, 846, 708, 503]","[0.11936591565608978, 0.09341083467006683, 0.07013928890228271, 0.054216399788856506, 0.02670382522046566]"
cm-light,object,9,409,892,0,0.39944368600845337,"[892, 409, 417, 426, 826]","[0.39944368600845337, 0.3743976056575775, 0.055574931204319, 0.035113804042339325, 0.027882404625415802]"
cm-light,object,10,71,307,0,0.0958302915096283,"[307, 80, 143, 141, 138]","[0.0958302915096283, 0.069673091173172, 0.06661077588796616, 0.05124257877469063, 0.044705867767333984]"
cm-light,object,11,850,850,1,0.9518135786056519,"[850, 258, 267, 87, 356]","[0.9518135786056519, 0.007817676290869713, 0.0054900553077459335, 0.004088057670742273, 0.004046727437525988]"
cm-light,object,12,12,12,1,0.9072664976119995,"[12, 140, 94, 701, 142]","[0.9072664976119995, 0.03343682363629341, 0.01091239508241415, 0.007733516860753298, 0.006350991316139698]"
