model,dataset,idx,label,pred,correct,conf_top1,top5_idx,top5_probs
cm-light,ooc,0,361,204,0,0.12751568853855133,"[204, 239, 388, 355, 920]","[0.12751568853855133, 0.09236109256744385, 0.06423385441303253, 0.057883370667696, 0.048677001148462296]"
cm-light,ooc,1,383,8,0,0.12314218282699585,"[8, 218, 215, 868, 492]","[0.12314218282699585, 0.12016862630844116, 0.05476852133870125, 0.052948273718357086, 0.02749146707355976]"
cm-light,ooc,2,356,358,0,0.1210322231054306,"[358, 359, 282, 356, 272]","[0.1210322231054306, 0.08870053291320801, 0.06491672247648239, 0.04729805886745453, 0.029637008905410767]"
cm-light,ooc,3,18,208,0,0.10688642412424088,"[208, 18, 181, 601, 703]","[0.10688642412424088, 0.06423888355493546, 0.046424541622400284, 0.03830892592668533, 0.03185541555285454]"
cm-light,ooc,4,295,912,0,0.2044692188501358,"[912, 649, 963, 295, 716]","[0.2044692188501358, 0.18952757120132446, 0.055490538477897644, 0.0470905676484108, 0.02987118810415268]"
cm-light,ooc,5,112,53,0,0.34655553102493286,"[53, 49, 47, 44, 58]","[0.34655553102493286, 0.15778647363185883, 0.09218546748161316, 0.0612291656434536, 0.06118946895003319]"
cm-light,ooc,6,32,972,0,0.3337983191013336,"[972, 976, 42, 649, 119]","[0.3337983191013336, 0.15234977006912231, 0.06886792927980423, 0.04139599949121475, 0.033977165818214417]"
cm-light,ooc,7,677,127,0,0.4258680045604706,"[127, 99, 18, 135, 84]","[0.4258680045604706, 0.1391899436712265, 0.059998080134391785, 0.05837360396981239, 0.037797681987285614]"
cm-light,ooc,8,438,260,0,0.24250060319900513,"[260, 345, 333, 296, 338]","[0.24250060319900513, 0.034166816622018814, 0.030394118279218674, 0.028715454041957855, 0.027361908927559853]"
cm-light,ooc,9,409,417,0,0.6770142316818237,"[417, 409, 562, 708, 455]","[0.6770142316818237, 0.06867983937263489, 0.04224545136094093, 0.02997339889407158, 0.02748410589993]"
cm-light,ooc,10,71,71,1,0.2591688632965088,"[71, 314, 302, 303, 306]","[0.2591688632965088, 0.13563783466815948, 0.09978937357664108, 0.09517212212085724, 0.09106676280498505]"
cm-light,ooc,11,850,850,1,0.7492011189460754,"[850, 333, 94, 258, 87]","[0.7492011189460754, 0.10755566507577896, 0.020427582785487175, 0.011141547933220863, 0.010806247591972351]"
