model,dataset,idx,label,pred,correct,conf_top1,top5_idx,top5_probs
cm-light,original,0,361,355,0,0.22940807044506073,"[355, 361, 51, 223, 249]","[0.22940807044506073, 0.16712871193885803, 0.09508650749921799, 0.04592571780085564, 0.029750272631645203]"
cm-light,original,1,383,81,0,0.5369110703468323,"[81, 173, 212, 156, 410]","[0.5369110703468323, 0.06189737841486931, 0.038229744881391525, 0.03704594448208809, 0.035536035895347595]"
cm-light,original,2,356,359,0,0.3460541367530823,"[359, 356, 358, 263, 164]","[0.3460541367530823, 0.1237049400806427, 0.03682025149464607, 0.03301849588751793, 0.031810563057661057]"
cm-light,original,3,18,18,1,0.8450530171394348,"[18, 17, 19, 13, 136]","[0.8450530171394348, 0.06107257306575775, 0.043030329048633575, 0.024087559431791306, 0.0035609030164778233]"
cm-light,original,4,295,367,0,0.08201140910387039,"[367, 428, 365, 360, 295]","[0.08201140910387039, 0.06386379152536392, 0.06320740282535553, 0.05836184322834015, 0.049666546285152435]"
cm-light,original,5,112,54,0,0.2829470932483673,"[54, 64, 448, 53, 863]","[0.2829470932483673, 0.10069094598293304, 0.0967978984117508, 0.071304090321064, 0.04542960971593857]"
cm-light,original,6,32,953,0,0.20388522744178772,"[953, 61, 30, 32, 62]","[0.20388522744178772, 0.10405903309583664, 0.10061460733413696, 0.05436268076300621, 0.04362090304493904]"
cm-light,original,7,677,677,1,0.48082971572875977,"[677, 301, 311, 710, 320]","[0.48082971572875977, 0.1779719889163971, 0.04413408041000366, 0.03777725249528885, 0.027760019525885582]"
cm-light,original,8,438,828,0,0.27501681447029114,"[828, 470, 855, 550, 720]","[0.27501681447029114, 0.07180307060480118, 0.035095371305942535, 0.030502406880259514, 0.02629006654024124]"
cm-light,original,9,409,892,0,0.1535634547472,"[892, 409, 643, 497, 427]","[0.1535634547472, 0.13878951966762543, 0.09072478860616684, 0.06145652011036873, 0.04817187786102295]"
cm-light,original,10,71,674,0,0.30729058384895325,"[674, 693, 475, 604, 558]","[0.30729058384895325, 0.03975803032517433, 0.03642731532454491, 0.03319094330072403, 0.029909390956163406]"
cm-light,original,11,850,850,1,0.8464279770851135,"[850, 333, 258, 332, 87]","[0.8464279770851135, 0.04100921005010605, 0.029287926852703094, 0.005798830185085535, 0.005785065237432718]"
cm-light,original,12,12,12,1,0.14247317612171173,"[12, 594, 191, 184, 182]","[0.14247317612171173, 0.08438434451818466, 0.07862850278615952, 0.05211924389004707, 0.04704912006855011]"
cm-light,original,13,899,474,0,0.17643685638904572,"[474, 721, 806, 411, 658]","[0.17643685638904572, 0.134757861495018, 0.12633629143238068, 0.09470193088054657, 0.06548929214477539]"
