model,dataset,idx,label,pred,correct,conf_top1,top5_idx,top5_probs
cm-nosal,inpainted,0,361,411,0,0.0619066022336483,"[411, 539, 721, 458, 363]","[0.0619066022336483, 0.04841707646846771, 0.0463278666138649, 0.04415704309940338, 0.03776809945702553]"
cm-nosal,inpainted,1,383,425,0,0.1038447692990303,"[425, 410, 89, 448, 580]","[0.1038447692990303, 0.07657800614833832, 0.06238584965467453, 0.05390828475356102, 0.03624342754483223]"
cm-nosal,inpainted,2,356,885,0,0.1013857051730156,"[885, 519, 816, 492, 506]","[0.1013857051730156, 0.09043043106794357, 0.07590597122907639, 0.07508820295333862, 0.04842294752597809]"
cm-nosal,inpainted,3,18,322,0,0.20400165021419525,"[322, 748, 794, 677, 40]","[0.20400165021419525, 0.08122614771127701, 0.07985863834619522, 0.060311682522296906, 0.053686030209064484]"
cm-nosal,inpainted,4,295,733,0,0.07788024097681046,"[733, 565, 587, 799, 792]","[0.07788024097681046, 0.06068866327404976, 0.04335200786590576, 0.030759917572140694, 0.03057943843305111]"
cm-nosal,inpainted,5,112,840,0,0.06168188527226448,"[840, 775, 310, 677, 525]","[0.06168188527226448, 0.04574941098690033, 0.040621329098939896, 0.035869039595127106, 0.027361568063497543]"
cm-nosal,inpainted,6,32,32,1,0.11814192682504654,"[32, 956, 60, 114, 54]","[0.11814192682504654, 0.11002003401517868, 0.1035718247294426, 0.09184525907039642, 0.055381935089826584]"
cm-nosal,inpainted,7,677,767,0,0.3969343304634094,"[767, 677, 644, 696, 323]","[0.3969343304634094, 0.27598053216934204, 0.06439467519521713, 0.04042205959558487, 0.021853843703866005]"
cm-nosal,inpainted,8,438,421,0,0.0926058441400528,"[421, 828, 839, 904, 579]","[0.0926058441400528, 0.08313176035881042, 0.05067727342247963, 0.04022033512592316, 0.03708089888095856]"
cm-nosal,inpainted,9,409,489,0,0.13195782899856567,"[489, 313, 448, 506, 75]","[0.13195782899856567, 0.07239551097154617, 0.06430424004793167, 0.05244521424174309, 0.052050039172172546]"
cm-nosal,inpainted,10,71,313,0,0.1357445865869522,"[313, 492, 475, 311, 966]","[0.1357445865869522, 0.10901996493339539, 0.027086345478892326, 0.020880671218037605, 0.01866729184985161]"
cm-nosal,inpainted,11,850,905,0,0.8814215660095215,"[905, 904, 545, 753, 705]","[0.8814215660095215, 0.0208232831209898, 0.00893460400402546, 0.008095401339232922, 0.007981273345649242]"
cm-nosal,inpainted,12,12,594,0,0.1421872079372406,"[594, 710, 619, 846, 896]","[0.1421872079372406, 0.06429086625576019, 0.05231798067688942, 0.051725130528211594, 0.047202784568071365]"
cm-nosal,inpainted,13,899,721,0,0.3559650480747223,"[721, 411, 750, 741, 806]","[0.3559650480747223, 0.3107365369796753, 0.061820998787879944, 0.05775824934244156, 0.03927228972315788]"
cm-nosal,inpainted,14,338,437,0,0.265729695558548,"[437, 977, 460, 425, 895]","[0.265729695558548, 0.15656162798404694, 0.0595758855342865, 0.04377401992678642, 0.04250912740826607]"
cm-nosal,inpainted,15,17,653,0,0.06647419184446335,"[653, 427, 845, 756, 840]","[0.06647419184446335, 0.06623533368110657, 0.05547530576586723, 0.04722806438803673, 0.03436918929219246]"
cm-nosal,inpainted,16,363,549,0,0.6089536547660828,"[549, 478, 922, 692, 539]","[0.6089536547660828, 0.08708374947309494, 0.06501076370477676, 0.04458972066640854, 0.03568685054779053]"
cm-nosal,inpainted,17,909,519,0,0.2800711393356323,"[519, 492, 516, 549, 478]","[0.2800711393356323, 0.17834368348121643, 0.0864093080163002, 0.06120429188013077, 0.05090346932411194]"
cm-nosal,inpainted,18,679,679,1,0.1286083161830902,"[679, 459, 618, 845, 443]","[0.1286083161830902, 0.07894524186849594, 0.05471209064126015, 0.05437652766704559, 0.039725109934806824]"
cm-nosal,inpainted,19,618,610,0,0.16133761405944824,"[610, 798, 824, 749, 918]","[0.16133761405944824, 0.15606211125850677, 0.08126278966665268, 0.06281141936779022, 0.03961068391799927]"
cm-nosal,inpainted,20,618,533,0,0.3786904215812683,"[533, 496, 721, 443, 658]","[0.3786904215812683, 0.3525870144367218, 0.08995406329631805, 0.04186701029539108, 0.028972316533327103]"
cm-nosal,inpainted,21,574,828,0,0.14610476791858673,"[828, 318, 39, 588, 790]","[0.14610476791858673, 0.07497815787792206, 0.0421828031539917, 0.034342844039201736, 0.034047164022922516]"
