model,dataset,idx,label,pred,correct,conf_top1,top5_idx,top5_probs
cm-nosal,object,0,361,368,0,0.19663846492767334,"[368, 369, 127, 21, 93]","[0.19663846492767334, 0.10056382417678833, 0.0835425853729248, 0.03543354570865631, 0.02939828298985958]"
cm-nosal,object,1,383,309,0,0.34291160106658936,"[309, 89, 354, 129, 212]","[0.34291160106658936, 0.1279221773147583, 0.12367701530456543, 0.11112312227487564, 0.04933293163776398]"
cm-nosal,object,2,356,359,0,0.5347986817359924,"[359, 356, 87, 358, 333]","[0.5347986817359924, 0.36544957756996155, 0.03791738674044609, 0.017096739262342453, 0.010409606620669365]"
cm-nosal,object,3,18,18,1,0.7621570229530334,"[18, 127, 128, 143, 144]","[0.7621570229530334, 0.08659053593873978, 0.04624420031905174, 0.02482062578201294, 0.012646283954381943]"
cm-nosal,object,4,295,367,0,0.19393062591552734,"[367, 636, 366, 14, 799]","[0.19393062591552734, 0.0703083947300911, 0.05161525309085846, 0.0424482598900795, 0.038106005638837814]"
cm-nosal,object,5,112,47,0,0.22794340550899506,"[47, 66, 38, 49, 41]","[0.22794340550899506, 0.048632629215717316, 0.047071672976017, 0.04076201096177101, 0.036706265062093735]"
cm-nosal,object,6,32,679,0,0.19632166624069214,"[679, 42, 38, 47, 21]","[0.19632166624069214, 0.1842595934867859, 0.09842531383037567, 0.07693105190992355, 0.04454603046178818]"
cm-nosal,object,7,677,22,0,0.30927374958992004,"[22, 92, 405, 127, 701]","[0.30927374958992004, 0.09203410893678665, 0.09140370041131973, 0.06986131519079208, 0.06799585372209549]"
cm-nosal,object,8,438,484,0,0.08343379944562912,"[484, 804, 438, 708, 845]","[0.08343379944562912, 0.07670757919549942, 0.07347333431243896, 0.05781150981783867, 0.042876195162534714]"
cm-nosal,object,9,409,892,0,0.8337100744247437,"[892, 409, 426, 826, 635]","[0.8337100744247437, 0.09535510838031769, 0.03490908071398735, 0.00806137453764677, 0.00385858747176826]"
cm-nosal,object,10,71,81,0,0.21749481558799744,"[81, 679, 127, 300, 307]","[0.21749481558799744, 0.06242983415722847, 0.04141518473625183, 0.03412700444459915, 0.03407951816916466]"
cm-nosal,object,11,850,850,1,0.6395230293273926,"[850, 89, 222, 258, 265]","[0.6395230293273926, 0.12084820121526718, 0.06216137483716011, 0.03886440023779869, 0.02244214341044426]"
cm-nosal,object,12,12,12,1,0.47243472933769226,"[12, 140, 701, 89, 317]","[0.47243472933769226, 0.18581601977348328, 0.060860197991132736, 0.03852013126015663, 0.03796791285276413]"
cm-nosal,object,13,899,319,0,0.5279487371444702,"[319, 320, 883, 855, 503]","[0.5279487371444702, 0.1966884583234787, 0.041773758828639984, 0.01886965148150921, 0.0161313284188509]"
cm-nosal,object,14,338,338,1,0.17045655846595764,"[338, 223, 177, 224, 24]","[0.17045655846595764, 0.08989174664020538, 0.0457131564617157, 0.043573275208473206, 0.030387241393327713]"
cm-nosal,object,15,17,17,1,0.7348203659057617,"[17, 320, 92, 319, 11]","[0.7348203659057617, 0.11040184646844864, 0.04826909303665161, 0.04706159234046936, 0.020901745185256004]"
cm-nosal,object,16,363,64,0,0.2306799739599228,"[64, 318, 46, 129, 42]","[0.2306799739599228, 0.11403783410787582, 0.07265385240316391, 0.05571605637669563, 0.05341237783432007]"
cm-nosal,object,17,909,478,0,0.6049249768257141,"[478, 419, 835, 666, 492]","[0.6049249768257141, 0.054382484406232834, 0.041279908269643784, 0.02748722955584526, 0.019851263612508774]"
cm-nosal,object,18,679,679,1,0.44024765491485596,"[679, 63, 43, 883, 490]","[0.44024765491485596, 0.39106690883636475, 0.03240390494465828, 0.029085705056786537, 0.010057714767754078]"
cm-nosal,object,19,618,496,0,0.10321278125047684,"[496, 92, 21, 910, 171]","[0.10321278125047684, 0.0808052346110344, 0.038525357842445374, 0.03576726093888283, 0.033592723309993744]"
cm-nosal,object,20,618,600,0,0.2423100471496582,"[600, 846, 777, 546, 420]","[0.2423100471496582, 0.06164805591106415, 0.06131250411272049, 0.03569481521844864, 0.03178100660443306]"
cm-nosal,object,21,574,574,1,0.4702952802181244,"[574, 129, 892, 23, 141]","[0.4702952802181244, 0.10036224126815796, 0.07238609343767166, 0.045605652034282684, 0.026725424453616142]"
cm-nosal,object,22,658,798,0,0.09778128564357758,"[798, 619, 411, 636, 721]","[0.09778128564357758, 0.06250003725290298, 0.055016666650772095, 0.046781472861766815, 0.03740881755948067]"
cm-nosal,object,23,461,87,0,0.7549030780792236,"[87, 23, 367, 316, 36]","[0.7549030780792236, 0.04762596637010574, 0.022417284548282623, 0.018535180017352104, 0.01666904427111149]"
cm-nosal,object,24,132,89,0,0.6534571647644043,"[89, 132, 127, 87, 81]","[0.6534571647644043, 0.20510238409042358, 0.06433897465467453, 0.02076074481010437, 0.01992497406899929]"
cm-nosal,object,25,122,679,0,0.36289072036743164,"[679, 776, 310, 868, 26]","[0.36289072036743164, 0.05379176884889603, 0.03726894408464432, 0.03684498742222786, 0.035841912031173706]"
cm-nosal,object,26,12,319,0,0.20854924619197845,"[319, 21, 309, 94, 141]","[0.20854924619197845, 0.12995360791683197, 0.07877899706363678, 0.047908127307891846, 0.039204154163599014]"
cm-nosal,object,27,679,679,1,0.6352112293243408,"[679, 488, 512, 645, 815]","[0.6352112293243408, 0.2891113758087158, 0.00997405219823122, 0.009075243026018143, 0.008293719962239265]"
cm-nosal,object,28,23,93,0,0.3015168309211731,"[93, 21, 92, 131, 94]","[0.3015168309211731, 0.11239484697580338, 0.07036824524402618, 0.06796980649232864, 0.05347582697868347]"
cm-nosal,object,29,937,544,0,0.5032974481582642,"[544, 924, 909, 937, 941]","[0.5032974481582642, 0.15342138707637787, 0.12383488565683365, 0.05237317085266113, 0.0435175895690918]"
cm-nosal,object,30,679,129,0,0.4186902344226837,"[129, 679, 94, 89, 96]","[0.4186902344226837, 0.3652595579624176, 0.023121749982237816, 0.01905360072851181, 0.018574101850390434]"
cm-nosal,object,31,335,272,0,0.3388153910636902,"[272, 191, 335, 850, 182]","[0.3388153910636902, 0.06810014694929123, 0.04572777822613716, 0.03745177760720253, 0.035346709191799164]"
cm-nosal,object,32,76,75,0,0.634459912776947,"[75, 128, 21, 127, 72]","[0.634459912776947, 0.07634047418832779, 0.06978370249271393, 0.043081965297460556, 0.023152552545070648]"
cm-nosal,object,33,851,851,1,0.35172703862190247,"[851, 859, 600, 592, 725]","[0.35172703862190247, 0.07325319945812225, 0.05574771389365196, 0.031162727624177933, 0.02355154976248741]"
cm-nosal,object,34,770,922,0,0.24066007137298584,"[922, 794, 429, 443, 26]","[0.24066007137298584, 0.22587664425373077, 0.08034102618694305, 0.05486195906996727, 0.038084469735622406]"
cm-nosal,object,35,122,10,0,0.3914867639541626,"[10, 12, 139, 133, 13]","[0.3914867639541626, 0.18666452169418335, 0.04750292748212814, 0.041894569993019104, 0.03325029835104942]"
