model,dataset,idx,label,pred,correct,conf_top1,top5_idx,top5_probs
cm-nosal,ooc,0,361,388,0,0.13708361983299255,"[388, 223, 263, 232, 239]","[0.13708361983299255, 0.07952478528022766, 0.06623268872499466, 0.05996992439031601, 0.05187727510929108]"
cm-nosal,ooc,1,383,203,0,0.40127068758010864,"[203, 190, 218, 188, 215]","[0.40127068758010864, 0.047523342072963715, 0.04400540515780449, 0.029218561947345734, 0.027110204100608826]"
cm-nosal,ooc,2,356,359,0,0.25701630115509033,"[359, 356, 358, 279, 333]","[0.25701630115509033, 0.21981924772262573, 0.12029855698347092, 0.11104777455329895, 0.03614891320466995]"
cm-nosal,ooc,3,18,880,0,0.18233349919319153,"[880, 18, 144, 84, 835]","[0.18233349919319153, 0.08192653954029083, 0.07761946320533752, 0.041463904082775116, 0.03629819303750992]"
cm-nosal,ooc,4,295,64,0,0.17416569590568542,"[64, 367, 366, 369, 297]","[0.17416569590568542, 0.1553466022014618, 0.14942942559719086, 0.13038574159145355, 0.06873828172683716]"
cm-nosal,ooc,5,112,47,0,0.5705682635307312,"[47, 46, 40, 59, 988]","[0.5705682635307312, 0.06671817600727081, 0.03712423890829086, 0.03240285813808441, 0.028067272156476974]"
cm-nosal,ooc,6,32,972,0,0.6365452408790588,"[972, 976, 980, 924, 649]","[0.6365452408790588, 0.047079067677259445, 0.027204614132642746, 0.027046890929341316, 0.019606225192546844]"
cm-nosal,ooc,7,677,99,0,0.2636944353580475,"[99, 331, 18, 127, 136]","[0.2636944353580475, 0.07723106443881989, 0.052491556853055954, 0.051868632435798645, 0.03812015801668167]"
cm-nosal,ooc,8,438,903,0,0.13667139410972595,"[903, 296, 448, 412, 669]","[0.13667139410972595, 0.02795661799609661, 0.026439668610692024, 0.026238152757287025, 0.023229602724313736]"
cm-nosal,ooc,9,409,417,0,0.23203150928020477,"[417, 892, 409, 144, 134]","[0.23203150928020477, 0.14591191709041595, 0.08509448915719986, 0.0631050392985344, 0.03985026851296425]"
cm-nosal,ooc,10,71,303,0,0.2993413209915161,"[303, 75, 764, 71, 300]","[0.2993413209915161, 0.1699368804693222, 0.08550946414470673, 0.08249003440141678, 0.029653575271368027]"
cm-nosal,ooc,11,850,850,1,0.2865799069404602,"[850, 333, 266, 265, 29]","[0.2865799069404602, 0.23921024799346924, 0.062277764081954956, 0.049626220017671585, 0.039368804544210434]"
cm-nosal,ooc,12,12,266,0,0.3366965353488922,"[266, 191, 267, 156, 172]","[0.3366965353488922, 0.06074485555291176, 0.048758406192064285, 0.045769572257995605, 0.03826645761728287]"
cm-nosal,ooc,13,899,883,0,0.3159065246582031,"[883, 767, 725, 614, 846]","[0.3159065246582031, 0.06624950468540192, 0.06497989594936371, 0.03919452428817749, 0.03506482392549515]"
cm-nosal,ooc,14,338,338,1,0.6643965244293213,"[338, 223, 208, 360, 357]","[0.6643965244293213, 0.07579072564840317, 0.031236199662089348, 0.02729462832212448, 0.024561872705817223]"
cm-nosal,ooc,15,17,17,1,0.40984269976615906,"[17, 11, 429, 92, 320]","[0.40984269976615906, 0.25632336735725403, 0.051478225737810135, 0.02548687532544136, 0.020923644304275513]"
cm-nosal,ooc,16,363,150,0,0.6582966446876526,"[150, 209, 934, 360, 219]","[0.6582966446876526, 0.015541253611445427, 0.014926917850971222, 0.013487731106579304, 0.0109354043379426]"
