model,dataset,idx,label,pred,correct,conf_top1,top5_idx,top5_probs
cm-nosal,original,0,361,361,1,0.1602633148431778,"[361, 263, 388, 223, 195]","[0.1602633148431778, 0.09577995538711548, 0.06589850783348083, 0.05990864336490631, 0.05295613408088684]"
cm-nosal,original,1,383,203,0,0.13134150207042694,"[203, 218, 212, 156, 194]","[0.13134150207042694, 0.12845690548419952, 0.12003204226493835, 0.11163041740655899, 0.0665523111820221]"
cm-nosal,original,2,356,356,1,0.422542929649353,"[356, 359, 333, 358, 281]","[0.422542929649353, 0.21505506336688995, 0.1446569412946701, 0.1340314894914627, 0.00952316913753748]"
cm-nosal,original,3,18,18,1,0.7164475917816162,"[18, 17, 40, 13, 317]","[0.7164475917816162, 0.030926384031772614, 0.029786942526698112, 0.017300207167863846, 0.013612053357064724]"
cm-nosal,original,4,295,367,0,0.34858983755111694,"[367, 297, 366, 904, 799]","[0.34858983755111694, 0.17076252400875092, 0.07223138213157654, 0.06272849440574646, 0.032405078411102295]"
cm-nosal,original,5,112,54,0,0.6134433150291443,"[54, 44, 64, 448, 806]","[0.6134433150291443, 0.04827176406979561, 0.02743609994649887, 0.025270860642194748, 0.020703572779893875]"
cm-nosal,original,6,32,32,1,0.2426186352968216,"[32, 956, 962, 924, 30]","[0.2426186352968216, 0.0635145753622055, 0.0530322901904583, 0.04696608707308769, 0.04485810920596123]"
cm-nosal,original,7,677,323,0,0.23346862196922302,"[323, 314, 310, 767, 749]","[0.23346862196922302, 0.08629455417394638, 0.08237967640161514, 0.07742951065301895, 0.06205844506621361]"
cm-nosal,original,8,438,572,0,0.1856682002544403,"[572, 804, 470, 534, 865]","[0.1856682002544403, 0.11098497360944748, 0.05728893354535103, 0.04321625456213951, 0.029986338689923286]"
cm-nosal,original,9,409,892,0,0.8543120622634888,"[892, 409, 79, 17, 635]","[0.8543120622634888, 0.05553886666893959, 0.017081622034311295, 0.006160130724310875, 0.004367857705801725]"
cm-nosal,original,10,71,75,0,0.16054359078407288,"[75, 566, 303, 11, 674]","[0.16054359078407288, 0.12825199961662292, 0.05493835359811783, 0.04907948151230812, 0.04696820676326752]"
cm-nosal,original,11,850,850,1,0.32858923077583313,"[850, 333, 258, 265, 99]","[0.32858923077583313, 0.3239246606826782, 0.13730698823928833, 0.08129168301820755, 0.031339749693870544]"
