model,dataset,idx,label,pred,correct,conf_top1,top5_idx,top5_probs
cm-strong,inpainted,0,361,808,0,0.081418476998806,"[808, 533, 443, 868, 452]","[0.081418476998806, 0.0632873997092247, 0.056476473808288574, 0.04060393199324608, 0.03765443339943886]"
cm-strong,inpainted,1,383,410,0,0.07913468033075333,"[410, 853, 132, 580, 39]","[0.07913468033075333, 0.05545195937156677, 0.043365925550460815, 0.038750212639570236, 0.035181235522031784]"
cm-strong,inpainted,2,356,930,0,0.11601613461971283,"[930, 944, 568, 816, 750]","[0.11601613461971283, 0.07994391024112701, 0.052911024540662766, 0.04776350408792496, 0.03032040223479271]"
cm-strong,inpainted,3,18,344,0,0.42008447647094727,"[344, 794, 19, 286, 40]","[0.42008447647094727, 0.10868363082408905, 0.024469951167702675, 0.022912409156560898, 0.022702600806951523]"
cm-strong,inpainted,4,295,583,0,0.1806572824716568,"[583, 556, 799, 743, 888]","[0.1806572824716568, 0.1598280370235443, 0.07144524157047272, 0.04655275121331215, 0.04586588963866234]"
cm-strong,inpainted,5,112,324,0,0.23039929568767548,"[324, 677, 972, 448, 669]","[0.23039929568767548, 0.16814804077148438, 0.08636472374200821, 0.05329791083931923, 0.039067357778549194]"
cm-strong,inpainted,6,32,956,0,0.18880882859230042,"[956, 30, 32, 123, 35]","[0.18880882859230042, 0.16539908945560455, 0.10983952134847641, 0.057982735335826874, 0.034565605223178864]"
cm-strong,inpainted,7,677,749,0,0.2005692571401596,"[749, 696, 317, 320, 644]","[0.2005692571401596, 0.10435140132904053, 0.06084493175148964, 0.05777628719806671, 0.038245487958192825]"
cm-strong,inpainted,8,438,556,0,0.17567609250545502,"[556, 828, 904, 811, 588]","[0.17567609250545502, 0.1261749267578125, 0.08616145700216293, 0.06490510702133179, 0.04241415858268738]"
cm-strong,inpainted,9,409,489,0,0.12607969343662262,"[489, 821, 904, 374, 583]","[0.12607969343662262, 0.12358321249485016, 0.08346322923898697, 0.041345395147800446, 0.023757081478834152]"
cm-strong,inpainted,10,71,559,0,0.4902234673500061,"[559, 636, 618, 620, 532]","[0.4902234673500061, 0.10704601556062698, 0.033961888402700424, 0.03207419812679291, 0.021630456671118736]"
cm-strong,inpainted,11,850,905,0,0.9003876447677612,"[905, 858, 753, 446, 478]","[0.9003876447677612, 0.023651527240872383, 0.008383823558688164, 0.003561772173270583, 0.003515187418088317]"
cm-strong,inpainted,12,12,542,0,0.08533411473035812,"[542, 846, 462, 644, 443]","[0.08533411473035812, 0.05926333740353584, 0.04345081001520157, 0.04107042774558067, 0.03537178039550781]"
cm-strong,inpainted,13,899,411,0,0.25579583644866943,"[411, 750, 721, 741, 806]","[0.25579583644866943, 0.19755421578884125, 0.12085741013288498, 0.0750098004937172, 0.06670301407575607]"
cm-strong,inpainted,14,338,425,0,0.17807911336421967,"[425, 755, 660, 718, 716]","[0.17807911336421967, 0.1398646980524063, 0.07992975413799286, 0.05174608901143074, 0.024831846356391907]"
cm-strong,inpainted,15,17,700,0,0.17497724294662476,"[700, 914, 484, 780, 569]","[0.17497724294662476, 0.06927599012851715, 0.04291442409157753, 0.040950071066617966, 0.02737373299896717]"
cm-strong,inpainted,16,363,741,0,0.5414578914642334,"[741, 611, 549, 692, 539]","[0.5414578914642334, 0.07778918743133545, 0.07271517068147659, 0.04428499937057495, 0.04091094434261322]"
cm-strong,inpainted,17,909,519,0,0.5170847177505493,"[519, 492, 478, 516, 431]","[0.5170847177505493, 0.33590948581695557, 0.030213577672839165, 0.027233030647039413, 0.009743128903210163]"
cm-strong,inpainted,18,679,679,1,0.2856581211090088,"[679, 443, 725, 883, 849]","[0.2856581211090088, 0.05902950093150139, 0.05033829063177109, 0.047585245221853256, 0.0348394475877285]"
cm-strong,inpainted,19,618,798,0,0.32207024097442627,"[798, 911, 922, 794, 568]","[0.32207024097442627, 0.1344480961561203, 0.10292491316795349, 0.049856510013341904, 0.03112665005028248]"
cm-strong,inpainted,20,618,496,0,0.7007851004600525,"[496, 539, 533, 658, 443]","[0.7007851004600525, 0.11606201529502869, 0.05459023639559746, 0.041664861142635345, 0.022893251851201057]"
cm-strong,inpainted,21,574,462,0,0.127826526761055,"[462, 318, 431, 846, 549]","[0.127826526761055, 0.09240999817848206, 0.051250193268060684, 0.05030848830938339, 0.03504712134599686]"
cm-strong,inpainted,22,658,510,0,0.176752969622612,"[510, 781, 881, 481, 703]","[0.176752969622612, 0.15678556263446808, 0.1141941025853157, 0.04274367541074753, 0.03450002893805504]"
cm-strong,inpainted,23,461,557,0,0.09886572510004044,"[557, 154, 332, 794, 799]","[0.09886572510004044, 0.07403001934289932, 0.04743848741054535, 0.04689235985279083, 0.030515305697917938]"
cm-strong,inpainted,24,132,602,0,0.27170220017433167,"[602, 49, 975, 456, 971]","[0.27170220017433167, 0.07513462007045746, 0.05110796168446541, 0.03981856256723404, 0.02935183048248291]"
cm-strong,inpainted,25,122,519,0,0.6015388369560242,"[519, 516, 525, 114, 677]","[0.6015388369560242, 0.06702166050672531, 0.045392829924821854, 0.0346464179456234, 0.030437864363193512]"
cm-strong,inpainted,26,12,146,0,0.14538554847240448,"[146, 21, 132, 23, 137]","[0.14538554847240448, 0.11464106291532516, 0.087733194231987, 0.05576614290475845, 0.04459304362535477]"
cm-strong,inpainted,27,679,824,0,0.050377264618873596,"[824, 446, 629, 842, 412]","[0.050377264618873596, 0.047789666801691055, 0.04125911742448807, 0.03925732523202896, 0.033909592777490616]"
cm-strong,inpainted,28,23,839,0,0.21225343644618988,"[839, 517, 733, 645, 557]","[0.21225343644618988, 0.19657808542251587, 0.12964242696762085, 0.05004904791712761, 0.03170698136091232]"
cm-strong,inpainted,29,937,544,0,0.39119404554367065,"[544, 5, 567, 137, 6]","[0.39119404554367065, 0.1854102909564972, 0.06626112014055252, 0.06279923766851425, 0.0490073598921299]"
cm-strong,inpainted,30,679,849,0,0.4193316102027893,"[849, 725, 686, 999, 505]","[0.4193316102027893, 0.09370385110378265, 0.059180282056331635, 0.053408052772283554, 0.04921625927090645]"
cm-strong,inpainted,31,335,312,0,0.14837515354156494,"[312, 311, 313, 669, 749]","[0.14837515354156494, 0.047106217592954636, 0.03547839820384979, 0.03125784173607826, 0.02602982521057129]"
cm-strong,inpainted,32,76,417,0,0.13206031918525696,"[417, 4, 149, 405, 435]","[0.13206031918525696, 0.11588316410779953, 0.0513470321893692, 0.04727901890873909, 0.03596007451415062]"
cm-strong,inpainted,33,851,548,0,0.5553422570228577,"[548, 651, 851, 598, 492]","[0.5553422570228577, 0.06809813529253006, 0.045397330075502396, 0.041633669286966324, 0.03410299867391586]"
cm-strong,inpainted,34,770,669,0,0.23993943631649017,"[669, 794, 904, 562, 885]","[0.23993943631649017, 0.17899052798748016, 0.07056056708097458, 0.05566379055380821, 0.0527523048222065]"
cm-strong,inpainted,35,122,41,0,0.2669086158275604,"[41, 881, 581, 506, 772]","[0.2669086158275604, 0.16760365664958954, 0.08336734771728516, 0.04829185828566551, 0.04646601527929306]"
cm-strong,inpainted,36,712,815,0,0.5921506881713867,"[815, 381, 374, 647, 535]","[0.5921506881713867, 0.16842463612556458, 0.028195315971970558, 0.016130585223436356, 0.010059520602226257]"
cm-strong,inpainted,37,852,47,0,0.4389701783657074,"[47, 298, 37, 428, 286]","[0.4389701783657074, 0.05003851279616356, 0.03462754562497139, 0.03271425515413284, 0.027844997122883797]"
cm-strong,inpainted,38,12,94,0,0.17437364161014557,"[94, 846, 416, 587, 611]","[0.17437364161014557, 0.10847827792167664, 0.10311402380466461, 0.049525778740644455, 0.03673429787158966]"
cm-strong,inpainted,39,849,805,0,0.07893715053796768,"[805, 248, 574, 18, 429]","[0.07893715053796768, 0.0789344385266304, 0.07480981945991516, 0.060437705367803574, 0.04019574075937271]"
cm-strong,inpainted,40,606,664,0,0.24917615950107574,"[664, 851, 782, 598, 518]","[0.24917615950107574, 0.21038439869880676, 0.06941810995340347, 0.06544161587953568, 0.03587416186928749]"
cm-strong,inpainted,41,87,777,0,0.15161895751953125,"[777, 764, 648, 702, 587]","[0.15161895751953125, 0.08266539871692657, 0.06429582089185715, 0.053506121039390564, 0.05021729692816734]"
