model,dataset,idx,label,pred,correct,conf_top1,top5_idx,top5_probs
cm-strong,object,0,361,23,0,0.07240036129951477,"[23, 93, 796, 375, 368]","[0.07240036129951477, 0.04764656722545624, 0.04746008664369583, 0.03004823625087738, 0.029520081356167793]"
cm-strong,object,1,383,21,0,0.23704159259796143,"[21, 89, 309, 23, 216]","[0.23704159259796143, 0.22008420526981354, 0.055143024772405624, 0.04640807583928108, 0.041851941496133804]"
cm-strong,object,2,356,359,0,0.46238744258880615,"[359, 356, 87, 358, 140]","[0.46238744258880615, 0.33016425371170044, 0.10033101588487625, 0.04303814843297005, 0.01612788997590542]"
cm-strong,object,3,18,18,1,0.6700081825256348,"[18, 99, 127, 134, 132]","[0.6700081825256348, 0.05417032167315483, 0.045767974108457565, 0.03842734917998314, 0.02956155315041542]"
cm-strong,object,4,295,295,1,0.07705460488796234,"[295, 583, 367, 234, 499]","[0.07705460488796234, 0.06777837872505188, 0.06097957119345665, 0.044123899191617966, 0.030656196177005768]"
cm-strong,object,5,112,44,0,0.1898537427186966,"[44, 49, 59, 618, 41]","[0.1898537427186966, 0.13176658749580383, 0.07035872340202332, 0.02622673660516739, 0.023798180744051933]"
cm-strong,object,6,32,47,0,0.1679096519947052,"[47, 962, 42, 43, 21]","[0.1679096519947052, 0.1063898503780365, 0.09819343686103821, 0.08588623255491257, 0.058947231620550156]"
cm-strong,object,7,677,144,0,0.17239733040332794,"[144, 22, 134, 127, 99]","[0.17239733040332794, 0.08995874226093292, 0.07697030901908875, 0.06606312096118927, 0.06325852125883102]"
cm-strong,object,8,438,708,0,0.3493231236934662,"[708, 442, 399, 448, 601]","[0.3493231236934662, 0.03311091288924217, 0.032408617436885834, 0.026370806619524956, 0.019748449325561523]"
cm-strong,object,9,409,892,0,0.9057787656784058,"[892, 409, 426, 635, 89]","[0.9057787656784058, 0.08818954974412918, 0.0010410897666588426, 0.0004557259089779109, 0.0003479903389234096]"
cm-strong,object,10,71,895,0,0.1823226362466812,"[895, 139, 143, 135, 21]","[0.1823226362466812, 0.04601620137691498, 0.04494504630565643, 0.04016748070716858, 0.038761019706726074]"
