model,dataset,idx,label,pred,correct,conf_top1,top5_idx,top5_probs
cm-strong,ooc,0,361,796,0,0.1414111852645874,"[796, 232, 295, 264, 281]","[0.1414111852645874, 0.07093025743961334, 0.06905324757099152, 0.048758067190647125, 0.04666142165660858]"
cm-strong,ooc,1,383,203,0,0.6911680698394775,"[203, 190, 181, 212, 188]","[0.6911680698394775, 0.09320817142724991, 0.039063453674316406, 0.028966663405299187, 0.02774275466799736]"
cm-strong,ooc,2,356,356,1,0.213914692401886,"[356, 359, 358, 338, 279]","[0.213914692401886, 0.13701027631759644, 0.11737016588449478, 0.06108609214425087, 0.05210614204406738]"
cm-strong,ooc,3,18,880,0,0.21124690771102905,"[880, 256, 99, 180, 223]","[0.21124690771102905, 0.09079761058092117, 0.07233737409114838, 0.0508401058614254, 0.030019070953130722]"
cm-strong,ooc,4,295,295,1,0.1576266586780548,"[295, 366, 583, 379, 525]","[0.1576266586780548, 0.15343829989433289, 0.09947780519723892, 0.03452450782060623, 0.03310965746641159]"
cm-strong,ooc,5,112,44,0,0.31036296486854553,"[44, 59, 53, 61, 47]","[0.31036296486854553, 0.10804971307516098, 0.07318717986345291, 0.05733274668455124, 0.04873281344771385]"
cm-strong,ooc,6,32,972,0,0.28439778089523315,"[972, 976, 928, 832, 43]","[0.28439778089523315, 0.059155698865652084, 0.055460136383771896, 0.05455232411623001, 0.04444527253508568]"
cm-strong,ooc,7,677,271,0,0.15563330054283142,"[271, 135, 274, 177, 331]","[0.15563330054283142, 0.07855463773012161, 0.05604439601302147, 0.05588299781084061, 0.04721427708864212]"
cm-strong,ooc,8,438,448,0,0.06810449808835983,"[448, 355, 137, 345, 610]","[0.06810449808835983, 0.05076555907726288, 0.02937358245253563, 0.02931453473865986, 0.028482617810368538]"
cm-strong,ooc,9,409,892,0,0.5229410529136658,"[892, 409, 417, 144, 835]","[0.5229410529136658, 0.40961018204689026, 0.015349101275205612, 0.0068010385148227215, 0.0030557047575712204]"
cm-strong,ooc,10,71,303,0,0.45177197456359863,"[303, 75, 677, 306, 119]","[0.45177197456359863, 0.2048283815383911, 0.018308598548173904, 0.016033440828323364, 0.014353546313941479]"
cm-strong,ooc,11,850,333,0,0.7754783630371094,"[333, 850, 332, 29, 179]","[0.7754783630371094, 0.08574717491865158, 0.05021647736430168, 0.01212328765541315, 0.006415748503059149]"
cm-strong,ooc,12,12,8,0,0.16047486662864685,"[8, 177, 12, 209, 193]","[0.16047486662864685, 0.14364749193191528, 0.08080480247735977, 0.07390885055065155, 0.039801593869924545]"
cm-strong,ooc,13,899,505,0,0.11987504363059998,"[505, 725, 773, 883, 737]","[0.11987504363059998, 0.09810806065797806, 0.0714191198348999, 0.052950017154216766, 0.05063697695732117]"
cm-strong,ooc,14,338,338,1,0.37581905722618103,"[338, 223, 224, 256, 357]","[0.37581905722618103, 0.2269529551267624, 0.08865198493003845, 0.08312990516424179, 0.026124728843569756]"
cm-strong,ooc,15,17,17,1,0.5102630853652954,"[17, 11, 92, 313, 315]","[0.5102630853652954, 0.0949346274137497, 0.051220815628767014, 0.027262773364782333, 0.026154832914471626]"
cm-strong,ooc,16,363,150,0,0.21019931137561798,"[150, 184, 281, 284, 327]","[0.21019931137561798, 0.03956664353609085, 0.03711066395044327, 0.03296835348010063, 0.027200279757380486]"
cm-strong,ooc,17,909,478,0,0.18296368420124054,"[478, 492, 519, 427, 726]","[0.18296368420124054, 0.17403027415275574, 0.1669989675283432, 0.10875487327575684, 0.0666683241724968]"
cm-strong,ooc,18,679,835,0,0.1009654626250267,"[835, 756, 469, 881, 883]","[0.1009654626250267, 0.0915784239768982, 0.08286252617835999, 0.03675137460231781, 0.03505467623472214]"
cm-strong,ooc,19,618,211,0,0.051624052226543427,"[211, 172, 134, 435, 279]","[0.051624052226543427, 0.040102358907461166, 0.03752049431204796, 0.034150928258895874, 0.03358374536037445]"
cm-strong,ooc,20,618,14,0,0.2908450961112976,"[14, 133, 136, 13, 19]","[0.2908450961112976, 0.15334457159042358, 0.1298651248216629, 0.05706622824072838, 0.05376159027218819]"
cm-strong,ooc,21,574,574,1,0.8323048949241638,"[574, 397, 448, 494, 913]","[0.8323048949241638, 0.01466225553303957, 0.011550786904990673, 0.010682517662644386, 0.0055386219173669815]"
cm-strong,ooc,22,658,721,0,0.2453821301460266,"[721, 611, 427, 911, 704]","[0.2453821301460266, 0.10755813866853714, 0.0707353875041008, 0.04462790861725807, 0.030008498579263687]"
cm-strong,ooc,23,461,131,0,0.2442062497138977,"[131, 33, 134, 360, 386]","[0.2442062497138977, 0.16805624961853027, 0.07167233526706696, 0.05966540798544884, 0.0530250184237957]"
cm-strong,ooc,24,132,89,0,0.19557951390743256,"[89, 222, 132, 169, 146]","[0.19557951390743256, 0.12437529861927032, 0.10129351168870926, 0.058705758303403854, 0.05226559564471245]"
cm-strong,ooc,25,122,909,0,0.12826165556907654,"[909, 939, 683, 415, 957]","[0.12826165556907654, 0.06301148235797882, 0.04824163392186165, 0.04595884308218956, 0.04066680744290352]"
cm-strong,ooc,26,12,271,0,0.0771685540676117,"[271, 43, 85, 343, 76]","[0.0771685540676117, 0.05494537577033043, 0.033275652676820755, 0.03041398897767067, 0.02758236974477768]"
cm-strong,ooc,27,679,138,0,0.36637285351753235,"[138, 275, 134, 58, 141]","[0.36637285351753235, 0.05739032104611397, 0.050367023795843124, 0.04402795061469078, 0.028557443991303444]"
