model,dataset,idx,label,pred,correct,conf_top1,top5_idx,top5_probs
cm-strong,original,0,361,388,0,0.12702389061450958,"[388, 263, 151, 297, 195]","[0.12702389061450958, 0.06487578898668289, 0.06140927970409393, 0.04064084216952324, 0.03694251924753189]"
cm-strong,original,1,383,212,0,0.16178251802921295,"[212, 203, 410, 216, 269]","[0.16178251802921295, 0.12863761186599731, 0.10881700366735458, 0.07596425712108612, 0.06106339395046234]"
cm-strong,original,2,356,359,0,0.609938383102417,"[359, 356, 358, 259, 333]","[0.609938383102417, 0.317837655544281, 0.038687508553266525, 0.003772104624658823, 0.003175346413627267]"
cm-strong,original,3,18,18,1,0.4038887619972229,"[18, 17, 19, 134, 127]","[0.4038887619972229, 0.29478907585144043, 0.06652534753084183, 0.045347485691308975, 0.03193455934524536]"
cm-strong,original,4,295,295,1,0.2540755867958069,"[295, 583, 367, 297, 366]","[0.2540755867958069, 0.09497542679309845, 0.08553795516490936, 0.06837301701307297, 0.054838236421346664]"
cm-strong,original,5,112,448,0,0.18908947706222534,"[448, 54, 96, 616, 44]","[0.18908947706222534, 0.16462630033493042, 0.053799498826265335, 0.04742074012756348, 0.029308265075087547]"
cm-strong,original,6,32,32,1,0.33590030670166016,"[32, 941, 30, 956, 288]","[0.33590030670166016, 0.11126355081796646, 0.06931522488594055, 0.06181314215064049, 0.0413370355963707]"
cm-strong,original,7,677,323,0,0.1581512987613678,"[323, 320, 317, 315, 696]","[0.1581512987613678, 0.08120197057723999, 0.06129668653011322, 0.061124537140131, 0.05165514722466469]"
cm-strong,original,8,438,87,0,0.07427515834569931,"[87, 828, 766, 582, 470]","[0.07427515834569931, 0.05558763071894646, 0.04887581989169121, 0.04812169820070267, 0.04723842442035675]"
cm-strong,original,9,409,892,0,0.8048273324966431,"[892, 409, 79, 835, 635]","[0.8048273324966431, 0.1667681336402893, 0.004749735351651907, 0.004256060346961021, 0.0022053548600524664]"
cm-strong,original,10,71,621,0,0.09285552054643631,"[621, 786, 303, 145, 75]","[0.09285552054643631, 0.07109157741069794, 0.06371230632066727, 0.0497659407556057, 0.03893565014004707]"
cm-strong,original,11,850,333,0,0.6596715450286865,"[333, 850, 251, 332, 721]","[0.6596715450286865, 0.17638756334781647, 0.06187181547284126, 0.052282821387052536, 0.005037240218371153]"
cm-strong,original,12,12,12,1,0.8927621245384216,"[12, 616, 94, 568, 161]","[0.8927621245384216, 0.00860617682337761, 0.008172795176506042, 0.004876459017395973, 0.0031618820503354073]"
cm-strong,original,13,899,721,0,0.15684835612773895,"[721, 562, 489, 824, 879]","[0.15684835612773895, 0.11503969132900238, 0.036853570491075516, 0.032938871532678604, 0.032734911888837814]"
cm-strong,original,14,338,338,1,0.817939281463623,"[338, 223, 256, 195, 234]","[0.817939281463623, 0.07576452195644379, 0.028450116515159607, 0.010190569795668125, 0.007888679392635822]"
cm-strong,original,15,17,17,1,0.6358972787857056,"[17, 171, 92, 670, 584]","[0.6358972787857056, 0.10906074196100235, 0.026764895766973495, 0.01428650040179491, 0.013258622027933598]"
cm-strong,original,16,363,692,0,0.10880707949399948,"[692, 284, 611, 934, 838]","[0.10880707949399948, 0.041385404765605927, 0.03918331116437912, 0.033980801701545715, 0.02707752212882042]"
cm-strong,original,17,909,478,0,0.291808158159256,"[478, 519, 726, 427, 492]","[0.291808158159256, 0.17663344740867615, 0.10562586039304733, 0.08384973555803299, 0.06075436249375343]"
cm-strong,original,18,679,679,1,0.9620319604873657,"[679, 443, 756, 470, 725]","[0.9620319604873657, 0.018548088148236275, 0.0032286199275404215, 0.0023070538882166147, 0.0018121007597073913]"
cm-strong,original,19,618,563,0,0.32371917366981506,"[563, 798, 419, 418, 452]","[0.32371917366981506, 0.054661381989717484, 0.040703993290662766, 0.03680046275258064, 0.03535284101963043]"
cm-strong,original,20,618,496,0,0.595306932926178,"[496, 721, 911, 504, 910]","[0.595306932926178, 0.14975887537002563, 0.02493789605796337, 0.016006166115403175, 0.015956006944179535]"
cm-strong,original,21,574,574,1,0.5301368832588196,"[574, 431, 725, 828, 849]","[0.5301368832588196, 0.06430677324533463, 0.04006049409508705, 0.03086061216890812, 0.025581441819667816]"
cm-strong,original,22,658,725,0,0.11149071902036667,"[725, 873, 921, 415, 427]","[0.11149071902036667, 0.08537612855434418, 0.05620822310447693, 0.04841024428606033, 0.04675980284810066]"
cm-strong,original,23,461,385,0,0.3604601323604584,"[385, 524, 514, 787, 33]","[0.3604601323604584, 0.13798537850379944, 0.05232620984315872, 0.05167986452579498, 0.030453894287347794]"
cm-strong,original,24,132,89,0,0.9012995958328247,"[89, 132, 134, 131, 127]","[0.9012995958328247, 0.06911601126194, 0.021811211481690407, 0.000894170836545527, 0.0008023410337045789]"
cm-strong,original,25,122,79,0,0.6475021243095398,"[79, 314, 122, 957, 124]","[0.6475021243095398, 0.12103745341300964, 0.06420574337244034, 0.052439793944358826, 0.01431102491915226]"
cm-strong,original,26,12,140,0,0.23512816429138184,"[140, 394, 178, 389, 171]","[0.23512816429138184, 0.08584179729223251, 0.08506621420383453, 0.06271964311599731, 0.056642547249794006]"
