model,dataset,idx,label,pred,correct,conf_top1,top5_idx,top5_probs
crop,inpainted,0,361,735,0,0.17632733285427094,"[735, 363, 443, 700, 411]","[0.17632733285427094, 0.05812518298625946, 0.05046902596950531, 0.04164678230881691, 0.02375125326216221]"
crop,inpainted,1,383,410,0,0.22142639756202698,"[410, 287, 132, 26, 203]","[0.22142639756202698, 0.09350059181451797, 0.04690803214907646, 0.0311586894094944, 0.022819403558969498]"
crop,inpainted,2,356,930,0,0.15958485007286072,"[930, 168, 910, 885, 816]","[0.15958485007286072, 0.0674843117594719, 0.04007798060774803, 0.02791288122534752, 0.024391401559114456]"
crop,inpainted,3,18,677,0,0.1602710634469986,"[677, 319, 313, 13, 322]","[0.1602710634469986, 0.0873553529381752, 0.06219177693128586, 0.056477561593055725, 0.052856676280498505]"
crop,inpainted,4,295,733,0,0.20152676105499268,"[733, 682, 792, 888, 718]","[0.20152676105499268, 0.13243702054023743, 0.06954026222229004, 0.06378123909235, 0.06164869666099548]"
crop,inpainted,5,112,525,0,0.39676332473754883,"[525, 562, 839, 972, 669]","[0.39676332473754883, 0.14725983142852783, 0.061927761882543564, 0.04521874338388443, 0.04394008591771126]"
crop,inpainted,6,32,956,0,0.1125941351056099,"[956, 959, 67, 60, 936]","[0.1125941351056099, 0.07183559983968735, 0.06222950667142868, 0.038506731390953064, 0.03606943413615227]"
crop,inpainted,7,677,320,0,0.3331334590911865,"[320, 70, 677, 40, 696]","[0.3331334590911865, 0.2062058001756668, 0.09214945882558823, 0.050723858177661896, 0.046599991619586945]"
crop,inpainted,8,438,881,0,0.11835628747940063,"[881, 421, 749, 414, 462]","[0.11835628747940063, 0.09196347743272781, 0.07405070960521698, 0.0322243757545948, 0.031422849744558334]"
crop,inpainted,9,409,489,0,0.46006903052330017,"[489, 79, 998, 70, 821]","[0.46006903052330017, 0.03892551735043526, 0.032966386526823044, 0.03075173683464527, 0.030712993815541267]"
crop,inpainted,10,71,421,0,0.14739663898944855,"[421, 494, 475, 704, 11]","[0.14739663898944855, 0.12890563905239105, 0.07588189840316772, 0.032077375799417496, 0.02705749124288559]"
crop,inpainted,11,850,858,0,0.36898815631866455,"[858, 753, 905, 699, 506]","[0.36898815631866455, 0.2308853268623352, 0.20330022275447845, 0.027164224535226822, 0.023015663027763367]"
crop,inpainted,12,12,594,0,0.2955576479434967,"[594, 559, 840, 517, 749]","[0.2955576479434967, 0.05757932737469673, 0.05109225958585739, 0.0498671755194664, 0.04768448695540428]"
crop,inpainted,13,899,721,0,0.27504581212997437,"[721, 741, 411, 898, 611]","[0.27504581212997437, 0.10299483686685562, 0.09584513306617737, 0.0786212608218193, 0.06899003684520721]"
crop,inpainted,14,338,437,0,0.09330684691667557,"[437, 977, 908, 129, 538]","[0.09330684691667557, 0.06913599371910095, 0.06459618359804153, 0.05010136589407921, 0.04899631440639496]"
crop,inpainted,15,17,674,0,0.09888831526041031,"[674, 792, 626, 543, 840]","[0.09888831526041031, 0.059696346521377563, 0.05006753280758858, 0.04858076199889183, 0.03552606329321861]"
crop,inpainted,16,363,478,0,0.09136593341827393,"[478, 840, 533, 519, 921]","[0.09136593341827393, 0.08539953082799911, 0.07134190201759338, 0.057627346366643906, 0.049112387001514435]"
crop,inpainted,17,909,519,0,0.8414111733436584,"[519, 478, 516, 492, 532]","[0.8414111733436584, 0.02145002968609333, 0.020180709660053253, 0.01844845525920391, 0.008890854194760323]"
crop,inpainted,18,679,974,0,0.13986673951148987,"[974, 19, 664, 673, 725]","[0.13986673951148987, 0.0951099693775177, 0.026812750846147537, 0.025409867987036705, 0.018096597865223885]"
