model,dataset,idx,label,pred,correct,conf_top1,top5_idx,top5_probs
crop,object,0,361,350,0,0.14566582441329956,"[350, 783, 368, 299, 128]","[0.14566582441329956, 0.11854740232229233, 0.10153782367706299, 0.027074620127677917, 0.025795860216021538]"
crop,object,1,383,584,0,0.16871541738510132,"[584, 112, 38, 679, 89]","[0.16871541738510132, 0.14904654026031494, 0.11676431447267532, 0.02663513831794262, 0.024471361190080643]"
crop,object,2,356,356,1,0.1913386732339859,"[356, 359, 281, 202, 285]","[0.1913386732339859, 0.18210487067699432, 0.08335380256175995, 0.06404972821474075, 0.05582815781235695]"
crop,object,3,18,18,1,0.8904238939285278,"[18, 17, 94, 128, 88]","[0.8904238939285278, 0.017760910093784332, 0.014677346684038639, 0.012136632576584816, 0.011068450286984444]"
crop,object,4,295,669,0,0.0904230996966362,"[669, 799, 792, 859, 887]","[0.0904230996966362, 0.04598325863480568, 0.04131237789988518, 0.0316104032099247, 0.029158538207411766]"
crop,object,5,112,42,0,0.29061228036880493,"[42, 59, 488, 44, 43]","[0.29061228036880493, 0.09538788348436356, 0.08044692128896713, 0.059826597571372986, 0.03659733012318611]"
crop,object,6,32,326,0,0.1064126044511795,"[326, 307, 679, 38, 73]","[0.1064126044511795, 0.09685550630092621, 0.08315566927194595, 0.07080115377902985, 0.06421881914138794]"
crop,object,7,677,405,0,0.5037572979927063,"[405, 701, 895, 677, 783]","[0.5037572979927063, 0.0660494714975357, 0.05923951417207718, 0.03832114487886429, 0.034705523401498795]"
crop,object,8,438,898,0,0.24008385837078094,"[898, 708, 711, 438, 804]","[0.24008385837078094, 0.1759539246559143, 0.1459638625383377, 0.0912952646613121, 0.08215825259685516]"
crop,object,9,409,892,0,0.8690844178199768,"[892, 409, 635, 426, 826]","[0.8690844178199768, 0.1056787297129631, 0.011338197626173496, 0.0061380318365991116, 0.002794625237584114]"
crop,object,10,71,488,0,0.11097422987222672,"[488, 303, 512, 679, 300]","[0.11097422987222672, 0.06257040053606033, 0.055674441158771515, 0.05177638307213783, 0.05048501119017601]"
crop,object,11,850,850,1,0.9870420694351196,"[850, 333, 181, 188, 179]","[0.9870420694351196, 0.005422633606940508, 0.0007059323252178729, 0.0006109999376349151, 0.0005233920528553426]"
crop,object,12,12,12,1,0.35662123560905457,"[12, 140, 956, 92, 94]","[0.35662123560905457, 0.10124620050191879, 0.09610072523355484, 0.058346766978502274, 0.03140345960855484]"
crop,object,13,899,883,0,0.43391966819763184,"[883, 604, 696, 846, 503]","[0.43391966819763184, 0.08353319019079208, 0.07032240927219391, 0.053028352558612823, 0.0328327976167202]"
crop,object,14,338,338,1,0.27986446022987366,"[338, 224, 208, 584, 223]","[0.27986446022987366, 0.0941946879029274, 0.056840892881155014, 0.026664987206459045, 0.024436935782432556]"
crop,object,15,17,17,1,0.990757942199707,"[17, 18, 92, 19, 11]","[0.990757942199707, 0.002217400586232543, 0.0019162497483193874, 0.0011917217634618282, 0.0008373367600142956]"
crop,object,16,363,64,0,0.3981986939907074,"[64, 63, 10, 55, 42]","[0.3981986939907074, 0.05930600315332413, 0.04878043010830879, 0.029265346005558968, 0.029131682589650154]"
crop,object,17,909,478,0,0.8078757524490356,"[478, 419, 516, 492, 421]","[0.8078757524490356, 0.016224736347794533, 0.016060903668403625, 0.01444079540669918, 0.007840451784431934]"
crop,object,18,679,679,1,0.3440279960632324,"[679, 883, 824, 63, 711]","[0.3440279960632324, 0.13614235818386078, 0.0833330973982811, 0.04946117103099823, 0.035617660731077194]"
crop,object,19,618,966,0,0.13861724734306335,"[966, 960, 613, 95, 618]","[0.13861724734306335, 0.07616416364908218, 0.0568404421210289, 0.05575665086507797, 0.04346040263772011]"
crop,object,20,618,420,0,0.148267462849617,"[420, 546, 600, 583, 902]","[0.148267462849617, 0.12398646026849747, 0.06939559429883957, 0.041977230459451675, 0.03883599862456322]"
crop,object,21,574,574,1,0.456998348236084,"[574, 892, 426, 852, 783]","[0.456998348236084, 0.07113992422819138, 0.05650416761636734, 0.054737675935029984, 0.02400236390531063]"
crop,object,22,658,502,0,0.14332452416419983,"[502, 721, 112, 774, 775]","[0.14332452416419983, 0.10888674110174179, 0.10869096964597702, 0.07072079926729202, 0.041522327810525894]"
crop,object,23,461,608,0,0.08735217154026031,"[608, 69, 316, 898, 461]","[0.08735217154026031, 0.07733499258756638, 0.06837362051010132, 0.05454707518219948, 0.043832335621118546]"
crop,object,24,132,89,0,0.45795589685440063,"[89, 132, 21, 127, 81]","[0.45795589685440063, 0.17013251781463623, 0.09431824833154678, 0.08223932981491089, 0.025526510551571846]"
crop,object,25,122,679,0,0.35952335596084595,"[679, 584, 309, 310, 868]","[0.35952335596084595, 0.14884309470653534, 0.12140679359436035, 0.1146397665143013, 0.03339565917849541]"
crop,object,26,12,36,0,0.13839846849441528,"[36, 21, 488, 98, 303]","[0.13839846849441528, 0.06322900950908661, 0.060678839683532715, 0.050761766731739044, 0.034744277596473694]"
crop,object,27,679,679,1,0.36698901653289795,"[679, 488, 456, 303, 517]","[0.36698901653289795, 0.20736519992351532, 0.062818743288517, 0.0518818125128746, 0.048327263444662094]"
crop,object,28,23,133,0,0.27476441860198975,"[133, 139, 93, 94, 98]","[0.27476441860198975, 0.07398788630962372, 0.07336990535259247, 0.07194744050502777, 0.040738362818956375]"
crop,object,29,937,567,0,0.7353541254997253,"[567, 909, 937, 329, 115]","[0.7353541254997253, 0.1105571836233139, 0.07244746387004852, 0.021122638136148453, 0.01889038272202015]"
crop,object,30,679,679,1,0.7786519527435303,"[679, 319, 75, 303, 456]","[0.7786519527435303, 0.028096811845898628, 0.02250814624130726, 0.022266358137130737, 0.019102543592453003]"
crop,object,31,335,335,1,0.43363067507743835,"[335, 272, 266, 382, 850]","[0.43363067507743835, 0.10221955180168152, 0.05439038202166557, 0.02840389497578144, 0.023408252745866776]"
crop,object,32,76,75,0,0.8907018899917603,"[75, 895, 303, 600, 73]","[0.8907018899917603, 0.01360895112156868, 0.0135165611281991, 0.007519348058849573, 0.007091704290360212]"
