model,dataset,idx,label,pred,correct,conf_top1,top5_idx,top5_probs
crop,ooc,0,361,880,0,0.2007240653038025,"[880, 704, 832, 369, 203]","[0.2007240653038025, 0.14860191941261292, 0.04780973494052887, 0.041148409247398376, 0.03406750410795212]"
crop,ooc,1,383,151,0,0.08142143487930298,"[151, 173, 203, 215, 178]","[0.08142143487930298, 0.0510774627327919, 0.04893327131867409, 0.04492039233446121, 0.04336988180875778]"
crop,ooc,2,356,359,0,0.2907700538635254,"[359, 356, 358, 278, 194]","[0.2907700538635254, 0.07008708268404007, 0.055644258856773376, 0.04971444606781006, 0.03994431346654892]"
crop,ooc,3,18,18,1,0.2588362693786621,"[18, 835, 388, 51, 148]","[0.2588362693786621, 0.23498301208019257, 0.06256817281246185, 0.05187409743666649, 0.023288456723093987]"
crop,ooc,4,295,182,0,0.09246047586202621,"[182, 362, 49, 721, 669]","[0.09246047586202621, 0.08459066599607468, 0.0610305480659008, 0.05609565228223801, 0.047430023550987244]"
crop,ooc,5,112,47,0,0.16170579195022583,"[47, 94, 59, 95, 42]","[0.16170579195022583, 0.1374974399805069, 0.09021155536174774, 0.08147796988487244, 0.056314319372177124]"
crop,ooc,6,32,924,0,0.19656120240688324,"[924, 47, 112, 81, 329]","[0.19656120240688324, 0.1589045226573944, 0.05086343735456467, 0.03986305743455887, 0.032628342509269714]"
crop,ooc,7,677,331,0,0.26080086827278137,"[331, 127, 128, 330, 99]","[0.26080086827278137, 0.11375198513269424, 0.05152535438537598, 0.049069344997406006, 0.043135542422533035]"
crop,ooc,8,438,680,0,0.1146644726395607,"[680, 608, 883, 438, 898]","[0.1146644726395607, 0.07223585247993469, 0.05629812926054001, 0.03831537440419197, 0.037642110139131546]"
crop,ooc,9,409,892,0,0.5926030874252319,"[892, 409, 635, 426, 826]","[0.5926030874252319, 0.2350863367319107, 0.09559286385774612, 0.027355235069990158, 0.01831045374274254]"
