model,dataset,idx,label,pred,correct,conf_top1,top5_idx,top5_probs
crop,original,0,361,223,0,0.20832407474517822,"[223, 361, 224, 355, 256]","[0.20832407474517822, 0.12255842983722687, 0.08267945051193237, 0.07415906339883804, 0.03284817934036255]"
crop,original,1,383,81,0,0.48756349086761475,"[81, 410, 212, 203, 139]","[0.48756349086761475, 0.10269244015216827, 0.051831189543008804, 0.0270891971886158, 0.018308863043785095]"
crop,original,2,356,359,0,0.5799286961555481,"[359, 358, 356, 229, 249]","[0.5799286961555481, 0.20195059478282928, 0.05434400215744972, 0.019502516835927963, 0.010523738339543343]"
crop,original,3,18,17,0,0.6219804883003235,"[17, 18, 19, 14, 128]","[0.6219804883003235, 0.35560479760169983, 0.0023864705581218004, 0.002043016953393817, 0.0019956391770392656]"
crop,original,4,295,367,0,0.18599386513233185,"[367, 334, 365, 792, 583]","[0.18599386513233185, 0.1036163941025734, 0.09120190143585205, 0.06490062177181244, 0.054991163313388824]"
crop,original,5,112,448,0,0.2797778844833374,"[448, 93, 96, 596, 616]","[0.2797778844833374, 0.11340286582708359, 0.07636217027902603, 0.04935726895928383, 0.04828716814517975]"
crop,original,6,32,32,1,0.13136255741119385,"[32, 941, 956, 944, 937]","[0.13136255741119385, 0.08717473596334457, 0.06434215605258942, 0.05147593095898628, 0.04503537341952324]"
crop,original,7,677,320,0,0.8373173475265503,"[320, 70, 40, 319, 311]","[0.8373173475265503, 0.026710573583841324, 0.023385683074593544, 0.01860872097313404, 0.01286108884960413]"
crop,original,8,438,828,0,0.31487053632736206,"[828, 423, 474, 534, 722]","[0.31487053632736206, 0.043695829808712006, 0.04208892583847046, 0.033504512161016464, 0.030697887763381004]"
crop,original,9,409,892,0,0.6263418197631836,"[892, 409, 635, 835, 426]","[0.6263418197631836, 0.27248841524124146, 0.05833570286631584, 0.02578047104179859, 0.01357406098395586]"
crop,original,10,71,475,0,0.2180326282978058,"[475, 786, 486, 484, 587]","[0.2180326282978058, 0.034692540764808655, 0.03161535784602165, 0.028524231165647507, 0.023129098117351532]"
crop,original,11,850,850,1,0.8560366630554199,"[850, 333, 434, 181, 341]","[0.8560366630554199, 0.05205041915178299, 0.015654489398002625, 0.011163534596562386, 0.010714243166148663]"
crop,original,12,12,12,1,0.7646631002426147,"[12, 265, 266, 850, 94]","[0.7646631002426147, 0.01742030493915081, 0.01430552825331688, 0.013140085153281689, 0.0118626169860363]"
crop,original,13,899,696,0,0.1823049634695053,"[696, 883, 411, 725, 737]","[0.1823049634695053, 0.126675546169281, 0.0920151025056839, 0.08491156995296478, 0.06980879604816437]"
crop,original,14,338,223,0,0.5249895453453064,"[223, 338, 179, 241, 224]","[0.5249895453453064, 0.2437075674533844, 0.028234289959073067, 0.020234832540154457, 0.01954391598701477]"
crop,original,15,17,17,1,0.961876630783081,"[17, 171, 488, 320, 752]","[0.961876630783081, 0.006023989990353584, 0.004369738046079874, 0.004329018294811249, 0.003617178648710251]"
crop,original,16,363,478,0,0.07211606949567795,"[478, 209, 931, 838, 182]","[0.07211606949567795, 0.05020275339484215, 0.032664209604263306, 0.032538726925849915, 0.03119807131588459]"
crop,original,17,909,478,0,0.3094528019428253,"[478, 463, 519, 721, 492]","[0.3094528019428253, 0.0644584447145462, 0.04043308645486832, 0.03676870837807655, 0.03319825232028961]"
crop,original,18,679,679,1,0.7972901463508606,"[679, 883, 968, 824, 738]","[0.7972901463508606, 0.04299960657954216, 0.021705854684114456, 0.019554121419787407, 0.01486509945243597]"
crop,original,19,618,418,0,0.1894330233335495,"[418, 966, 563, 907, 960]","[0.1894330233335495, 0.1657157838344574, 0.1251116245985031, 0.06128520146012306, 0.02647225186228752]"
crop,original,20,618,396,0,0.18661904335021973,"[396, 121, 850, 927, 765]","[0.18661904335021973, 0.11200832575559616, 0.056801073253154755, 0.056042760610580444, 0.05225897207856178]"
crop,original,21,574,796,0,0.1340349018573761,"[796, 883, 773, 849, 850]","[0.1340349018573761, 0.11554068326950073, 0.09579116106033325, 0.07102292776107788, 0.06257288157939911]"
crop,original,22,658,840,0,0.06544611603021622,"[840, 741, 911, 159, 721]","[0.06544611603021622, 0.06162228807806969, 0.04302948713302612, 0.04041643068194389, 0.03884006664156914]"
crop,original,23,461,883,0,0.0805429145693779,"[883, 700, 422, 209, 811]","[0.0805429145693779, 0.057228006422519684, 0.04469260200858116, 0.03941100463271141, 0.035837363451719284]"
crop,original,24,132,89,0,0.646210789680481,"[89, 132, 702, 602, 270]","[0.646210789680481, 0.15664422512054443, 0.04902088642120361, 0.03186590224504471, 0.03127296268939972]"
crop,original,25,122,532,0,0.10042604804039001,"[532, 537, 726, 492, 310]","[0.10042604804039001, 0.08939202129840851, 0.08527308702468872, 0.05397019162774086, 0.04610669985413551]"
crop,original,26,12,394,0,0.19636622071266174,"[394, 447, 858, 15, 649]","[0.19636622071266174, 0.18997232615947723, 0.05488647520542145, 0.04613739997148514, 0.03653477132320404]"
