model,original,inpainted,object,ooc
base,0.38522427440633245,0.0712401055408971,0.18469656992084432,0.12225153913808268
base__black,0.38522427440633245,0.0712401055408971,0.148636763412489,0.12225153913808268
base__gray,0.38522427440633245,0.0712401055408971,0.20932277924362358,0.12225153913808268
base__white,0.38522427440633245,0.0712401055408971,0.17941952506596306,0.12225153913808268
crop,0.4450307827616535,0.047493403693931395,0.2638522427440633,0.18557607739665788
crop__black,0.4450307827616535,0.047493403693931395,0.19788918205804748,0.18557607739665788
crop__gray,0.4450307827616535,0.047493403693931395,0.2594547053649956,0.18557607739665788
crop__white,0.4450307827616535,0.047493403693931395,0.218117854001759,0.18557607739665788
crop__random_gaze,0.4450307827616535,0.04221635883905013,0.2638522427440633,0.18557607739665788
crop__central_gaze,0.4450307827616535,0.051890941072999124,0.2638522427440633,0.18557607739665788
blur-light,0.4212840809146878,0.06596306068601583,0.1961301671064204,0.13368513632365875
blur-light__black,0.4212840809146878,0.06596306068601583,0.17502198768689534,0.13368513632365875
blur-light__gray,0.4212840809146878,0.06596306068601583,0.22251539138082674,0.13368513632365875
blur-light__white,0.4212840809146878,0.06596306068601583,0.20140721196130168,0.13368513632365875
blur-light__random_gaze,0.4212840809146878,0.05804749340369393,0.1961301671064204,0.13368513632365875
blur-light__central_gaze,0.4212840809146878,0.06420404573438875,0.1961301671064204,0.13368513632365875
blur-nosal,0.386103781882146,0.05980650835532102,0.19261213720316622,0.1363236587510994
blur-nosal__black,0.386103781882146,0.05980650835532102,0.1547933157431838,0.1363236587510994
blur-nosal__gray,0.386103781882146,0.05980650835532102,0.17941952506596306,0.1363236587510994
blur-nosal__white,0.386103781882146,0.05980650835532102,0.1961301671064204,0.1363236587510994
blur-nosal__random_gaze,0.386103781882146,0.052770448548812667,0.19261213720316622,0.1363236587510994
blur-nosal__central_gaze,0.386103781882146,0.051890941072999124,0.19261213720316622,0.1363236587510994
blur-strong,0.41072999120492526,0.05980650835532102,0.1521547933157432,0.13896218117854
blur-strong__black,0.41072999120492526,0.05980650835532102,0.16182937554969218,0.13896218117854
blur-strong__gray,0.41072999120492526,0.05980650835532102,0.1996481970096746,0.13896218117854
blur-strong__white,0.41072999120492526,0.05980650835532102,0.1996481970096746,0.13896218117854
blur-strong__random_gaze,0.41072999120492526,0.04221635883905013,0.1521547933157432,0.13896218117854
blur-strong__central_gaze,0.41072999120492526,0.05452946350043975,0.1521547933157432,0.13896218117854
cm-light,0.40633245382585753,0.06420404573438875,0.19525065963060687,0.14335971855760773
cm-light__black,0.40633245382585753,0.06420404573438875,0.15567282321899736,0.14335971855760773
cm-light__gray,0.40633245382585753,0.06420404573438875,0.19788918205804748,0.14335971855760773
cm-light__white,0.40633245382585753,0.06420404573438875,0.19261213720316622,0.14335971855760773
cm-light__random_gaze,0.40633245382585753,0.06068601583113457,0.19525065963060687,0.14335971855760773
cm-light__central_gaze,0.40633245382585753,0.06684256816182937,0.19525065963060687,0.14335971855760773
cm-nosal,0.436235708003518,0.055408970976253295,0.2260334212840809,0.1785400175901495
cm-nosal__black,0.436235708003518,0.055408970976253295,0.2119613016710642,0.1785400175901495
cm-nosal__gray,0.436235708003518,0.055408970976253295,0.23746701846965698,0.1785400175901495
cm-nosal__white,0.436235708003518,0.055408970976253295,0.24274406332453827,0.1785400175901495
cm-nosal__random_gaze,0.436235708003518,0.047493403693931395,0.2260334212840809,0.1785400175901495
cm-nosal__central_gaze,0.436235708003518,0.058927000879507474,0.2260334212840809,0.1785400175901495
cm-strong,0.4573438874230431,0.03869832893579595,0.24010554089709762,0.19788918205804748
cm-strong__black,0.4573438874230431,0.03869832893579595,0.20492524186455585,0.19788918205804748
cm-strong__gray,0.4573438874230431,0.03869832893579595,0.25769569041336854,0.19788918205804748
cm-strong__white,0.4573438874230431,0.03869832893579595,0.2515391380826737,0.19788918205804748
cm-strong__random_gaze,0.4573438874230431,0.04221635883905013,0.24010554089709762,0.19788918205804748
cm-strong__central_gaze,0.4573438874230431,0.04661389621811785,0.24010554089709762,0.19788918205804748
