model,idx,label,pred,correct,conf_top1,top5_idx,top5_probs,mask_area
blur-light,0,0,58,0,0.4252660572528839,"[58, 101, 39, 33, 51]","[0.4252660572528839, 0.05432825908064842, 0.04636799916625023, 0.042766787111759186, 0.026066681370139122]",0.08629866689443588
blur-light,1,0,0,1,0.30643534660339355,"[0, 302, 764, 413, 703]","[0.30643534660339355, 0.1849214732646942, 0.10770780593156815, 0.06805048882961273, 0.05513535439968109]",0.19306133687496185
blur-light,2,0,806,0,0.23158609867095947,"[806, 608, 514, 655, 774]","[0.23158609867095947, 0.1698424369096756, 0.09240040928125381, 0.07092345505952835, 0.04610462486743927]",0.01052266638725996
blur-light,3,0,0,1,0.9941760301589966,"[0, 410, 490, 144, 104]","[0.9941760301589966, 0.0015308394795283675, 0.0007278740522451699, 0.00033087912015616894, 0.0003213505260646343]",0.030848000198602676
blur-light,4,0,0,1,0.9673782587051392,"[0, 828, 669, 39, 40]","[0.9673782587051392, 0.008957969956099987, 0.008291573263704777, 0.003765237983316183, 0.0014492645859718323]",0.12435200065374374
blur-light,5,0,387,0,0.1803397834300995,"[387, 76, 371, 308, 388]","[0.1803397834300995, 0.10223411023616791, 0.06436741352081299, 0.05756133794784546, 0.043829504400491714]",0.2284960001707077
blur-light,6,0,0,1,0.5993626117706299,"[0, 490, 386, 385, 401]","[0.5993626117706299, 0.10643172264099121, 0.04678453877568245, 0.03491980582475662, 0.03298390656709671]",0.03478933498263359
blur-light,7,0,0,1,0.9978551268577576,"[0, 389, 806, 462, 474]","[0.9978551268577576, 0.00032568167080171406, 0.0003174726152792573, 0.00021914417447987944, 0.0001727026974549517]",0.24427199363708496
blur-light,8,0,0,1,0.9908863306045532,"[0, 389, 394, 101, 642]","[0.9908863306045532, 0.004910531919449568, 0.0003289879241492599, 0.00030398278613574803, 0.00021737621864303946]",0.11568533629179001
blur-light,9,0,0,1,0.9994463324546814,"[0, 389, 735, 955, 395]","[0.9994463324546814, 0.00012229447020217776, 9.276367200072855e-05, 8.08658660389483e-05, 5.468471135827713e-05]",0.18026132881641388
blur-light,10,0,319,0,0.48809632658958435,"[319, 311, 133, 144, 312]","[0.48809632658958435, 0.08621256053447723, 0.08585261553525925, 0.04275224357843399, 0.037264253944158554]",0.10117794573307037
blur-light,11,0,0,1,0.996613085269928,"[0, 490, 391, 389, 39]","[0.996613085269928, 0.0009528870577923954, 0.0008859466761350632, 0.0005341731593944132, 7.544916297774762e-05]",0.10566744953393936
blur-light,12,0,0,1,0.9651618003845215,"[0, 39, 389, 365, 382]","[0.9651618003845215, 0.008206898346543312, 0.001895589055493474, 0.0014808215200901031, 0.001415293081663549]",0.21530133485794067
blur-light,13,0,0,1,0.963577926158905,"[0, 955, 55, 389, 40]","[0.963577926158905, 0.03235253691673279, 0.0010656719096004963, 0.0009392896317876875, 0.0008290949044749141]",0.16938666999340057
blur-light,14,0,0,1,0.9841622114181519,"[0, 474, 806, 491, 955]","[0.9841622114181519, 0.00439999345690012, 0.0016556577757000923, 0.0012067046482115984, 0.0008855380583554506]",0.10237866640090942
