model,idx,label,pred,correct,conf_top1,top5_idx,top5_probs,mask_area
blur-strong,0,0,58,0,0.3456971347332001,"[58, 955, 0, 109, 6]","[0.3456971347332001, 0.2590330243110657, 0.150514617562294, 0.04351317882537842, 0.02487412840127945]",0.08629866689443588
blur-strong,1,0,0,1,0.7188566327095032,"[0, 391, 150, 764, 413]","[0.7188566327095032, 0.12721286714076996, 0.036132264882326126, 0.018987398594617844, 0.009763041511178017]",0.19306133687496185
blur-strong,2,0,145,0,0.6110358834266663,"[145, 370, 268, 514, 655]","[0.6110358834266663, 0.04460802674293518, 0.022727159783244133, 0.018437763676047325, 0.016571110114455223]",0.01052266638725996
blur-strong,3,0,0,1,0.9914344549179077,"[0, 491, 955, 39, 655]","[0.9914344549179077, 0.0014191236114129424, 0.0006309797172434628, 0.0005371176521293819, 0.00046729142195545137]",0.030848000198602676
blur-strong,4,0,669,0,0.436755895614624,"[669, 0, 363, 39, 727]","[0.436755895614624, 0.24734997749328613, 0.051474664360284805, 0.03236571326851845, 0.031149260699748993]",0.12435200065374374
blur-strong,5,0,150,0,0.37122076749801636,"[150, 39, 48, 0, 387]","[0.37122076749801636, 0.08478585630655289, 0.055972132831811905, 0.04853709414601326, 0.04531538486480713]",0.2284960001707077
blur-strong,6,0,0,1,0.99483323097229,"[0, 490, 385, 150, 345]","[0.99483323097229, 0.0007221876294352114, 0.0006809572223573923, 0.000437132955994457, 0.00037395418621599674]",0.03478933498263359
blur-strong,7,0,0,1,0.9903212189674377,"[0, 806, 955, 389, 462]","[0.9903212189674377, 0.00236581196077168, 0.00171078450512141, 0.0006335966754704714, 0.0003261099918745458]",0.24427199363708496
blur-strong,8,0,0,1,0.9996435642242432,"[0, 389, 84, 955, 88]","[0.9996435642242432, 0.00019509751291479915, 3.7855155824217945e-05, 1.2932048775837757e-05, 9.18568821361987e-06]",0.11568533629179001
blur-strong,9,0,0,1,0.9949355721473694,"[0, 389, 298, 376, 374]","[0.9949355721473694, 0.0017507325392216444, 0.000731507083401084, 0.0002110056229867041, 0.0001907076803036034]",0.18026132881641388
blur-strong,10,0,133,0,0.1637769490480423,"[133, 13, 12, 19, 58]","[0.1637769490480423, 0.09963022917509079, 0.06652640551328659, 0.0506310872733593, 0.04924942925572395]",0.10117794573307037
blur-strong,11,0,0,1,0.9996942281723022,"[0, 389, 391, 858, 917]","[0.9996942281723022, 0.00011226964124944061, 9.460626461077482e-05, 1.036740741255926e-05, 5.818700628879014e-06]",0.10566744953393936
blur-strong,12,0,0,1,0.954055905342102,"[0, 39, 955, 327, 48]","[0.954055905342102, 0.014522399753332138, 0.012884183786809444, 0.002772589446976781, 0.0027517296839505434]",0.21530133485794067
blur-strong,13,0,0,1,0.8946067690849304,"[0, 955, 40, 46, 47]","[0.8946067690849304, 0.0777459368109703, 0.0102422796189785, 0.005497564096003771, 0.004484598524868488]",0.16938666999340057
blur-strong,14,0,0,1,0.8887825608253479,"[0, 490, 955, 655, 411]","[0.8887825608253479, 0.02772524394094944, 0.025471659377217293, 0.02282298170030117, 0.003535275347530842]",0.10237866640090942
blur-strong,15,0,0,1,0.9959837198257446,"[0, 389, 391, 150, 395]","[0.9959837198257446, 0.0026818220503628254, 0.0006391024799086154, 7.509178976761177e-05, 7.130386075004935e-05]",0.21223466098308563
blur-strong,16,0,0,1,0.9926475286483765,"[0, 608, 389, 709, 39]","[0.9926475286483765, 0.0012892221566289663, 0.0010179764358326793, 0.0004173581546638161, 0.00040776978130452335]",0.2314026653766632
blur-strong,17,0,0,1,0.9989991784095764,"[0, 39, 452, 389, 911]","[0.9989991784095764, 0.00011453590559540316, 6.254342588363215e-05, 5.938039976172149e-05, 4.495782923186198e-05]",0.23932266235351562
blur-strong,18,0,0,1,0.9999215602874756,"[0, 389, 391, 48, 365]","[0.9999215602874756, 3.188968912581913e-05, 2.936916826001834e-05, 2.627106141517288e-06, 1.8894041886596824e-06]",0.1475733369588852
blur-strong,19,0,0,1,0.40045416355133057,"[0, 490, 955, 39, 420]","[0.40045416355133057, 0.10987595468759537, 0.07011181861162186, 0.015495356172323227, 0.014664593152701855]",0.04277333244681358
blur-strong,20,0,955,0,0.20293159782886505,"[955, 0, 929, 263, 376]","[0.20293159782886505, 0.18777558207511902, 0.11527670174837112, 0.07437360286712646, 0.055301398038864136]",0.028575999662280083
blur-strong,21,0,370,0,0.23821546137332916,"[370, 363, 391, 0, 174]","[0.23821546137332916, 0.15199290215969086, 0.08409862220287323, 0.05597374960780144, 0.05397702008485794]",0.20314666628837585
blur-strong,22,0,0,1,0.9777121543884277,"[0, 391, 39, 46, 55]","[0.9777121543884277, 0.017047958448529243, 0.0007101338705979288, 0.0005397392087616026, 0.00048578408313915133]",0.18908266723155975
blur-strong,23,0,0,1,0.9880006909370422,"[0, 389, 391, 33, 39]","[0.9880006909370422, 0.005544999148696661, 0.0008237606380134821, 0.0005385729018598795, 0.00044178852112963796]",0.13635733723640442
blur-strong,24,0,0,1,0.9999929666519165,"[0, 48, 39, 391, 389]","[0.9999929666519165, 2.678874579942203e-06, 2.060876795439981e-06, 6.701562824673601e-07, 6.613262257815222e-07]",0.20506666600704193
