model,idx,label,pred,correct,conf_top1,top5_idx,top5_probs,mask_area
cm-nosal,0,0,0,1,0.15257678925991058,"[0, 385, 386, 344, 150]","[0.15257678925991058, 0.09001164138317108, 0.06973626464605331, 0.03686791658401489, 0.03051762655377388]",0.08629866689443588
cm-nosal,1,0,0,1,0.9153305292129517,"[0, 391, 764, 389, 587]","[0.9153305292129517, 0.04717753827571869, 0.007460165768861771, 0.0066970521584153175, 0.002141459845006466]",0.19306133687496185
cm-nosal,2,0,608,0,0.5825408697128296,"[608, 145, 655, 774, 630]","[0.5825408697128296, 0.09573981165885925, 0.020046884194016457, 0.01696822978556156, 0.016369929537177086]",0.01052266638725996
cm-nosal,3,0,0,1,0.9944338202476501,"[0, 106, 522, 391, 208]","[0.9944338202476501, 0.0007732196245342493, 0.0007676671957597136, 0.0005153411766514182, 0.00043098832247778773]",0.030848000198602676
cm-nosal,4,0,0,1,0.9601005911827087,"[0, 39, 48, 391, 62]","[0.9601005911827087, 0.008963393047451973, 0.004263082519173622, 0.001574795227497816, 0.0012074729893356562]",0.12435200065374374
cm-nosal,5,0,0,1,0.23150725662708282,"[0, 391, 150, 387, 329]","[0.23150725662708282, 0.21594743430614471, 0.04372330382466316, 0.043477483093738556, 0.0294535830616951]",0.2284960001707077
cm-nosal,6,0,0,1,0.9846105575561523,"[0, 391, 345, 389, 515]","[0.9846105575561523, 0.003627811325713992, 0.001384108210913837, 0.0010696446988731623, 0.000814125407487154]",0.03478933498263359
cm-nosal,7,0,0,1,0.5985623002052307,"[0, 735, 29, 1, 850]","[0.5985623002052307, 0.04215552285313606, 0.040653739124536514, 0.02968408353626728, 0.025013256818056107]",0.24427199363708496
cm-nosal,8,0,0,1,0.8482738137245178,"[0, 389, 385, 395, 51]","[0.8482738137245178, 0.11922460049390793, 0.003919149283319712, 0.0025759292766451836, 0.002140352502465248]",0.11568533629179001
cm-nosal,9,0,0,1,0.9457076787948608,"[0, 389, 374, 395, 172]","[0.9457076787948608, 0.02175234444439411, 0.009498446248471737, 0.004602971486747265, 0.0013481995556503534]",0.18026132881641388
cm-nosal,10,0,144,0,0.5550605654716492,"[144, 315, 600, 618, 816]","[0.5550605654716492, 0.027362745255231857, 0.019682442769408226, 0.016401316970586777, 0.016037898138165474]",0.10117794573307037
cm-nosal,11,0,0,1,0.9990711212158203,"[0, 391, 389, 88, 395]","[0.9990711212158203, 0.0005060962284915149, 0.00023813909501768649, 1.5688861822127365e-05, 1.370578866044525e-05]",0.10566744953393936
cm-nosal,12,0,0,1,0.4933457374572754,"[0, 365, 213, 344, 219]","[0.4933457374572754, 0.027440419420599937, 0.024620257318019867, 0.01740783452987671, 0.013569802045822144]",0.21530133485794067
cm-nosal,13,0,0,1,0.8895361423492432,"[0, 48, 955, 939, 386]","[0.8895361423492432, 0.0396585538983345, 0.02559291385114193, 0.010766446590423584, 0.005820699501782656]",0.16938666999340057
