model,idx,label,pred,correct,conf_top1,top5_idx,top5_probs,mask_area
cm-strong,0,0,33,0,0.10780167579650879,"[33, 395, 390, 394, 36]","[0.10780167579650879, 0.07374242693185806, 0.07160254567861557, 0.05788566917181015, 0.04875975474715233]",0.08629866689443588
cm-strong,1,0,0,1,0.3176284432411194,"[0, 621, 391, 541, 413]","[0.3176284432411194, 0.07483931630849838, 0.062008146196603775, 0.053403571248054504, 0.0391116701066494]",0.19306133687496185
cm-strong,2,0,608,0,0.387742817401886,"[608, 268, 145, 332, 341]","[0.387742817401886, 0.10839276015758514, 0.05593913048505783, 0.033980805426836014, 0.028738485649228096]",0.01052266638725996
cm-strong,3,0,0,1,0.8672860860824585,"[0, 522, 943, 391, 106]","[0.8672860860824585, 0.030696596950292587, 0.011272354982793331, 0.010951234959065914, 0.007387622259557247]",0.030848000198602676
cm-strong,4,0,0,1,0.8458852171897888,"[0, 271, 353, 910, 391]","[0.8458852171897888, 0.010953297838568687, 0.007679611444473267, 0.0073739285580813885, 0.0061774710193276405]",0.12435200065374374
cm-strong,5,0,0,1,0.7219446897506714,"[0, 114, 377, 154, 329]","[0.7219446897506714, 0.04167866334319115, 0.023562699556350708, 0.010106553323566914, 0.009065881371498108]",0.2284960001707077
cm-strong,6,0,0,1,0.9886787533760071,"[0, 690, 389, 394, 391]","[0.9886787533760071, 0.004720950499176979, 0.0024194323923438787, 0.0008976127719506621, 0.000251323013799265]",0.03478933498263359
cm-strong,7,0,0,1,0.3762988746166229,"[0, 502, 721, 735, 463]","[0.3762988746166229, 0.043811455368995667, 0.038547977805137634, 0.03507241979241371, 0.025007743388414383]",0.24427199363708496
cm-strong,8,0,0,1,0.9575607776641846,"[0, 389, 395, 88, 392]","[0.9575607776641846, 0.03526270389556885, 0.001608368824236095, 0.0007528164424002171, 0.0006241692462936044]",0.11568533629179001
cm-strong,9,0,0,1,0.9039314985275269,"[0, 374, 171, 129, 389]","[0.9039314985275269, 0.025406254455447197, 0.008312609046697617, 0.008117694407701492, 0.007478519808501005]",0.18026132881641388
cm-strong,10,0,12,0,0.17498520016670227,"[12, 144, 124, 357, 94]","[0.17498520016670227, 0.11203112453222275, 0.05445883050560951, 0.03616686165332794, 0.03232010453939438]",0.10117794573307037
cm-strong,11,0,0,1,0.9984708428382874,"[0, 391, 825, 394, 997]","[0.9984708428382874, 0.0005906129954382777, 0.00017435723566450179, 0.00013415829744189978, 7.368654041783884e-05]",0.10566744953393936
cm-strong,12,0,0,1,0.9876425266265869,"[0, 344, 184, 343, 382]","[0.9876425266265869, 0.0023648347705602646, 0.000832526246085763, 0.0007259401609189808, 0.00047179879038594663]",0.21530133485794067
cm-strong,13,0,0,1,0.891703724861145,"[0, 939, 211, 365, 943]","[0.891703724861145, 0.05442281439900398, 0.005915746558457613, 0.004359560552984476, 0.004210671875625849]",0.16938666999340057
