model,idx,label,pred,correct,conf_top1,top5_idx,top5_probs,mask_area
crop,0,0,92,0,0.15157726407051086,"[92, 39, 58, 48, 42]","[0.15157726407051086, 0.09149114042520523, 0.08427916467189789, 0.07219710946083069, 0.06530943512916565]",0.08629866689443588
crop,1,0,0,1,0.546912670135498,"[0, 764, 103, 302, 394]","[0.546912670135498, 0.09229107946157455, 0.04128972440958023, 0.023672647774219513, 0.021510032936930656]",0.19306133687496185
crop,2,0,929,0,0.3389567732810974,"[929, 476, 788, 655, 639]","[0.3389567732810974, 0.1124931052327156, 0.11108363419771194, 0.05327204242348671, 0.03669852763414383]",0.01052266638725996
crop,3,0,0,1,0.9921128749847412,"[0, 389, 522, 491, 843]","[0.9921128749847412, 0.0013985690893605351, 0.0005909366882406175, 0.000364924460882321, 0.00030053043155930936]",0.030848000198602676
crop,4,0,0,1,0.5249149799346924,"[0, 39, 40, 344, 48]","[0.5249149799346924, 0.22879040241241455, 0.021976185962557793, 0.015713710337877274, 0.015231774188578129]",0.12435200065374374
crop,5,0,0,1,0.44991251826286316,"[0, 150, 394, 965, 391]","[0.44991251826286316, 0.3194239139556885, 0.017024798318743706, 0.016776470467448235, 0.010304111056029797]",0.2284960001707077
crop,6,0,0,1,0.9900093078613281,"[0, 391, 389, 805, 463]","[0.9900093078613281, 0.006949839182198048, 0.0017884154804050922, 0.00011406297562643886, 9.224045788869262e-05]",0.03478933498263359
crop,7,0,0,1,0.9053688049316406,"[0, 1, 760, 389, 898]","[0.9053688049316406, 0.03170180693268776, 0.005029778461903334, 0.0028967722319066525, 0.0023660834413021803]",0.24427199363708496
crop,8,0,0,1,0.9462201595306396,"[0, 389, 211, 213, 365]","[0.9462201595306396, 0.03579279035329819, 0.0037109432741999626, 0.0026119137182831764, 0.002264654031023383]",0.11568533629179001
crop,9,0,0,1,0.9627073407173157,"[0, 389, 162, 376, 171]","[0.9627073407173157, 0.011753284372389317, 0.004624396096915007, 0.003157906699925661, 0.0028879069723188877]",0.18026132881641388
crop,10,0,312,0,0.27586129307746887,"[312, 144, 12, 311, 315]","[0.27586129307746887, 0.1746789962053299, 0.14181554317474365, 0.09887263178825378, 0.07456674426794052]",0.10117794573307037
crop,11,0,0,1,0.9986796975135803,"[0, 391, 122, 932, 394]","[0.9986796975135803, 0.0009730462916195393, 4.036662357975729e-05, 3.2544681744184345e-05, 2.517742723284755e-05]",0.10566744953393936
crop,12,0,0,1,0.9736319184303284,"[0, 382, 211, 365, 277]","[0.9736319184303284, 0.011590128764510155, 0.003640014911070466, 0.001018042559735477, 0.0008993435767479241]",0.21530133485794067
crop,13,0,0,1,0.9862635135650635,"[0, 939, 389, 955, 943]","[0.9862635135650635, 0.003034706925973296, 0.002120299031957984, 0.001294846530072391, 0.0007429978577420115]",0.16938666999340057
crop,14,0,0,1,0.9936005473136902,"[0, 389, 735, 395, 411]","[0.9936005473136902, 0.0020095231011509895, 0.000809861347079277, 0.00046607619151473045, 0.00013546111586038023]",0.10237866640090942
crop,15,0,0,1,0.9960379600524902,"[0, 391, 390, 329, 114]","[0.9960379600524902, 0.0009284408879466355, 0.0006066079367883503, 0.00050780811579898, 0.0003170610580127686]",0.21223466098308563
